 On-peak Mon-Sat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 , Jan-2026 , Feb-2026 , Mar-2026 , Apr-2026 , May-2026 , Jun-2026 , Jul-2026 , Aug-2026 , Sep-2026 , Oct-2026 , Nov-2026 , Dec-2026 , Tot-2026 , Jan-2027 , Feb-2027 , Mar-2027 , Apr-2027 , May-2027 , Jun-2027 , Jul-2027 , Aug-2027 , Sep-2027 , Oct-2027 , Nov-2027 , Dec-2027 , Tot-2027 , Jan-2028 , Feb-2028 , Mar-2028 , Apr-2028 , May-2028 , Jun-2028 , Jul-2028 , Aug-2028 , Sep-2028 , Oct-2028 , Nov-2028 , Dec-2028 , Tot-2028 , Jan-2029 , Feb-2029 , Mar-2029 , Apr-2029 , May-2029 , Jun-2029 , Jul-2029 , Aug-2029 , Sep-2029 , Oct-2029 , Nov-2029 , Dec-2029 , Tot-2029 , Jan-2030 , Feb-2030 , Mar-2030 , Apr-2030 , May-2030 , Jun-2030 , Jul-2030 , Aug-2030 , Sep-2030 , Oct-2030 , Nov-2030 , Dec-2030 , Tot-2030 , Jan-2031 , Feb-2031 , Mar-2031 , Apr-2031 , May-2031 , Jun-2031 , Jul-2031 , Aug-2031 , Sep-2031 , Oct-2031 , Nov-2031 , Dec-2031 , Tot-2031 ,    Total 
  Palo Verde 1:MW                ,159099.8438,146321.75,158336.0938,156713.8594,151045.9375,155453.2969,154866.375,155240.5156,148935.5156,12167.0664,46030.4297,158387.9375,1602598.75,152981.125,145534.2969,163312.6094,156979.3906,150445.5156,154820.9219,155079.2969,155425,149133.9844,157015.7813,151124.75,157504.3438,1849357,152480.7188,152088.8594,127483.4688,0,147079.5313,154971.1406,149165.2344,160789.3125,149531.75,156604.7188,150202.7031,152674.375,1653071.875,157978.0156,146432.6719,163941.2031,150667.2656,157175.8281,154662.7969,149042.1563,161728.5625,142723.6094,29839.0918,38791.1172,151873.5,1604855.875,158450.2188,145181.3281,158679.6875,156997.2813,156257.6875,149098.0625,155321.3906,161290.5,143076.7031,162653.3594,150987.4531,151731.0313,1849724.75,158460.7188,146135.6875,145894.2969,0,129072.0938,149466.25,154898.625,155134.2656,148882.375,162756.4375,144464.5156,158530.75,1653696,10213303
  Palo Verde 2:MW                ,160252.8125,146690.1875,140547.7969,0,129752.0703,156226.9688,156786.6406,155703.125,150211.2813,164053.0469,145204.3438,159516.8906,1664945.125,152853.6875,147584.8594,164792.125,157824.9063,151507.7969,156055.7031,156429.7656,156537.8906,149356.3125,6055.5439,52348.6211,159046.2031,1610393.375,153315.4219,152794.0938,166092.6719,151599.2344,156911.4531,156902.4531,149501.0469,162314.7813,150426.6094,157421.0781,151560.3594,153371.5625,1862210.75,158805.7969,147291.0781,159198.5313,0,117675.6016,156328.3906,149986.9688,162447.2344,143838.1563,163729.2344,151564.0938,153061.9375,1663927,159525.9375,146197.9375,159752.7031,157089.125,157751.5781,150435.25,155591.3125,162245.6563,143633.3594,24258.4121,40422.2266,152938.5313,1609841.875,158930.9688,146816.625,159542.6406,157321.75,157491.1719,149711.2031,157123.9531,155932.7969,150405.2969,163121.3906,145499.9219,159055.0938,1860952.75,10272271
  Palo Verde 3:MW                ,159088.7813,146879.7969,159389.9063,156253.3281,151303.5625,155493.6094,154926.1094,154895.6406,149203.9219,162746.4844,144396.6719,159156.2813,1853734,151133.5313,146438.2656,139567.5781,0,135581.2344,154781.1406,155767.3125,154864.8594,148923.3594,157130.1094,150905.2188,158063.125,1653155.75,151790.625,151947.4531,164544.7188,150544.4688,156314.75,155518.8125,148731.6719,161007.2188,149282.1094,29947.4219,32805.9961,151276.1875,1603711.5,157611.625,146342.5313,164710.9531,150134.1875,156952.9844,155253.3281,149258.4844,161584.0781,143174.6719,162139.4063,150829.3594,152403.3125,1850395,158079.9688,146242.4375,151990.5156,0,123142.7266,149524.6875,154782.5313,161462.6563,142682.75,162424.4844,151235.3594,151656.9219,1653225,158117.5781,145965.8438,157787.5938,157237.375,156538.2188,149670,154369.6094,155715.7813,149407.4688,17694.8066,93378.4688,157687.7969,1653570.5,10267791
  Four Corners 4:MW              ,154351.3438,97613.9297,49528.4766,100285.6172,106366.6484,152909.0156,167278.0313,170910.7813,161421.0469,147065.6406,134843.1563,153261.1875,1595834.75,142894.0938,128181.9609,70218.75,112196.2109,106532.375,157150.0938,173484.9688,172283.3281,163603.9688,146613.8906,138029.6719,148368.7813,1659558.125,138303.625,80849.2813,54933.2773,121404.5938,110701.7656,163827.9063,167826.3281,179790.4688,163090.5781,152915.0156,146132.3281,127759.4141,1607534.625,138442,118787.8125,75142.0703,108296.3984,113419.2031,166705.0156,167115.7656,178145.5469,158704.0938,126427.375,125058.5781,129290.8281,1605534.75,133976.3594,134157.6094,69455.4609,117536.8203,112204.1484,148292.5625,156069.2031,163765.5625,144826.8125,131595.0781,130577.8359,163202.0469,1605659.5,141218.3906,123421.9063,130099.3047,120285,115990.5156,150565.6406,162786.5,162287.1406,153339.1094,135665.375,86206.8672,148396.0313,1630261.75,9704384
  Four Corners 5:MW              ,154632.0625,118473.5938,118553.9063,56299.3945,107099.125,153156.9844,167870.7813,173458.6719,159813.9063,146552.5313,134454.2813,154378.375,1644743.5,143107.8281,126291.75,137207.4688,61297.7422,97391.625,160354.3438,172592.2344,173389.5156,162579.1406,145608.2188,138186.2656,146449.0781,1664455.25,139264.9688,137885.2344,134906.7656,26527.2813,80374.4297,161745.7188,167497.625,177795.9844,162994.2813,152738.7969,147025.625,129065.3281,1617822,136843.875,118064.8203,118930.3906,45421.1914,112771,164930.0469,168438.6875,179934.0469,157118.8594,127378.8516,123102.7891,130066.3047,1583000.75,134140.0781,132020.4219,141593.2969,71608.0703,113367.3516,147613.0938,157745.4688,163025.7813,146531.6719,129860.5,129756.3359,165687.4219,1632949.5,141839.0156,121263.3125,39020.7617,121118.5078,116453.0313,148398.7813,164526.375,163575.0938,152448.3281,135346.2813,129680.3047,148148.1719,1581817.875,9724790
  Cholla 1:MW                    ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  Cholla 2:MW                    ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  Cholla 3:MW                    ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  West Phoenix CC1 gas:MW        ,25398.6816,0,0,5402.4116,33318.4805,33509.7383,33600.125,33153.7695,31154.7383,2398.4375,7556.4229,34408.2734,239901.0625,29154.7578,14956.4795,33977.5195,33694.3477,32002.4102,32633.6719,33577.7656,33017.9297,31361.3555,33808.875,32147.8105,34425.9414,374758.8438,30556.7539,17803.9277,33760.8281,31402.4355,33414.7578,32768.7695,31876.7246,35060.1133,30790.2207,31489.2676,33629.1953,33826.9023,376379.9063,27749.6426,17549.3965,34656.5664,32616.6211,33062.2383,33031.4453,32308.2891,34034.7891,29316.9219,35290.3672,33569.3203,33184.3203,376369.875,28087.7637,18926.7656,33342.7422,33593.3359,33616.918,31421.7539,33416.375,34610.582,29919.4941,34639.3281,34506.3984,34538.043,380619.5,27436.9063,14542.6895,34188.9141,34080.4375,33421.9883,32056.5938,33594.4805,33235.2969,31701.2422,34753.5,33043.5117,35936.2266,377991.7813,2126021
  West Phoenix CC2 gas:MW        ,18082.6992,17823.377,20566.9316,21376.1055,15476.8945,17867.0566,25644.6367,24151.6602,20916.6289,2158.2842,16901.3457,19126.0234,220091.625,13532.4258,11547.7695,14703.9893,17966.9707,12647.5117,13931.1465,26235.9863,25084.0098,21599.0293,17064.6719,8109.8433,18243.0566,200666.4219,17484.3789,14366.5586,13814.125,15379.9932,11030.6973,14622.2061,25364.2637,27141.6504,19324.1563,6923.3799,7049.7456,16288.8711,188790.0313,17176.4766,10792.4082,10817.3584,12864.5898,6095.7349,7624.0757,20498.9316,18089.127,13373.1396,5701.2739,16122.7734,13768.0391,152923.9063,16941.875,9727.5146,12399.8818,10620.3105,6034.374,8015.5132,20975.8086,20309.1816,15199.9365,11811.1738,9749.4795,23463.7754,165248.8438,22188.3457,14556.3223,15331.4453,12162.7363,5265.583,9367.5918,28505.9063,26652.9785,20068.2637,10928.0527,10213.9053,27167.0508,202408.1875,1130128.75
