 ( 1) System Summary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 ,  Jan-2026  ,  Feb-2026  ,  Mar-2026  ,  Apr-2026  ,  May-2026  ,  Jun-2026  ,  Jul-2026  ,  Aug-2026  ,  Sep-2026  ,  Oct-2026  ,  Nov-2026  ,  Dec-2026  ,  Tot-2026  ,  Jan-2027  , Feb-2027 , Mar-2027 , Apr-2027 , May-2027 , Jun-2027 , Jul-2027 , Aug-2027 , Sep-2027 , Oct-2027 , Nov-2027 , Dec-2027 , Tot-2027 , Jan-2028 , Feb-2028 , Mar-2028 , Apr-2028 , May-2028 , Jun-2028 , Jul-2028 , Aug-2028 , Sep-2028 , Oct-2028 , Nov-2028 , Dec-2028 , Tot-2028 , Jan-2029 , Feb-2029 , Mar-2029 , Apr-2029 , May-2029 , Jun-2029 , Jul-2029 , Aug-2029 , Sep-2029 , Oct-2029 , Nov-2029 , Dec-2029 , Tot-2029 , Jan-2030 , Feb-2030 , Mar-2030 , Apr-2030 , May-2030 , Jun-2030 , Jul-2030 , Aug-2030 , Sep-2030 , Oct-2030 , Nov-2030 , Dec-2030 , Tot-2030 , Jan-2031 , Feb-2031 , Mar-2031 , Apr-2031 , May-2031 , Jun-2031 , Jul-2031 , Aug-2031 , Sep-2031 , Oct-2031 , Nov-2031 , Dec-2031 , Tot-2031 ,    Total 
  Thermal Generation (MWH)       ,"2,329,586","2,000,193","1,953,348","1,721,735","2,278,577","2,646,214","3,319,124","3,292,894","2,724,612","2,271,956","1,852,715","2,224,055","28,615,008","2,295,361",1998356.125,1863910.125,1664057.875,2160450.5,2500959.25,3181685.75,3168609.75,2663413.75,2170223,1986392.875,2401659.75,28055080,2460083.25,2066077.5,1920371.125,1644399.75,2177170.75,2571147.25,3372224.5,3367076.5,2818490.5,2322518.75,2205389,2694944.5,29619892,2592195.25,2161031.25,2141847.5,1769443.875,2243957.25,2717675.75,3597467.25,3648514,3106717.75,2583739.25,"2,374,707",2823177,31760472,2794085.75,2337932.75,2259114.25,1947922.875,2370193.75,2833576.25,3708572.25,3750685,3261990,2772692,2644014.75,3094538.25,33775320,3225313.5,2579496,2453211.5,2220600.5,2599057.25,3228132.25,4304061,4293443.5,3720157,3003884,2808507.75,3418785,37854648,189680416
  Hydro/Battery Discharge  (MWH) ,"104,991","90,910","130,287","147,078","105,250","161,772","221,561","169,512","197,161","243,600","292,284","299,760","2,164,166","238,593",244128.5469,194043.5,267361.8125,152927.3125,234185.5,281559.75,299851.8125,274838.9375,289038.625,319649.7813,244029.7031,3040208.5,217659.7656,255231.4844,228239.7969,308428.1875,212169.2344,313437.0938,296969.375,286015.1563,328326.4063,333820.1563,294328.1875,185801.4531,3260426.75,335834.5625,268722.2188,325995.0938,360244,286145.1875,316159.2813,281154.625,322603.375,314776.8125,293622.9063,"310,043",265160.4063,3680461.25,324465.75,312976.5313,353737.8438,388983.9063,356488.1875,336705.125,295838.5313,352870.5938,308001.25,308775.375,291912.9688,317706.625,3948462.5,340920.4375,346428.5625,409438.625,392207.9688,371520.375,317751.4688,322210.375,338487.8125,334916.125,378865.4063,375220.5938,410067.3125,4338035.5,20431758
  Wind/Solar Generation (MWH)    ,"389,418","393,145","522,846","632,514","768,216","1,028,254","975,850","919,322","857,139","799,797","680,355","663,598","8,630,453","629,683",652510.875,824777.0625,1086341.625,1034568.25,1430176.5,1431763.875,1356134.875,1240781.625,1083567.25,854817.6875,802992.0625,12428115,739812.1875,841134.3125,951554.5625,1290662.625,1209559,1543869.625,1455125.5,1376942.25,1283806.125,1152707.75,925989.75,845494.1875,13616658,903114.8125,917377.5,1148428.75,1406926.75,1404421,1612984,1448473,1378669.125,1290548.25,1166404.5,"962,566",892911.6875,14532826,914269.25,986437.25,1267742,1494517.75,1530653.25,1640520.625,1470916.375,1400226.875,1313690.875,1200663.875,982325.5,912322.9375,15114287,935539.6875,1020517.5,1359056,1521988.5,1589312,1680163.25,1466814.25,1394221.875,1309647.25,1196431.5,982034,908405.5,15364132,79686464
  Total Net DLC Load (MWH)       , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  Energy Purchased (MWH)         ,"281,689","143,946","243,569","280,829","220,508","349,238","376,365","354,358","336,377","177,464","207,924","197,248","3,169,514","239,135",153013.7031,265540.5,222888.9844,224687.3594,229434.1563,235890,221865.9531,204156.4531,178676.9375,157188.2344,139809.875,2472287,188929.2813,151333.2969,196814.2813,213621.1406,232282.1875,235771.6875,235213.5781,226938.4375,207286.3125,184792.7656,160121.8438,139142.375,2372247,179657.6406,161278.2031,193797.9063,241465.2344,235363.875,242824.0781,245091.7656,228560.875,210187.2188,192453.7969,"208,125",164104.7813,2502910.25,259570.625,174751.4219,196924.0781,241215.9844,254025.1406,380000.3125,394573,376669.4063,351544.9688,206218.0781,187277.6563,172716.9844,3195487.75,196168.5938,193325.2344,209832.3438,240574.5156,257230.7969,241694.0625,226077.875,219001.1563,199026.0781,249285.5781,272527.1875,194170.9375,2698914.5,16411360
  Shortfall Energy (MWH)         , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  System Native Energy (MWH)     ,"2,738,288","2,286,180","2,451,775","2,467,757","2,879,092","3,663,095","4,361,056","4,199,449","3,555,607","2,933,419","2,563,487","2,860,143","36,959,348","2,874,467",2497807.75,2622015,2688467.25,3093930.5,3790173.75,4494616.5,4359286.5,3738763,3096255,2762819.75,3050723,39069328,3098851,2741076.25,2798545.5,2873355.75,3291058.5,3994173.75,4703774,4586201,3954197.75,3312268.75,2988493.5,3298028.75,41640024,3364672.75,2922539.25,3083445.5,3121315,3540224.25,4257215.5,4998816.5,4874242,4223872.5,3591785.5,"3,273,491",3598399.75,44850020,3661250.5,3193731.5,3367964.75,3395699.5,3800477,4495529.5,5275230,5135266,4493053.5,3841759.75,3530141.5,3876829,48066932,3936642.5,3436929,3618045.75,3635711.25,4028285.5,4730825,5516066.5,5368130,4713854,4051221.5,3739616.75,4099784,50875108,261460768
  System Native Peak Demand (MW) ,"5,206","4,863","4,541","5,172","6,010","7,695","8,543","8,585","7,441","5,972","4,553","5,040","8,585","5,447",5313.1948,4909.3047,5797,6383.3994,7821.3076,8728.1074,8779.6074,7823.605,6247,4931.5957,5370.8052,8779.6074,5848.4014,5607.5977,5182,6165.8062,6714.5,8196.6924,9071.8916,9025.8916,8284.8076,6272.6938,5261.6948,5793.4014,9071.8916,6264.1938,6012.8062,5668.6943,6627.6021,6951.3066,8658,9429.8916,9483.3916,8619.8926,7121,"5,826",6300.8994,9483.3916,6771.6934,6480.6938,5976.5996,7109.6035,7591.6924,9084.1914,9823.1914,9864.3906,9111.1084,7515.1045,6251.6938,6760.3975,9864.3906,7219.6934,6971.6934,6515.6938,7353.1035,7980.3076,9519.1914,10169.3896,10099.1914,9535.6914,7840.1924,6635.6938,7105.8066,10169.3896,10169.3896
  Energy Sold (MWH)              ,"239,028","234,650","248,057","143,050","369,433","334,721","276,498","331,151","327,663","274,463","130,154","172,398","3,081,265","248,312",263137.9063,300427.6875,242940.5156,297807.8125,331154.625,311408.6875,335707.75,326292.5938,285795.25,184339.4375,248911.7656,3376235.75,250652.7969,277137,234116.3594,224648.6875,291886.125,313068.9063,306270.25,334891.1563,302676.7188,291132.375,253029.7969,346286.2813,3425796.5,260192.125,268868.1875,347131.875,240869.875,294116.5625,267054.25,246141.4844,329672.375,327010.7188,304638.125,"219,443",236825.2969,3341964,254580.4063,249727.7969,295845.25,227935.4531,295391.8125,303895,250739.3594,331844.2813,385795.125,282890.5625,237131.0156,251775.3594,3367551.25,364507.1875,292728.625,335456.625,286397.125,355911.7188,367565.6875,429482.875,475415.3125,463482.0938,332735.8438,262427.4375,352798.7188,4318909,20911720
  <<BLANK 1>>                    , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  Hydro/Battery Charge (MWH)     ,"128,365","107,356","150,216","171,349","124,024","187,661","255,346","205,487","232,020","284,936","339,636","352,121","2,538,518","279,992",287063.6875,225828.375,309242.3125,180895,273426.4688,324872.5313,351467.375,318134.3125,339456.4063,370889.0313,288856.375,3550124,256979.5,295563.8125,264317.125,359106.8438,248237.4531,356982.7188,349488.0313,335880.1875,381035.4375,390439.1875,344306.0938,221066.0156,3803402.5,385936.9063,317002,379491.6875,415895.5313,335546.0313,365374.4688,327226.875,374431.7188,371346.0938,339797.4063,"362,506",310128.75,4284684,376559.2813,368638.0313,413708.75,449003.5938,415489.5625,391378.5313,343929.8438,413342.4688,356377.5938,363698.7188,338259.375,368679.5625,4599065,396791.2813,410108.7188,478036.375,453261.4375,432922.6875,369351.2813,373613.9688,401608.75,386410.9688,444508.3125,436243.4688,478846.4063,5061703.5,23837498
  Dump Energy (MWH)              ,1.3093,6.1785,0,0,0,0,0,0,0,0,0,0,7.4878, -   ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.4878
  Thermal Fixed+Capital Cost ($) ,0,0,0,0,0,0,0,0,0,0,0,0,0, -   ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  Thermal Variable Cost ($)      ,58642700,30936860,22452938,7218354.5,19019878,36356884,60026252,65431868,54939080,49221680,49990156,67936184,522172800,"73,680,288",59114604,43301992,35003856,41428848,56168792,80910328,80449512,66030628,54847708,54463012,72472216,717871808,78193720,58423372,44296428,35172284,44124084,63831848,92702240,96487392,76157640,62366524,66198456,86441840,804395840,87979288,66700620,48351232,41706492,50933556,70971432,104395712,108046616,89469320,69787200,"72,846,176",90267248,901454848,91445840,70854304,60252092,45075104,51406060,68137128,105419056,108990584,92139776,80754360,83967464,105648152,964089920,113926752,82338544,69100792,54784984,58101736,79500464,130598328,132663144,110274144,91064168,89540024,117072504,1128965632,5038950912
  Thermal Total Cost ($)         ,58642700,30936860,22452938,7218354.5,19019878,36356884,60026252,65431868,54939080,49221680,49990156,67936184,522172800,"73,680,288",59114604,43301992,35003856,41428848,56168792,80910328,80449512,66030628,54847708,54463012,72472216,717871808,78193720,58423372,44296428,35172284,44124084,63831848,92702240,96487392,76157640,62366524,66198456,86441840,804395840,87979288,66700620,48351232,41706492,50933556,70971432,104395712,108046616,89469320,69787200,"72,846,176",90267248,901454848,91445840,70854304,60252092,45075104,51406060,68137128,105419056,108990584,92139776,80754360,83967464,105648152,964089920,113926752,82338544,69100792,54784984,58101736,79500464,130598328,132663144,110274144,91064168,89540024,117072504,1128965632,5038950912
  Hydro/Battery Fixed Cost ($)   ,0,0,0,0,0,0,0,0,0,0,0,0,0, -   ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  DLC Fixed Cost ($)             ,0,0,0,0,0,0,0,0,0,0,0,0,0, -   ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  Hydro/Battery Variable Cost ($ ,1169.5063,1068.8959,1238.5077,1642.6445,825.7073,50.8805,192.462,58.973,25.1594,0,4.1408,17.2378,6294.1152, -   ,0,0,0,0,0,1.9908,0,0,0,0,0,1.9908,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.6319,0.0123,37.2042,0,0,0,0,40.8483,3.9816,0,0,0,0,0,11.7457,49.214,0,0,0,9.2746,74.2159,0,0,0,0,0,2.9466,1.9908,0,0,0,0,0,4.9374,6416.1069
  Hydro/Battery Total Cost ($)   ,1169.5063,1068.8959,1238.5077,1642.6445,825.7073,50.8805,192.462,58.973,25.1594,0,4.1408,17.2378,6294.1152, -   ,0,0,0,0,0,1.9908,0,0,0,0,0,1.9908,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.6319,0.0123,37.2042,0,0,0,0,40.8483,3.9816,0,0,0,0,0,11.7457,49.214,0,0,0,9.2746,74.2159,0,0,0,0,0,2.9466,1.9908,0,0,0,0,0,4.9374,6416.1069
  Wind/Solar Total Costs ($)     ,8478517,8799070,11442388,11337152,19017338,18179206,12067521,11211058,11786452,12380360,12394949,13398966,150492976,"11,649,091",13828300,20866886,18897922,21715712,19151916,11587229,10887594,11623327,12624589,12757005,13736594,179326160,13641023,16241453,23547748,21006514,23242344,18016424,11656394,10850794,11339857,12109120,12069085,13108251,186829008,11443529,14029238,20554274,19213602,20530958,17076212,11627066,10851502,11241548,11895359,"11,608,218",12605600,172677104,11326691,13107288,18951304,17940122,18672022,17237520,11645498,10844337,11296161,11852239,11618217,12702986,167194400,11402461,12879448,18009422,18076848,18308386,16711400,11739284,10870280,11273171,11896937,11699018,12673261,165539920,1022059584
  Cost of Purchases ($)          ,13714807,11881061,19042482,21242668,21725230,26186082,31102864,30726104,27479514,16835078,16973018,14673490,251582416,"16,180,104",13082516,19213214,20922868,22378750,23753880,25613108,23916332,21338600,16942354,13462860,11472172,228276784,15392524,13985005,18264532,19812506,23364552,25099134,27169926,26577990,21994868,17418272,13660292,12749407,235488992,13346913,14076005,18680662,20794138,23358818,25116952,30727066,27927112,23999636,18324418,"15,235,660",13273212,244860608,17556198,13844919,18711086,20799046,23472476,29919390,44498636,41893652,34300376,18527544,14791329,14013175,292327840,13757423,14462600,19264188,20975438,23824878,25248902,28988582,27804698,23390180,19682722,16858694,14280316,248538624,1501075200
  Revenue from Sales ($)         ,7624270.5,5108886.5,5125877,1839724.125,5944548.5,8751808,11458609,17812934,13687727,9375629,4150868.5,7111204,97992096,"12,625,563",10414701,6244892,5622239.5,6479367.5,10697428,16938382,20758188,16108099,11376394,7639955,11601362,136506576,15187715,14784851,6713652.5,5744107.5,7303190.5,13348589,21052066,26709100,17190760,12379708,11696645,21727060,173837440,17878806,15300367,14431062,7051238.5,7897524,9860927,19878338,29315612,22555654,14509221,"11,790,920",13952613,184422272,17402002,15198042,13108413,7280670,8917506,11394309,20798278,29794042,26898228,14322300,12889682,14885745,192889216,26321018,20324780,18017260,10271509,11549876,14962975,38569760,44284092,34556260,17836250,15387777,22784374,274865952,1060513536
  Supplemental Dump Value ($)    ,-24.2739,-110.3484,0,0,0,0,0,0,0,0,0,0,-134.6222, -   ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-134.6222
  Shortfall Energy Cost ($)      ,0,0,0,0,0,0,0,0,0,0,0,0,0, -   ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
