Year,Coal EXT 1,Coal EXT 2,Cholla 1 Repower Gas,Cholla 3 Repower Gas,Desert Sun CCH 1,Desert Sun CCH 2,Saguaro DS CT1,Saguaro DS CT2,Eagle PumpHydro ,Generic Bio,Generic Bio TL,New Geothermal,Generic Geo TL,NM Wind Tranche 1,NM Wind Tranche 2,NM Wind Tranche 3,NM Wind Tranche 4,Solar Tranche 1,Solar Tranche 2,Solar Tranche 3,Solar Tranche 4,Solar Tranche 5,Solar Tranche 6,AZ Wind Tranche 1,Generic AdvNuc,Generic AdvNuc TL,Generic FC H Frame,Generic FC LgFrameCT,Generic SMR,Generic SMR TL,Generic H Frame TL,Generic H Frame,Generic H Frame Tolls,Generic LgFrameCT TL,Generic LgFrameCT,NM Wind Hidalgo,NM Wind FC,SRP PumpHydro Phase 1,SRP PumpHydro Phase 2,ESS_6H_T1,ESS_6H_T2,ESS_6H_T3,ESS_8H_T1,ESS_8H_T2,ESS_8H_T3
2025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2027,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2028,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2029,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2030,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2031,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2032,0,0,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0.108085999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
2033,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0.108085999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0
2034,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0.108085999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,1,0,0,0,0,0,0,0
2035,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0.108085999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,1,1,0,0,0,0,0,0,0
2036,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0.108085999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,1,1,0,0,0,0,0,0,0
2037,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0.792577026,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,1,1,0,0,0,0,0,0,0
2038,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1.000000031,1,0.082473,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,1,1,0,0,0,0,0,0,0
2039,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1.000000031,1,0.082473,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,1,1,0,0,0,0,0,0,0
2040,0,0,1,1,1,1,1,1,0,0,0,0,0,0.943961975,0,0,0,1.000000031,1,0.082473,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,1,1,0,0,0,0,0,0,0
2041,0,0,1,1,1,1,1,1,0,0,0,0,0,0.943961975,0,0,0,1.000000031,1,0.082473,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,1,1,0,0,0,0,0,0,0
2042,0,0,1,1,1,1,1,1,0,0,0,0,0,0.999999973,0,0,0,1.000000031,1,0.082473,0,0,0,0,0,0,0,1,0,0,0,0,2,0,2,0,1,1,0,0,0,0,0,0,0
2043,0,0,1,1,1,1,1,1,0,0,0,0,0,0.999999973,0.000564,0,0,1.000000031,1,0.082473,0,0,0,0,0,0,0,1,0,0,0,0,2,0,2,0,1,1,0,0,0,0,0,0,0
2044,0,0,1,1,1,1,1,1,0,0,0,0,0,0.999999973,0.999999974,1,0.549497002,1.000000031,1,0.562634987,0,0,0,0.072803001,0,0,0,1,0,0,0,0,2,1,2,0,1,1,0,0,0,0,0,0,0
2045,0,0,1,1,1,1,1,1,0,0,0,0,0,0.999999973,0.999999974,1,0.593919004,1.000000031,1,0.858206978,0,0,0,1.000000023,0,0,0,2,0,0,0,0,2,2,4,0,1,1,0,0.243261993,0,0,0,0,0
