Year,Month,Value
2026,1,0
2026,2,0
2026,3,0
2026,4,0
2026,5,0
2026,6,0
2026,7,0
2026,8,0
2026,9,0
2026,10,0
2026,11,0
2026,12,0
2027,1,0
2027,2,0
2027,3,0
2027,4,0
2027,5,0
2027,6,0
2027,7,0
2027,8,0
2027,9,0
2027,10,0
2027,11,0
2027,12,0
2028,1,0
2028,2,0
2028,3,0
2028,4,0
2028,5,0
2028,6,0
2028,7,0
2028,8,0
2028,9,0
2028,10,0
2028,11,0
2028,12,0
2029,1,0
2029,2,0
2029,3,0
2029,4,0
2029,5,0
2029,6,0
2029,7,0
2029,8,0
2029,9,0
2029,10,0
2029,11,0
2029,12,0
2030,1,534
2030,2,534
2030,3,534
2030,4,534
2030,5,534
2030,6,534
2030,7,534
2030,8,534
2030,9,534
2030,10,534
2030,11,534
2030,12,534
2031,1,534
2031,2,534
2031,3,534
2031,4,534
2031,5,534
2031,6,534
2031,7,534
2031,8,534
2031,9,534
2031,10,534
2031,11,534
2031,12,534
2032,1,534
2032,2,534
2032,3,534
2032,4,534
2032,5,534
2032,6,534
2032,7,534
2032,8,534
2032,9,534
2032,10,534
2032,11,534
2032,12,534
2033,1,534
2033,2,534
2033,3,534
2033,4,534
2033,5,534
2033,6,534
2033,7,534
2033,8,534
2033,9,534
2033,10,534
2033,11,534
2033,12,534
2034,1,534
2034,2,534
2034,3,534
2034,4,534
2034,5,534
2034,6,534
2034,7,534
2034,8,534
2034,9,534
2034,10,534
2034,11,534
2034,12,534
2035,1,534
2035,2,534
2035,3,534
2035,4,534
2035,5,534
2035,6,534
2035,7,534
2035,8,534
2035,9,534
2035,10,534
2035,11,534
2035,12,534
2036,1,534
2036,2,534
2036,3,534
2036,4,534
2036,5,534
2036,6,534
2036,7,534
2036,8,534
2036,9,534
2036,10,534
2036,11,534
2036,12,534
2037,1,534
2037,2,534
2037,3,534
2037,4,534
2037,5,534
2037,6,534
2037,7,534
2037,8,534
2037,9,534
2037,10,534
2037,11,534
2037,12,534
2038,1,534
2038,2,534
2038,3,534
2038,4,534
2038,5,534
2038,6,534
2038,7,534
2038,8,534
2038,9,534
2038,10,534
2038,11,534
2038,12,534
2039,1,534
2039,2,534
2039,3,534
2039,4,534
2039,5,534
2039,6,534
2039,7,534
2039,8,534
2039,9,534
2039,10,534
2039,11,534
2039,12,534
2040,1,534
2040,2,534
2040,3,534
2040,4,534
2040,5,534
2040,6,534
2040,7,534
2040,8,534
2040,9,534
2040,10,534
2040,11,534
2040,12,534
2041,1,534
2041,2,534
2041,3,534
2041,4,534
2041,5,534
2041,6,534
2041,7,534
2041,8,534
2041,9,534
2041,10,534
2041,11,534
2041,12,534
2042,1,534
2042,2,534
2042,3,534
2042,4,534
2042,5,534
2042,6,534
2042,7,534
2042,8,534
2042,9,534
2042,10,534
2042,11,534
2042,12,534
2043,1,534
2043,2,534
2043,3,534
2043,4,534
2043,5,534
2043,6,534
2043,7,534
2043,8,534
2043,9,534
2043,10,534
2043,11,534
2043,12,534
2044,1,534
2044,2,534
2044,3,534
2044,4,534
2044,5,534
2044,6,534
2044,7,534
2044,8,534
2044,9,534
2044,10,534
2044,11,534
2044,12,534
2045,1,534
2045,2,534
2045,3,534
2045,4,534
2045,5,534
2045,6,534
2045,7,534
2045,8,534
2045,9,534
2045,10,534
2045,11,534
2045,12,534
2046,1,534
2046,2,534
2046,3,534
2046,4,534
2046,5,534
2046,6,534
2046,7,534
2046,8,534
2046,9,534
2046,10,534
2046,11,534
2046,12,534
2047,1,534
2047,2,534
2047,3,534
2047,4,534
2047,5,534
2047,6,534
2047,7,534
2047,8,534
2047,9,534
2047,10,534
2047,11,534
2047,12,534
2048,1,534
2048,2,534
2048,3,534
2048,4,534
2048,5,534
2048,6,534
2048,7,534
2048,8,534
2048,9,534
2048,10,534
2048,11,534
2048,12,534
2049,1,534
2049,2,534
2049,3,534
2049,4,534
2049,5,534
2049,6,534
2049,7,534
2049,8,534
2049,9,534
2049,10,534
2049,11,534
2049,12,534
2050,1,534
2050,2,534
2050,3,534
2050,4,534
2050,5,534
2050,6,534
2050,7,534
2050,8,534
2050,9,534
2050,10,534
2050,11,534
2050,12,534
2051,1,534
2051,2,534
2051,3,534
2051,4,534
2051,5,534
2051,6,534
2051,7,534
2051,8,534
2051,9,534
2051,10,534
2051,11,534
2051,12,534
2052,1,534
2052,2,534
2052,3,534
2052,4,534
2052,5,534
2052,6,534
2052,7,534
2052,8,534
2052,9,534
2052,10,534
2052,11,534
2052,12,534
2053,1,534
2053,2,534
2053,3,534
2053,4,534
2053,5,534
2053,6,534
2053,7,534
2053,8,534
2053,9,534
2053,10,534
2053,11,534
2053,12,534
