Year,Month,Value
2026,1,140000
2026,2,140000
2026,3,100000
2026,4,104000
2026,5,140000
2026,6,195000
2026,7,220000
2026,8,220000
2026,9,200000
2026,10,104000
2026,11,100000
2026,12,140000
2027,1,140000
2027,2,140000
2027,3,100000
2027,4,104000
2027,5,140000
2027,6,195000
2027,7,220000
2027,8,220000
2027,9,200000
2027,10,104000
2027,11,100000
2027,12,140000
2028,1,140000
2028,2,140000
2028,3,100000
2028,4,104000
2028,5,140000
2028,6,195000
2028,7,220000
2028,8,220000
2028,9,200000
2028,10,104000
2028,11,100000
2028,12,140000
2029,1,140000
2029,2,140000
2029,3,100000
2029,4,104000
2029,5,140000
2029,6,195000
2029,7,220000
2029,8,220000
2029,9,200000
2029,10,104000
2029,11,100000
2029,12,140000
2030,1,140000
2030,2,140000
2030,3,100000
2030,4,104000
2030,5,140000
2030,6,195000
2030,7,220000
2030,8,220000
2030,9,200000
2030,10,104000
2030,11,100000
2030,12,140000
2031,1,674000
2031,2,674000
2031,3,634000
2031,4,638000
2031,5,674000
2031,6,729000
2031,7,754000
2031,8,754000
2031,9,734000
2031,10,638000
2031,11,634000
2031,12,674000
2032,1,674000
2032,2,674000
2032,3,634000
2032,4,638000
2032,5,674000
2032,6,729000
2032,7,754000
2032,8,754000
2032,9,734000
2032,10,638000
2032,11,634000
2032,12,674000
2033,1,674000
2033,2,674000
2033,3,634000
2033,4,638000
2033,5,674000
2033,6,729000
2033,7,754000
2033,8,754000
2033,9,734000
2033,10,638000
2033,11,634000
2033,12,674000
2034,1,674000
2034,2,674000
2034,3,634000
2034,4,638000
2034,5,674000
2034,6,729000
2034,7,754000
2034,8,754000
2034,9,734000
2034,10,638000
2034,11,634000
2034,12,674000
2035,1,674000
2035,2,674000
2035,3,634000
2035,4,638000
2035,5,674000
2035,6,729000
2035,7,754000
2035,8,754000
2035,9,734000
2035,10,638000
2035,11,634000
2035,12,674000
2036,1,674000
2036,2,674000
2036,3,634000
2036,4,638000
2036,5,674000
2036,6,729000
2036,7,754000
2036,8,754000
2036,9,734000
2036,10,638000
2036,11,634000
2036,12,674000
2037,1,674000
2037,2,674000
2037,3,634000
2037,4,638000
2037,5,674000
2037,6,729000
2037,7,754000
2037,8,754000
2037,9,734000
2037,10,638000
2037,11,634000
2037,12,674000
2038,1,674000
2038,2,674000
2038,3,634000
2038,4,638000
2038,5,674000
2038,6,729000
2038,7,754000
2038,8,754000
2038,9,734000
2038,10,638000
2038,11,634000
2038,12,674000
2039,1,674000
2039,2,674000
2039,3,634000
2039,4,638000
2039,5,674000
2039,6,729000
2039,7,754000
2039,8,754000
2039,9,734000
2039,10,638000
2039,11,634000
2039,12,674000
2040,1,674000
2040,2,674000
2040,3,634000
2040,4,638000
2040,5,674000
2040,6,729000
2040,7,754000
2040,8,754000
2040,9,734000
2040,10,638000
2040,11,634000
2040,12,674000
2041,1,674000
2041,2,674000
2041,3,634000
2041,4,638000
2041,5,674000
2041,6,729000
2041,7,754000
2041,8,754000
2041,9,734000
2041,10,638000
2041,11,634000
2041,12,674000
2042,1,674000
2042,2,674000
2042,3,634000
2042,4,638000
2042,5,674000
2042,6,729000
2042,7,754000
2042,8,754000
2042,9,734000
2042,10,638000
2042,11,634000
2042,12,674000
2043,1,674000
2043,2,674000
2043,3,634000
2043,4,638000
2043,5,674000
2043,6,729000
2043,7,754000
2043,8,754000
2043,9,734000
2043,10,638000
2043,11,634000
2043,12,674000
2044,1,674000
2044,2,674000
2044,3,634000
2044,4,638000
2044,5,674000
2044,6,729000
2044,7,754000
2044,8,754000
2044,9,734000
2044,10,638000
2044,11,634000
2044,12,674000
2045,1,674000
2045,2,674000
2045,3,634000
2045,4,638000
2045,5,674000
2045,6,729000
2045,7,754000
2045,8,754000
2045,9,734000
2045,10,638000
2045,11,634000
2045,12,674000
2046,1,674000
2046,2,674000
2046,3,634000
2046,4,638000
2046,5,674000
2046,6,729000
2046,7,754000
2046,8,754000
2046,9,734000
2046,10,638000
2046,11,634000
2046,12,674000
2047,1,674000
2047,2,674000
2047,3,634000
2047,4,638000
2047,5,674000
2047,6,729000
2047,7,754000
2047,8,754000
2047,9,734000
2047,10,638000
2047,11,634000
2047,12,674000
2048,1,674000
2048,2,674000
2048,3,634000
2048,4,638000
2048,5,674000
2048,6,729000
2048,7,754000
2048,8,754000
2048,9,734000
2048,10,638000
2048,11,634000
2048,12,674000
2049,1,674000
2049,2,674000
2049,3,634000
2049,4,638000
2049,5,674000
2049,6,729000
2049,7,754000
2049,8,754000
2049,9,734000
2049,10,638000
2049,11,634000
2049,12,674000
2050,1,674000
2050,2,674000
2050,3,634000
2050,4,638000
2050,5,674000
2050,6,729000
2050,7,754000
2050,8,754000
2050,9,734000
2050,10,638000
2050,11,634000
2050,12,674000
2051,1,674000
2051,2,674000
2051,3,634000
2051,4,638000
2051,5,674000
2051,6,729000
2051,7,754000
2051,8,754000
2051,9,734000
2051,10,638000
2051,11,634000
2051,12,674000
2052,1,674000
2052,2,674000
2052,3,634000
2052,4,638000
2052,5,674000
2052,6,729000
2052,7,754000
2052,8,754000
2052,9,734000
2052,10,638000
2052,11,634000
2052,12,674000
2053,1,674000
2053,2,674000
2053,3,634000
2053,4,638000
2053,5,674000
2053,6,729000
2053,7,754000
2053,8,754000
2053,9,734000
2053,10,638000
2053,11,634000
2053,12,674000
