Year,Month,Value
2026,1,0
2026,2,0
2026,3,0
2026,4,0
2026,5,0
2026,6,0
2026,7,0
2026,8,0
2026,9,0
2026,10,0
2026,11,0
2026,12,0
2027,1,0
2027,2,0
2027,3,0
2027,4,0
2027,5,0
2027,6,0
2027,7,0
2027,8,0
2027,9,0
2027,10,0
2027,11,0
2027,12,0
2028,1,0
2028,2,0
2028,3,0
2028,4,0
2028,5,0
2028,6,0
2028,7,0
2028,8,0
2028,9,0
2028,10,0
2028,11,0
2028,12,0
2029,1,0
2029,2,0
2029,3,0
2029,4,0
2029,5,0
2029,6,0
2029,7,0
2029,8,0
2029,9,0
2029,10,0
2029,11,0
2029,12,0
2030,1,0
2030,2,0
2030,3,0
2030,4,0
2030,5,0
2030,6,0
2030,7,0
2030,8,0
2030,9,0
2030,10,0
2030,11,0
2030,12,0
2031,1,86000
2031,2,86000
2031,3,86000
2031,4,86000
2031,5,86000
2031,6,86000
2031,7,86000
2031,8,86000
2031,9,86000
2031,10,86000
2031,11,86000
2031,12,86000
2032,1,86000
2032,2,86000
2032,3,86000
2032,4,86000
2032,5,86000
2032,6,86000
2032,7,86000
2032,8,86000
2032,9,86000
2032,10,86000
2032,11,86000
2032,12,86000
2033,1,86000
2033,2,86000
2033,3,86000
2033,4,86000
2033,5,86000
2033,6,86000
2033,7,86000
2033,8,86000
2033,9,86000
2033,10,86000
2033,11,86000
2033,12,86000
2034,1,86000
2034,2,86000
2034,3,86000
2034,4,86000
2034,5,86000
2034,6,86000
2034,7,86000
2034,8,86000
2034,9,86000
2034,10,86000
2034,11,86000
2034,12,86000
2035,1,86000
2035,2,86000
2035,3,86000
2035,4,86000
2035,5,86000
2035,6,86000
2035,7,86000
2035,8,86000
2035,9,86000
2035,10,86000
2035,11,86000
2035,12,86000
2036,1,86000
2036,2,86000
2036,3,86000
2036,4,86000
2036,5,86000
2036,6,86000
2036,7,86000
2036,8,86000
2036,9,86000
2036,10,86000
2036,11,86000
2036,12,86000
2037,1,86000
2037,2,86000
2037,3,86000
2037,4,86000
2037,5,86000
2037,6,86000
2037,7,86000
2037,8,86000
2037,9,86000
2037,10,86000
2037,11,86000
2037,12,86000
2038,1,86000
2038,2,86000
2038,3,86000
2038,4,86000
2038,5,86000
2038,6,86000
2038,7,86000
2038,8,86000
2038,9,86000
2038,10,86000
2038,11,86000
2038,12,86000
2039,1,86000
2039,2,86000
2039,3,86000
2039,4,86000
2039,5,86000
2039,6,86000
2039,7,86000
2039,8,86000
2039,9,86000
2039,10,86000
2039,11,86000
2039,12,86000
2040,1,86000
2040,2,86000
2040,3,86000
2040,4,86000
2040,5,86000
2040,6,86000
2040,7,86000
2040,8,86000
2040,9,86000
2040,10,86000
2040,11,86000
2040,12,86000
2041,1,86000
2041,2,86000
2041,3,86000
2041,4,86000
2041,5,86000
2041,6,86000
2041,7,86000
2041,8,86000
2041,9,86000
2041,10,86000
2041,11,86000
2041,12,86000
2042,1,86000
2042,2,86000
2042,3,86000
2042,4,86000
2042,5,86000
2042,6,86000
2042,7,86000
2042,8,86000
2042,9,86000
2042,10,86000
2042,11,86000
2042,12,86000
2043,1,86000
2043,2,86000
2043,3,86000
2043,4,86000
2043,5,86000
2043,6,86000
2043,7,86000
2043,8,86000
2043,9,86000
2043,10,86000
2043,11,86000
2043,12,86000
2044,1,86000
2044,2,86000
2044,3,86000
2044,4,86000
2044,5,86000
2044,6,86000
2044,7,86000
2044,8,86000
2044,9,86000
2044,10,86000
2044,11,86000
2044,12,86000
2045,1,86000
2045,2,86000
2045,3,86000
2045,4,86000
2045,5,86000
2045,6,86000
2045,7,86000
2045,8,86000
2045,9,86000
2045,10,86000
2045,11,86000
2045,12,86000
2046,1,86000
2046,2,86000
2046,3,86000
2046,4,86000
2046,5,86000
2046,6,86000
2046,7,86000
2046,8,86000
2046,9,86000
2046,10,86000
2046,11,86000
2046,12,86000
2047,1,86000
2047,2,86000
2047,3,86000
2047,4,86000
2047,5,86000
2047,6,86000
2047,7,86000
2047,8,86000
2047,9,86000
2047,10,86000
2047,11,86000
2047,12,86000
2048,1,86000
2048,2,86000
2048,3,86000
2048,4,86000
2048,5,86000
2048,6,86000
2048,7,86000
2048,8,86000
2048,9,86000
2048,10,86000
2048,11,86000
2048,12,86000
2049,1,86000
2049,2,86000
2049,3,86000
2049,4,86000
2049,5,86000
2049,6,86000
2049,7,86000
2049,8,86000
2049,9,86000
2049,10,86000
2049,11,86000
2049,12,86000
2050,1,86000
2050,2,86000
2050,3,86000
2050,4,86000
2050,5,86000
2050,6,86000
2050,7,86000
2050,8,86000
2050,9,86000
2050,10,86000
2050,11,86000
2050,12,86000
2051,1,86000
2051,2,86000
2051,3,86000
2051,4,86000
2051,5,86000
2051,6,86000
2051,7,86000
2051,8,86000
2051,9,86000
2051,10,86000
2051,11,86000
2051,12,86000
2052,1,86000
2052,2,86000
2052,3,86000
2052,4,86000
2052,5,86000
2052,6,86000
2052,7,86000
2052,8,86000
2052,9,86000
2052,10,86000
2052,11,86000
2052,12,86000
2053,1,86000
2053,2,86000
2053,3,86000
2053,4,86000
2053,5,86000
2053,6,86000
2053,7,86000
2053,8,86000
2053,9,86000
2053,10,86000
2053,11,86000
2053,12,86000
