Year,Month,AZGAS EP PHX/Yuma,AZGAS TW PHX,MKTGas,NewGas,SJ Gas,WALCTollGas EP Griffith,WALCTollGas TW Griffith,WALCTollGas EP South Point,WALCTollGas TW South Point,PermianNewGas EP PHX/Yuma,PermianNewGas TW PHX,FC45_Coal,FC45_Coal_LD
2026,1,4.73,4.73,4.73,5.12,5.12,4.73,4.73,4.73,4.73,3.19,3.19,3.97,0.9528
2026,2,1.89,1.89,1.89,1.93,1.93,1.89,1.89,1.89,1.89,1.69,1.69,3.97,0.9528
2026,3,1.48,1.48,1.48,1.48,1.48,1.48,1.48,1.48,1.48,1.48,1.48,3.97,0.9528
2026,4,1.14,1.14,1.14,1.14,1.14,1.14,1.14,1.14,1.14,1.14,1.14,3.97,0.9528
2026,5,0.97,0.97,0.97,0.97,0.97,0.97,0.97,0.97,0.97,0.97,0.97,3.97,0.9528
2026,6,1.34,1.34,1.34,1.34,1.34,1.34,1.34,1.34,1.34,1.34,1.34,3.97,0.9528
2026,7,2.16,2.16,2.16,2.16,2.16,2.16,2.16,2.16,2.16,2.16,2.16,3.97,0.9528
2026,8,2.29,2.29,2.29,2.29,2.29,2.29,2.29,2.29,2.29,2.29,2.29,3.97,0.9528
2026,9,2.28,2.28,2.28,2.28,2.28,2.28,2.28,2.28,2.28,2.28,2.28,3.97,0.9528
2026,10,2.35,2.35,2.35,2.35,2.35,2.35,2.35,2.35,2.35,2.35,2.35,3.97,0.9528
2026,11,2.76,2.76,2.76,2.94,2.94,2.76,2.76,2.76,2.76,2.03,2.03,3.97,0.9528
2026,12,4.28,4.28,4.28,4.45,4.45,4.28,4.28,4.28,4.28,3.58,3.58,3.97,0.9528
2027,1,4.99,4.99,4.99,5.16,5.16,4.99,4.99,4.99,4.99,4.33,4.33,3.85,0.924
2027,2,4.41,4.41,4.41,4.56,4.56,4.41,4.41,4.41,4.41,3.83,3.83,3.85,0.924
2027,3,2.68,2.68,2.68,2.71,2.71,2.68,2.68,2.68,2.68,2.56,2.56,3.85,0.924
2027,4,2.19,2.19,2.19,2.27,2.27,2.19,2.19,2.19,2.19,1.86,1.86,3.85,0.924
2027,5,2.14,2.14,2.14,2.19,2.19,2.14,2.14,2.14,2.14,1.91,1.91,3.85,0.924
2027,6,2.35,2.35,2.35,2.39,2.39,2.35,2.35,2.35,2.35,2.17,2.17,3.85,0.924
2027,7,2.95,2.95,2.95,3.01,3.01,2.95,2.95,2.95,2.95,2.68,2.68,3.85,0.924
2027,8,3.03,3.03,3.03,3.11,3.11,3.03,3.03,3.03,3.03,2.69,2.69,3.85,0.924
2027,9,2.93,2.93,2.93,3.05,3.05,2.93,2.93,2.93,2.93,2.42,2.42,3.85,0.924
2027,10,2.86,2.86,2.86,2.94,2.94,2.86,2.86,2.86,2.86,2.53,2.53,3.85,0.924
2027,11,3.17,3.17,3.17,3.32,3.32,3.17,3.17,3.17,3.17,2.55,2.55,3.85,0.924
2027,12,4.74,4.74,4.74,5.07,5.07,4.74,4.74,4.74,4.74,3.41,3.41,3.85,0.924
2028,1,5.29,5.29,5.29,5.61,5.61,5.29,5.29,5.29,5.29,4.01,4.01,4,0.96
2028,2,4.43,4.43,4.43,4.71,4.71,4.43,4.43,4.43,4.43,3.31,3.31,4,0.96
2028,3,2.71,2.71,2.71,2.9,2.9,2.71,2.71,2.71,2.71,1.95,1.95,4,0.96
2028,4,2.25,2.25,2.25,2.44,2.44,2.25,2.25,2.25,2.25,1.49,1.49,4,0.96
2028,5,2.3,2.3,2.3,2.47,2.47,2.3,2.3,2.3,2.3,1.62,1.62,4,0.96
2028,6,2.52,2.52,2.52,2.67,2.67,2.52,2.52,2.52,2.52,1.89,1.89,4,0.96
2028,7,3.09,3.09,3.09,3.18,3.18,3.09,3.09,3.09,3.09,2.75,2.75,4,0.96
2028,8,3.35,3.35,3.35,3.45,3.45,3.35,3.35,3.35,3.35,2.94,2.94,4,0.96
2028,9,3.11,3.11,3.11,3.21,3.21,3.11,3.11,3.11,3.11,2.73,2.73,4,0.96
2028,10,3,3,3,3.04,3.04,3,3,3,3,2.84,2.84,4,0.96
2028,11,3.48,3.48,3.48,3.54,3.54,3.48,3.48,3.48,3.48,3.25,3.25,4,0.96
2028,12,4.76,4.76,4.76,4.94,4.94,4.76,4.76,4.76,4.76,4.08,4.08,4,0.96
2029,1,5.35,5.35,5.35,5.53,5.53,5.35,5.35,5.35,5.35,4.61,4.61,4.15,0.996
2029,2,4.61,4.61,4.61,4.77,4.77,4.61,4.61,4.61,4.61,3.94,3.94,4.15,0.996
2029,3,2.58,2.58,2.58,2.62,2.62,2.58,2.58,2.58,2.58,2.39,2.39,4.15,0.996
2029,4,2.44,2.44,2.44,2.54,2.54,2.44,2.44,2.44,2.44,2.01,2.01,4.15,0.996
2029,5,2.38,2.38,2.38,2.39,2.39,2.38,2.38,2.38,2.38,2.34,2.34,4.15,0.996
2029,6,2.63,2.63,2.63,2.66,2.66,2.63,2.63,2.63,2.63,2.48,2.48,4.15,0.996
2029,7,3.21,3.21,3.21,3.26,3.26,3.21,3.21,3.21,3.21,2.98,2.98,4.15,0.996
2029,8,3.29,3.29,3.29,3.35,3.35,3.29,3.29,3.29,3.29,3.07,3.07,4.15,0.996
2029,9,3.21,3.21,3.21,3.27,3.27,3.21,3.21,3.21,3.21,2.99,2.99,4.15,0.996
2029,10,2.97,2.97,2.97,2.99,2.99,2.97,2.97,2.97,2.97,2.9,2.9,4.15,0.996
2029,11,3.6,3.6,3.6,3.67,3.67,3.6,3.6,3.6,3.6,3.28,3.28,4.15,0.996
2029,12,4.37,4.37,4.37,4.47,4.47,4.37,4.37,4.37,4.37,3.98,3.98,4.15,0.996
2030,1,4.81,4.81,4.81,4.93,4.93,4.81,4.81,4.81,4.81,4.3,4.3,4.3,1.032
2030,2,4.3,4.3,4.3,4.43,4.43,4.3,4.3,4.3,4.3,3.77,3.77,4.3,1.032
2030,3,3.21,3.21,3.21,3.28,3.28,3.21,3.21,3.21,3.21,2.96,2.96,4.3,1.032
2030,4,2.45,2.45,2.45,2.49,2.49,2.45,2.45,2.45,2.45,2.27,2.27,4.3,1.032
2030,5,2.42,2.42,2.42,2.46,2.46,2.42,2.42,2.42,2.42,2.27,2.27,4.3,1.032
2030,6,2.61,2.61,2.61,2.66,2.66,2.61,2.61,2.61,2.61,2.41,2.41,4.3,1.032
