Year,UR,Oil,CH13_Coal,FC45_Coal,FC45_Coal_LD,FC45_Gas,CH1_Gas,CH3_Oil,FC45_Coal_Gas
2026,0.65,22.31,0.00,3.97,0.89,5.04,6.12,0.00,3.68
2027,0.67,19.87,0.00,3.85,0.92,5.05,6.00,0.00,4.11
2028,0.74,18.36,0.00,4.00,0.95,4.92,5.88,0.00,4.35
2029,0.81,18.01,0.00,4.15,0.98,4.86,5.92,0.00,4.40
2030,0.87,18.39,0.00,4.30,1.02,4.92,5.80,0.00,4.42
2031,0.97,18.82,0.00,4.47,0.88,4.99,5.75,0.00,4.60
2032,1.08,19.26,0.00,3.08,0.91,5.05,5.71,0.00,4.55
2033,1.14,19.71,0.00,3.20,0.94,5.18,5.84,0.00,4.39
2034,1.28,20.17,0.00,3.32,0.97,5.30,5.95,0.00,4.59
2035,1.32,20.64,0.00,3.45,1.00,5.44,6.14,0.00,4.63
2036,1.35,21.12,0.00,3.58,1.04,5.57,6.27,0.00,4.74
2037,1.38,21.61,0.00,3.72,1.07,5.71,6.40,0.00,4.85
2038,1.42,22.12,0.00,3.86,1.11,5.86,6.53,0.00,4.97
2039,1.45,22.64,0.00,5.04,1.21,6.00,6.67,0.00,6.00
2040,1.49,23.17,0.00,5.17,1.24,6.15,6.81,0.00,6.15
2041,1.53,23.71,0.00,5.30,1.27,6.31,6.95,0.00,6.31
2042,1.56,24.27,0.00,5.43,1.30,6.46,7.10,0.00,6.46
2043,1.60,24.31,0.00,5.57,1.33,6.62,7.28,0.00,6.62
2044,1.64,24.36,0.00,5.71,1.36,6.79,7.46,0.00,6.79
2045,1.68,24.41,0.00,5.85,1.40,6.96,7.65,0.00,6.96
2046,1.73,24.99,0.00,6.04,1.45,7.13,7.84,0.00,7.13
2047,1.77,25.59,0.00,6.25,1.50,7.31,8.04,0.00,7.31
2048,1.81,26.20,0.00,6.46,1.55,7.50,8.24,0.00,7.50
2049,1.86,26.83,0.00,6.68,1.60,7.68,8.44,0.00,7.68
2050,1.90,27.47,0.00,6.91,1.66,7.87,8.65,0.00,7.87
2051,1.95,28.13,0.00,7.14,1.71,8.07,8.87,0.00,8.07
2052,2.00,28.80,0.00,7.38,1.77,8.27,9.09,0.00,8.27
2053,1.77,29.49,0.00,7.63,1.83,8.48,9.32,0.00,8.48
2054,1.81,25.41,0.00,7.89,1.89,8.69,9.55,0.00,8.69
2055,1.86,26.04,0.00,8.16,1.96,8.91,9.79,0.00,8.91
