Year,Month,Cholla 1 Repower Gas,Cholla 3 Repower Gas
2026,1,11149.26004,11402.55391
2026,2,10517.98942,10756.9418
2026,3,10300,10534
2026,4,10300,10534
2026,5,10300,10534
2026,6,10300,10534
2026,7,10300,10534
2026,8,10300,10534
2026,9,10300,10534
2026,10,10300,10534
2026,11,10971.73913,11221
2026,12,10709.11215,10952.40654
2027,1,10650.9018,10892.87375
2027,2,10650.34014,10892.29932
2027,3,10415.29851,10651.91791
2027,4,10676.25571,10918.80365
2027,5,10540.65421,10780.1215
2027,6,10475.31915,10713.30213
2027,7,10509.49153,10748.25085
2027,8,10571.94719,10812.12541
2027,9,10721.843,10965.42662
2027,10,10588.11189,10828.65734
2027,11,10787.3817,11032.45426
2027,12,11017.08861,11267.37975
2028,1,10923.06238,11171.21739
2028,2,10951.0158,11199.80587
2028,3,11022.14022,11272.54613
2028,4,11169.77778,11423.53778
2028,5,11061.30435,11312.6
2028,6,10913.09524,11161.02381
2028,7,10600,10840.81553
2028,8,10607.46269,10848.44776
2028,9,10631.18971,10872.71383
2028,10,10437.33333,10674.45333
2028,11,10477.58621,10715.62069
2028,12,10689.4958,10932.34454
2029,1,10646.54206,10888.41495
2029,2,10657.48373,10899.60521
2029,3,10459.68992,10697.31783
2029,4,10722.13115,10965.72131
2029,5,10343.27731,10578.2605
2029,6,10417.49049,10654.1597
2029,7,10460.43614,10698.081
2029,8,10487.84195,10726.10942
2029,9,10492.52336,10730.8972
2029,10,10369.36027,10604.93603
2029,11,10500.27778,10738.82778
2029,12,10535.69794,10775.05263
2030,1,10556.96466,10796.80249
2030,2,10611.39535,10852.46977
2030,3,10524.61059,10763.7134
2030,4,10468.16327,10705.98367
2030,5,10470.24793,10708.1157
2030,6,10497.31801,10735.80077
2030,7,10434.64052,10671.69935
2030,8,10430.79365,10667.76508
2030,9,10465.0641,10702.8141
2030,10,10398.09524,10634.32381
2030,11,10556.07735,10795.89503
2030,12,10584.13793,10824.5931
2031,1,10642.61954,10884.40333
