Year,Cholla 1 Repower Gas,Cholla 3 Repower Gas,Coal EXT 1,Coal EXT 2,Desert Sun CCH 1,Desert Sun CCH 2,Saguaro DS CT1,Saguaro DS CT2,Eagle PumpHydro ,Generic AdvNuc,AdvNuc Palo Verde,AdvNuc Pinal,New Bio Metro,New Bio Northern,Generic Bio Pinal,Generic Bio Palo Verde,Generic FC H Frame,Generic FC LgFrameCT,New Geothermal,New CC Palo Verde,New CC Pinal,Generic H Frame Tolls,Generic LgFrameCT  Palo Verde,New CT Pinal,SMR Pinal,SMR Palo Verde,NM Wind FC,NM Wind Hidalgo,NM Wind Tranche 1,NM Wind Tranche 2,NM Wind Tranche 3,Solar Tranche 1 Metro,Solar Tranche 2 Metro,Solar Tranche 3 Metro,Solar Tranche 1 Pinal,Solar Tranche 2 Pinal,Solar Tranche 3 Pinal,Solar Tranche 1 Northern,Solar Tranche 2 Northern,Solar Tranche 3 Northern,Solar Tranche 1 Palo Verde,Solar Tranche 2 Palo Verde,Solar Tranche 3 Palo Verde,Solar Tranche 4 Metro,Solar Tranche 5 Metro,Solar Tranche 6 Metro,Solar Tranche 4 Pinal,Solar Tranche 5 Pinal,Solar Tranche 6 Pinal,Solar Tranche 4 Northern,Solar Tranche 5 Northern,Solar Tranche 6 Northern,Solar Tranche 4 Palo Verde,Solar Tranche 5 Palo Verde,Solar Tranche 6 Palo Verde,Solar Tranche 4,Solar Tranche 5,Solar Tranche 6,Generic PumpHydro Phase 1,Generic PumpHydro Phase 2
2026,9.84,9.84,5.24,5.24,6.021323077,6.021323077,2.829,2.829,0,0,0,0,0,0,0,0,6.021323077,2.829,0,6.021323077,6.021323077,6.02,2.829,2.829,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2027,10.09,10.09,5.37,5.37,6.124012308,6.124012308,2.8997,2.8997,0,0,0,0,0,0,0,0,6.124012308,2.8997,0,6.124012308,6.124012308,6.12,2.8997,2.8997,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2028,10.34,10.34,5.51,5.51,6.228072673,6.228072673,2.9722,2.9722,0,0,0,0,0,0,0,0,6.228072673,2.9722,0,6.228072673,6.228072673,6.23,2.9722,2.9722,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2029,10.6,10.6,5.65,5.65,6.333508549,6.333508549,3.0465,3.0465,0,0,0,0,7.243405226,7.243405226,7.243405226,7.243405226,6.333508549,3.0465,1.47427,6.333508549,6.333508549,6.33,3.0465,3.0465,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2030,10.86,10.86,5.79,5.79,6.45749787,6.45749787,3.1227,3.1227,0,0,0,0,7.424490356,7.424490356,7.424490356,7.424490356,6.45749787,3.1227,1.51112,6.45749787,6.45749787,6.46,3.1227,3.1227,0,0,0,52.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2031,11.13,11.13,5.93,5.93,6.566124662,6.566124662,3.2008,3.2008,0,0,0,0,7.610102615,7.610102615,7.610102615,7.610102615,6.566124662,3.2008,1.5489,6.566124662,6.566124662,6.57,3.2008,3.2008,0,0,0,52.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2032,11.41,11.41,6.08,6.08,6.676146859,6.676146859,3.2808,3.2808,0.689255522,0,0,0,7.800355181,7.800355181,7.800355181,7.800355181,6.676146859,3.2808,1.58762,6.676146859,6.676146859,6.68,3.2808,3.2808,0,0,0,52.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.689255522,0.689255522
2033,11.7,11.7,6.23,6.23,6.787566337,6.787566337,3.3628,3.3628,0.70648691,0,0,0,7.99536406,7.99536406,7.99536406,7.99536406,6.787566337,3.3628,1.62732,6.787566337,6.787566337,6.79,3.3628,3.3628,0,0,0,52.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.70648691,0.70648691
2034,11.99,11.99,6.39,6.39,6.900384197,6.900384197,3.4469,3.4469,0.724149083,0,0,0,8.195248162,8.195248162,8.195248162,8.195248162,6.900384197,3.4469,1.668,6.900384197,6.900384197,6.9,3.4469,3.4469,0,0,0,52.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.724149083,0.724149083
2035,12.29,12.29,6.55,6.55,7.014600721,7.014600721,3.5331,3.5331,0.74225281,0,0,0,8.400129366,8.400129366,8.400129366,8.400129366,7.014600721,3.5331,1.7097,7.014600721,7.014600721,7.01,3.5331,3.5331,0,0,0,52.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.74225281,0.74225281
