Year,AdvNuc Palo Verde,AdvNuc Pinal,New Bio Metro,New Bio Northern,Cholla 1 Repower Gas,Cholla 3 Repower Gas,Desert Sun CCH 1,Desert Sun CCH 2,Generic H Frame Tolls,New CC Palo Verde,New CC Pinal,Generic FC H Frame,New CT Palo Verde,New CT Pinal,Generic FC LgFrameCT,New Geothermal,Saguaro DS CT1,Saguaro DS CT2,Eagle PumpHydro,Generic PumpHydro Phase 1,Generic PumpHydro Phase 2,SMR Palo Verde,SMR Pinal,AZ Wind Tranche 1,NM Wind FC,NM Wind Hidalgo,NM Wind Tranche 1,NM Wind Tranche 2,NM Wind Tranche 3,NM Wind Tranche 4,Solar Tranche 1 Metro,Solar Tranche 1 Northern,Solar Tranche 2 Metro,Solar Tranche 2 Northern,Solar Tranche 3 Metro,Solar Tranche 3 Northern,Solar Tranche 4 Metro,Solar Tranche 4 Northern,Solar Tranche 5 Metro,Solar Tranche 5 Northern,Solar Tranche 6 Metro,Solar Tranche 6 Northern,Coal EXT 1,Coal EXT 2,CSP Metro,CSP Northern,BESS_6H_T1 Metro,BESS_6H_T1 Northern,BESS_6H_T2 Metro,BESS_6H_T2 Northern,BESS_6H_T3 Metro,BESS_6H_T3 Northern,BESS_8H_T1 Metro,BESS_8H_T1 Northern,BESS_8H_T2 Metro,BESS_8H_T2 Northern,BESS_8H_T3 Metro,BESS_8H_T3 Northern,Generic Solar - DPC,Generic BESS DPC
2026,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99999,99999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2027,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99999,99999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2028,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99999,99999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2029,0,0,0,0,1992.1,1992.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2274.168984,2274.168984,2274.168984,2274.168984,2274.168984,2274.168984,2274.168984,1886.519193,1886.519193,1886.519193,1886.519193,1886.519193,1886.519193,1886.519193,1886.519193,1886.519193,1886.519193,1886.519193,1886.519193,99999,99999,7957.832145,7957.832145,2647.155082,2647.155082,2647.155082,2647.155082,2647.155082,2647.155082,3383.180767,3383.180767,3383.180767,3383.180767,3383.180767,3383.180767,1886.519193,2647.155082
2030,0,0,22338.44776,22338.44776,1994.229296,1994.229296,0,0,0,0,0,0,3087.8,3087.8,3574.36,10952.15,0,0,0,0,0,0,0,2281.628447,2281.628447,2281.628447,2281.628447,2281.628447,2281.628447,2281.628447,1842.890834,1842.890834,1842.890834,1842.890834,1842.890834,1842.890834,1842.890834,1842.890834,1842.890834,1842.890834,1842.890834,1842.890834,99999,99999,8069.853819,8069.853819,2602.896215,2602.896215,2602.896215,2602.896215,2602.896215,2602.896215,3321.395426,3321.395426,3321.395426,3321.395426,3321.395426,3321.395426,1842.890834,2602.896215
2031,0,0,22758.29838,22758.29838,1994.229296,1994.229296,0,0,0,0,0,0,3138.67,3138.67,3633.25,11087.7,2733.07,2733.07,0,0,0,0,0,2315.227531,2315.227531,2315.227531,2315.227531,2315.227531,2315.227531,2315.227531,1795.937733,1795.937733,1795.937733,1795.937733,1795.937733,1795.937733,1795.937733,1795.937733,1795.937733,1795.937733,1795.937733,1795.937733,99999,99999,8217.299677,8217.299677,2624.780033,2624.780033,2624.780033,2624.780033,2624.780033,2624.780033,3347.837438,3347.837438,3347.837438,3347.837438,3347.837438,3347.837438,1795.937733,2624.780033
2032,0,0,23195.83877,23195.83877,0,0,4814.5,4814.5,5590.83,5590.83,5590.83,6447.135651,3194.2,3194.2,3697.53,11229.56,0,0,0,0,0,0,0,2349.079776,2349.079776,2349.079776,2349.079776,2349.079776,2349.079776,2349.079776,1745.520418,1745.520418,1745.520418,1745.520418,1745.520418,1745.520418,1745.520418,1745.520418,1745.520418,1745.520418,1745.520418,1745.520418,99999,99999,8367.07417,8367.07417,2646.14493,2646.14493,2646.14493,2646.14493,2646.14493,2646.14493,3373.552156,3373.552156,3373.552156,3373.552156,3373.552156,3373.552156,1745.520418,2646.14493
2033,0,0,23576.68556,23576.68556,0,0,4814.5,4814.5,5685.8,5685.8,5685.8,6556.659746,3246.4,3246.4,3757.95,11377.39,0,0,0,0,0,0,0,2383.176841,2383.176841,2383.176841,2383.176841,2383.176841,2383.176841,2383.176841,1691.494542,1691.494542,1691.494542,1691.494542,1691.494542,1691.494542,1691.494542,1691.494542,1691.494542,1691.494542,1691.494542,1691.494542,99999,99999,8519.201575,8519.201575,2666.952171,2666.952171,2666.952171,2666.952171,2666.952171,2666.952171,3398.488408,3398.488408,3398.488408,3398.488408,3398.488408,3398.488408,1691.494542,2666.952171
2034,0,0,24133.33959,24133.33959,0,0,4814.5,4814.5,5782.34,5782.34,5782.34,6667.982718,3303.45,3303.45,3824,11530.92,0,0,5714.70192,5714.70192,5714.70192,0,0,2417.509809,2417.509809,2417.509809,2417.509809,2417.509809,2417.509809,2417.509809,1633.71073,1633.71073,1633.71073,1633.71073,1633.71073,1633.71073,1633.71073,1633.71073,1633.71073,1633.71073,1633.71073,1633.71073,99999,99999,8673.705928,8673.705928,2687.161475,2687.161475,2687.161475,2687.161475,2687.161475,2687.161475,3422.593046,3422.593046,3422.593046,3422.593046,3422.593046,3422.593046,1633.71073,2687.161475
2035,0,0,24616.14487,24616.14487,0,0,4814.5,4814.5,5879.84,5879.84,5879.84,6780.41299,3356.98,3356.98,3885.96,11689.89,0,0,5857.569468,5857.569468,5857.569468,11863.81235,11863.81235,2452.069164,2452.069164,2452.069164,2452.069164,2452.069164,2452.069164,2452.069164,1572.014417,1572.014417,1572.014417,1572.014417,1572.014417,1572.014417,1572.014417,1572.014417,1572.014417,1572.014417,1572.014417,1572.014417,99999,99999,8830.610999,8830.610999,2804.047027,2804.047027,2804.047027,2804.047027,2804.047027,2804.047027,3569.69935,3569.69935,3569.69935,3569.69935,3569.69935,3569.69935,1572.014417,2804.047027
