Year,Cedarvale Wind Project (Agua Fria) WindNM,Eagle PumpHydro ,NM Wind FC,Solar Tranche 1 Metro,Solar Tranche 2 Metro,Solar Tranche 3 Metro,Solar Tranche 1 Pinal,Solar Tranche 2 Pinal,Solar Tranche 3 Pinal,Solar Tranche 4,Solar Tranche 5,Solar Tranche 6,Solar Tranche 1 Metro,Solar Tranche 2 Metro,Solar Tranche 3 Metro,Solar Tranche 1 Pinal,Solar Tranche 2 Pinal,Solar Tranche 3 Pinal,Solar Tranche 1 Northern,Solar Tranche 2 Northern,Solar Tranche 3 Northern,Solar Tranche 1 Palo Verde,Solar Tranche 2 Palo Verde,Solar Tranche 3 Palo Verde,SMR Palo Verde,SMR Pinal,NM Wind Hidalgo,Pyramid Mountain Wind (EDF Renewables),Generic PumpHydro Phase 1,Generic PumpHydro Phase 2,Updated_CCS_F,Updated_CCS_F_TL,Updated_CCS_H,Updated_CCS_H_TL,Updated_LgFrameCT,Updated_LgFrameCT_TL,NewSRP-PH,Generic LgFrameCT  Palo Verde,New CT Pinal,Generic LgFrameCT TL,Generic H Frame Tolls,Generic H Frame TL,Generic FC H Frame,Coal EXT 1,Coal EXT 2,Saguaro DS CT1,Saguaro DS CT2,Cholla 1 Repower Gas,Cholla 3 Repower Gas,New Bio Metro,New Bio Northern,Generic Bio TL,New Geothermal,Generic Geo TL,NM Wind Tranche 1,NM Wind Tranche 2,NM Wind Tranche 3,Generic SMR TL,Generic AdvNuc TL,Newest Updated_LgFrameCT (Southline) (RETIRED),Desert Sun CCH 1,Desert Sun CCH 2,Generic H Frame,Generic FC LgFrameCT,BESS_6H_T1 Metro,BESS_6H_T2 Metro,BESS_6H_T3 Metro,ESS_6H_T1 Pinal,ESS_6H_T2 Pinal,ESS_6H_T3 Pinal,BESS_6H_T1 Northern,BESS_6H_T2 Northern,BESS_6H_T3 Northern,ESS_6H_T1 Palo Verde,ESS_6H_T2 Palo Verde,ESS_6H_T3 Palo Verde,BESS_8H_T1 Metro,BESS_8H_T2 Metro,BESS_8H_T3 Metro,ESS_8H_T1 Pinal,ESS_8H_T2 Pinal,ESS_8H_T3 Pinal,BESS_8H_T1 Northern,BESS_8H_T2 Northern,BESS_8H_T3 Northern,ESS_8H_T1 Palo Verde,ESS_8H_T2 Palo Verde,ESS_8H_T3 Palo Verde
2026,0,0,47,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,47,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,161.9228,161.9228,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2027,0,0,48,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,48,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,164.49264,164.49264,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2028,0,0,49,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,49,49,0,0,0,0,0,0,0,0,0,0,0,28,28,0,,,,,,,167.3178,167.3178,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2029,0,0,50,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,50,50,0,0,0,0,0,0,0,0,0,0,0,28,28,0,,,,,,,173.23332,173.23332,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2030,0,0,35.6564,21.918,21.918,21.918,21.918,21.918,21.918,21.918,21.918,21.918,21.918,21.918,21.918,21.918,21.918,21.918,21.918,21.918,21.918,35.6564,35.6564,0,0,0,35.6564,0,0,0,0,0,0,0,29,29,0,56.9348,56.9348,56.9348,,,,179.14832,179.14832,,,,,310.46,310.46,310.46,175.5104,175.5104,35.6564,35.6564,35.6564,,,56.9348,,,,65.9048,54.236,54.236,54.236,54.236,54.236,54.236,69.2068,69.2068,69.2068,69.2068,69.2068,69.2068,54.236,54.236,54.236,54.236,54.236,54.236,69.2068,69.2068,69.2068,69.2068,69.2068,69.2068
2031,0,0,36.5456,22.4692,22.4692,22.4692,22.4692,22.4692,22.4692,22.4692,22.4692,22.4692,22.4692,22.4692,22.4692,22.4692,22.4692,22.4692,22.4692,22.4692,22.4692,36.5456,36.5456,0,0,0,36.5456,0,0,0,68,68,58,58,30,30,0,58.3544,58.3544,58.3544,94.1564,94.1564,,146.01496,146.01496,57.8916,57.8916,39.0572,39.0572,318.22,318.22,318.22,179.8992,179.8992,36.5456,36.5456,36.5456,,,58.3544,94.1564,94.1564,94.1564,67.5532,55.5932,55.5932,55.5932,55.5932,55.5932,55.5932,70.9384,70.9384,70.9384,70.9384,70.9384,70.9384,55.5932,55.5932,55.5932,55.5932,55.5932,55.5932,70.9384,70.9384,70.9384,70.9384,70.9384,70.9384
2032,0,0,37.4608,23.0308,23.0308,23.0308,23.0308,23.0308,23.0308,23.0308,23.0308,23.0308,23.0308,23.0308,23.0308,23.0308,23.0308,23.0308,23.0308,23.0308,23.0308,37.4608,37.4608,0,0,0,37.4608,0,0,0,70,70,60,60,31,31,0,59.8156,59.8156,59.8156,94.1564,94.1564,75.6132,187.5588,187.5588,59.3372,59.3372,40.0348,40.0348,326.18,326.18,326.18,184.3972,184.3972,37.4608,37.4608,37.4608,,,59.8156,94.1564,94.1564,94.1564,69.2432,56.9816,56.9816,56.9816,56.9816,56.9816,56.9816,72.7116,72.7116,72.7116,72.7116,72.7116,72.7116,56.9816,56.9816,56.9816,56.9816,56.9816,56.9816,72.7116,72.7116,72.7116,72.7116,72.7116,72.7116
2033,0,0,38.3968,23.6028,23.6028,23.6028,23.6028,23.6028,23.6028,23.6028,23.6028,23.6028,23.6028,23.6028,23.6028,23.6028,23.6028,23.6028,23.6028,23.6028,23.6028,38.3968,38.3968,0,0,0,38.3968,0,0,0,71,71,61,61,31,31,0,61.3132,61.3132,61.3132,96.5068,96.5068,77.5008,192.2492,192.2492,60.8192,60.8192,41.0384,41.0384,334.33,334.33,334.33,189.0096,189.0096,38.3968,38.3968,38.3968,,,61.3132,96.5068,96.5068,96.5068,70.9748,58.4064,58.4064,58.4064,58.4064,58.4064,58.4064,74.5316,74.5316,74.5316,74.5316,74.5316,74.5316,58.4064,58.4064,58.4064,58.4064,58.4064,58.4064,74.5316,74.5316,74.5316,74.5316,74.5316,74.5316
2034,0,25,39.3588,24.1956,24.1956,24.1956,24.1956,24.1956,24.1956,24.1956,24.1956,24.1956,24.1956,24.1956,24.1956,24.1956,24.1956,24.1956,24.1956,24.1956,24.1956,39.3588,39.3588,0,0,0,39.3588,0,25,25,73,73,63,63,32,32,27.0972,62.842,62.842,62.842,98.9196,98.9196,79.4404,197.054,197.054,62.3428,62.3428,42.0628,42.0628,342.69,342.69,342.69,193.7312,193.7312,39.3588,39.3588,39.3588,,,62.842,98.9196,98.9196,98.9196,72.748,59.8676,59.8676,59.8676,59.8676,59.8676,59.8676,76.3932,76.3932,76.3932,76.3932,76.3932,76.3932,59.8676,59.8676,59.8676,59.8676,59.8676,59.8676,76.3932,76.3932,76.3932,76.3932,76.3932,76.3932
2035,0,26,40.3416,24.7988,24.7988,24.7988,24.7988,24.7988,24.7988,24.7988,24.7988,24.7988,24.7988,24.7988,24.7988,24.7988,24.7988,24.7988,24.7988,24.7988,24.7988,40.3416,40.3416,247.2704,187.4756,187.4756,40.3416,0,26,26,75,75,64,64,33,33,27.7784,64.4176,64.4176,64.4176,101.3948,101.3948,81.4268,201.9836,201.9836,63.8976,63.8976,43.1132,43.1132,351.26,351.26,351.26,198.5776,198.5776,40.3416,40.3416,40.3416,187.4756,247.2704,64.4176,101.3948,101.3948,101.3948,74.568,61.3652,61.3652,61.3652,61.3652,61.3652,61.3652,78.3016,78.3016,78.3016,78.3016,78.3016,78.3016,61.3652,61.3652,61.3652,61.3652,61.3652,61.3652,78.3016,78.3016,78.3016,78.3016,78.3016,78.3016
