Year,Cedarvale Wind Project (Agua Fria) WindNM,Eagle PumpHydro ,NM Wind FC,Solar Tranche 1 Metro,Solar Tranche 2 Metro,Solar Tranche 3 Metro,Solar Tranche 1 Pinal,Solar Tranche 2 Pinal,Solar Tranche 3 Pinal,Solar Tranche 1 Northern,Solar Tranche 2 Northern,Solar Tranche 3 Northern,Solar Tranche 1 Palo Verde,Solar Tranche 2 Palo Verde,Solar Tranche 3 Palo Verde,Solar Tranche 4 Metro,Solar Tranche 5 Metro,Solar Tranche 6 Metro,Solar Tranche 4 Pinal,Solar Tranche 5 Pinal,Solar Tranche 6 Pinal,Solar Tranche 4 Northern,Solar Tranche 5 Northern,Solar Tranche 6 Northern,Solar Tranche 4 Palo Verde,Solar Tranche 5 Palo Verde,Solar Tranche 6 Palo Verde,Solar Tranche 4,Solar Tranche 5,Solar Tranche 6,AZ Wind Tranche 1,NM Wind Tranche 4,AdvNuc Palo Verde,AdvNuc Pinal,SMR Palo Verde,SMR Pinal,NM Wind Hidalgo,Pyramid Mountain Wind (EDF Renewables),Generic PumpHydro Phase 1,Generic PumpHydro Phase 2,Updated_CCS_F,Updated_CCS_F_TL,Updated_CCS_H,Updated_CCS_H_TL,Updated_LgFrameCT,Updated_LgFrameCT_TL,New CT Palo Verde,New CT Pinal,Generic H Frame Tolls,Generic FC H Frame,Coal EXT 1,Coal EXT 2,Saguaro DS CT1,Saguaro DS CT2,Cholla 1 Repower Gas,Cholla 3 Repower Gas,New Bio Metro,New Bio Northern,Generic Bio Pinal,Generic Bio Palo Verde,New Geothermal,NM Wind Tranche 1,NM Wind Tranche 2,NM Wind Tranche 3,Newest Updated_LgFrameCT (Southline) (RETIRED),Desert Sun CCH 1,Desert Sun CCH 2,New CC Palo Verde,New CC Pinal,Generic FC LgFrameCT,BESS_6H_T1 Metro,BESS_6H_T2 Metro,BESS_6H_T3 Metro,ESS_6H_T1 Pinal,ESS_6H_T2 Pinal,ESS_6H_T3 Pinal,BESS_6H_T1 Northern,BESS_6H_T2 Northern,BESS_6H_T3 Northern,ESS_6H_T1 Palo Verde,ESS_6H_T2 Palo Verde,ESS_6H_T3 Palo Verde,BESS_8H_T1 Metro,BESS_8H_T2 Metro,BESS_8H_T3 Metro,ESS_8H_T1 Pinal,ESS_8H_T2 Pinal,ESS_8H_T3 Pinal,BESS_8H_T1 Northern,BESS_8H_T2 Northern,BESS_8H_T3 Northern,ESS_8H_T1 Palo Verde,ESS_8H_T2 Palo Verde,ESS_8H_T3 Palo Verde,CSP Metro,CSP Northern
2026,0,0,41,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,18,3,3,3,103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
2027,0,0,42,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,19,3,3,3,106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
2028,101,0,42,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,19,3,3,3,109,0,0,0,0,0,114,0,0,0,0,0,0,4,4,,,,,,,,,,,,,,,,,,,,,,,,4.088742857,,,,,,,,,,,,,,,,,,,,,,,,,0,0
2029,104,0,43,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,20,3,3,3,111,0,0,0,0,0,116,0,0,0,0,0,0,4,4,,,,,,,,,,,,,,,,,,,,,,,,4.181857143,,,,,,,,,,,,,,,,,,,,,,,,,0,0
2030,10.3948,0,43,11.1384,11.1384,11.1384,11.1384,11.1384,11.1384,11.1384,11.1384,11.1384,11.1384,11.1384,11.1384,11.1384,11.1384,11.1384,11.1384,11.1384,11.1384,11.1384,11.1384,11.1384,11.1384,11.1384,11.1384,11.1384,11.1384,11.1384,10.3948,10.3948,0,0,0,0,0,119,0,0,0,0,0,0,4,4,12.064,12.064,11.4608,4.3784,0.104,0.104,0,0,0,0,11.2008,11.2008,11.2008,11.2008,11.2008,10.3948,27.7836,27.7836,12.064,0,0,11.4608,11.4608,4.286142857,11.4816,11.4816,11.4816,11.4816,11.4816,11.4816,11.4816,11.4816,11.4816,11.4816,11.4816,11.4816,11.4816,11.4816,11.4816,11.4816,11.4816,11.4816,11.4816,11.4816,11.4816,11.4816,11.4816,11.4816,0,0
2031,10.6548,0,44,11.4192,11.4192,11.4192,11.4192,11.4192,11.4192,11.4192,11.4192,11.4192,11.4192,11.4192,11.4192,11.4192,11.4192,11.4192,11.4192,11.4192,11.4192,11.4192,11.4192,11.4192,11.4192,11.4192,11.4192,11.4192,11.4192,11.4192,10.6548,10.6548,0,0,0,0,0,122,0,0,4,22,4,22,4,4,12.3656,12.3656,11.7624,4.4928,0.104,0.104,16.8116,16.8116,0,0,11.4816,11.4816,11.4816,11.4816,11.4816,10.6548,28.4804,28.4804,12.3656,34.632,34.632,11.7624,11.7624,4.390428571,11.7676,11.7676,11.7676,11.7676,11.7676,11.7676,11.7676,11.7676,11.7676,11.7676,11.7676,11.7676,11.7676,11.7676,11.7676,11.7676,11.7676,11.7676,11.7676,11.7676,11.7676,11.7676,11.7676,11.7676,3.22,3.22
2032,10.92,0,45,11.7052,11.7052,11.7052,11.7052,11.7052,11.7052,11.7052,11.7052,11.7052,11.7052,11.7052,11.7052,11.7052,11.7052,11.7052,11.7052,11.7052,11.7052,11.7052,11.7052,11.7052,11.7052,11.7052,11.7052,11.7052,11.7052,11.7052,10.92,10.92,0,0,0,0,0,126,0,0,5,22,5,22,5,5,12.6724,12.6724,12.064,4.602,0.1092,0.1092,17.2328,17.2328,0,0,11.7676,11.7676,11.7676,11.7676,11.7676,10.92,29.1928,29.1928,12.6724,35.4952,35.4952,12.064,12.064,4.517485714,12.064,12.064,12.064,12.064,12.064,12.064,12.064,12.064,12.064,12.064,12.064,12.064,12.064,12.064,12.064,12.064,12.064,12.064,12.064,12.064,12.064,12.064,12.064,12.064,3.3,3.3
2033,11.1904,0,45,11.9964,11.9964,11.9964,11.9964,11.9964,11.9964,11.9964,11.9964,11.9964,11.9964,11.9964,11.9964,11.9964,11.9964,11.9964,11.9964,11.9964,11.9964,11.9964,11.9964,11.9964,11.9964,11.9964,11.9964,11.9964,11.9964,11.9964,11.1904,11.1904,0,0,0,0,0,128,0,0,5,23,5,23,5,5,12.9896,12.9896,12.3656,4.7164,0.1092,0.1092,17.6644,17.6644,0,0,12.064,12.064,12.064,12.064,12.064,11.1904,29.9208,29.9208,12.9896,36.3844,36.3844,12.3656,12.3656,4.614642857,12.3656,12.3656,12.3656,12.3656,12.3656,12.3656,12.3656,12.3656,12.3656,12.3656,12.3656,12.3656,12.3656,12.3656,12.3656,12.3656,12.3656,12.3656,12.3656,12.3656,12.3656,12.3656,12.3656,12.3656,3.39,3.39
2034,11.4712,0,46,12.298,12.298,12.298,12.298,12.298,12.298,12.298,12.298,12.298,12.298,12.298,12.298,12.298,12.298,12.298,12.298,12.298,12.298,12.298,12.298,12.298,12.298,12.298,12.298,12.298,12.298,12.298,11.4712,11.4712,0,0,0,0,0,132,126,126,5,24,5,24,5,5,13.312,13.312,12.6724,4.836,0.1144,0.1144,18.1064,18.1064,0,0,12.3656,12.3656,12.3656,12.3656,12.3656,11.4712,30.6696,30.6696,13.312,37.2944,37.2944,12.6724,12.6724,4.729357143,12.6724,12.6724,12.6724,12.6724,12.6724,12.6724,12.6724,12.6724,12.6724,12.6724,12.6724,12.6724,12.6724,12.6724,12.6724,12.6724,12.6724,12.6724,12.6724,12.6724,12.6724,12.6724,12.6724,12.6724,3.47,3.47
2035,11.7572,0,47,12.6048,12.6048,12.6048,12.6048,12.6048,12.6048,12.6048,12.6048,12.6048,12.6048,12.6048,12.6048,12.6048,12.6048,12.6048,12.6048,12.6048,12.6048,12.6048,12.6048,12.6048,12.6048,12.6048,12.6048,12.6048,12.6048,12.6048,11.7572,11.7572,0,0,12.9896,12.9896,0,135,129,129,5,24,5,24,5,5,13.6448,13.6448,12.9896,4.9556,0.1144,0.1144,18.5588,18.5588,0,0,12.6724,12.6724,12.6724,12.6724,12.6724,11.7572,31.434,31.434,13.6448,38.2252,38.2252,12.9896,12.9896,4.849285714,12.9896,12.9896,12.9896,12.9896,12.9896,12.9896,12.9896,12.9896,12.9896,12.9896,12.9896,12.9896,12.9896,12.9896,12.9896,12.9896,12.9896,12.9896,12.9896,12.9896,12.9896,12.9896,12.9896,12.9896,3.56,3.56
2036,12.0536,0,48,12.9168,12.9168,12.9168,12.9168,12.9168,12.9168,12.9168,12.9168,12.9168,12.9168,12.9168,12.9168,12.9168,12.9168,12.9168,12.9168,12.9168,12.9168,12.9168,12.9168,12.9168,12.9168,12.9168,12.9168,12.9168,12.9168,12.9168,12.0536,12.0536,13.312,13.312,13.312,13.312,0,139,133,133,5,25,5,25,5,5,13.988,13.988,13.312,5.0804,0.1196,0.1196,19.0216,19.0216,0,0,12.9896,12.9896,12.9896,12.9896,12.9896,12.0536,32.2244,32.2244,13.988,39.182,39.182,13.312,13.312,4.982828571,13.312,13.312,13.312,13.312,13.312,13.312,13.312,13.312,13.312,13.312,13.312,13.312,13.312,13.312,13.312,13.312,13.312,13.312,13.312,13.312,13.312,13.312,13.312,13.312,3.65,3.65
2037,12.3552,0,48,13.2392,13.2392,13.2392,13.2392,13.2392,13.2392,13.2392,13.2392,13.2392,13.2392,13.2392,13.2392,13.2392,13.2392,13.2392,13.2392,13.2392,13.2392,13.2392,13.2392,13.2392,13.2392,13.2392,13.2392,13.2392,13.2392,13.2392,12.3552,12.3552,13.6448,13.6448,13.6448,13.6448,0,142,136,136,5,25,5,25,5,5,14.3364,14.3364,13.6448,5.2052,0.1248,0.1248,19.4948,19.4948,0,0,13.312,13.312,13.312,13.312,13.312,12.3552,33.0304,33.0304,14.3364,40.1596,40.1596,13.6448,13.6448,5.094357143,13.6448,13.6448,13.6448,13.6448,13.6448,13.6448,13.6448,13.6448,13.6448,13.6448,13.6448,13.6448,13.6448,13.6448,13.6448,13.6448,13.6448,13.6448,13.6448,13.6448,13.6448,13.6448,13.6448,13.6448,3.74,3.74
2038,12.662,0,49,13.572,13.572,13.572,13.572,13.572,13.572,13.572,13.572,13.572,13.572,13.572,13.572,13.572,13.572,13.572,13.572,13.572,13.572,13.572,13.572,13.572,13.572,13.572,13.572,13.572,13.572,13.572,12.662,12.662,13.988,13.988,13.988,13.988,0,145,139,139,5,26,5,26,5,5,14.6952,14.6952,13.988,5.3352,0.1248,0.1248,19.9836,19.9836,0,0,13.6448,13.6448,13.6448,13.6448,13.6448,12.662,33.852,33.852,14.6952,41.1632,41.1632,13.988,13.988,5.2195,13.988,13.988,13.988,13.988,13.988,13.988,13.988,13.988,13.988,13.988,13.988,13.988,13.988,13.988,13.988,13.988,13.988,13.988,13.988,13.988,13.988,13.988,13.988,13.988,3.83,3.83
