Year,Cholla 1 Repower Gas,Cholla 3 Repower Gas,Coal EXT 1,Coal EXT 2,Desert Sun CCH 1,Desert Sun CCH 2,Saguaro DS CT1,Saguaro DS CT2,Eagle PumpHydro ,AdvNuc Palo Verde,AdvNuc Pinal,New Bio Metro,New Bio Northern,Generic Bio Palo Verde,Generic Bio Pinal,Generic FC H Frame,Generic FC LgFrameCT,New Geothermal,New CC Palo Verde,New CC Pinal,Generic H Frame Tolls,New CT Palo Verde,New CT Pinal,SMR Palo Verde,SMR Pinal,NM Wind FC,NM Wind Hidalgo,NM Wind Tranche 1,NM Wind Tranche 2,NM Wind Tranche 3,Solar Tranche 1 Metro,Solar Tranche 2 Metro,Solar Tranche 3 Metro,Solar Tranche 1 Pinal,Solar Tranche 2 Pinal,Solar Tranche 3 Pinal,Solar Tranche 1 Northern,Solar Tranche 2 Northern,Solar Tranche 3 Northern,Solar Tranche 1 Palo Verde,Solar Tranche 2 Palo Verde,Solar Tranche 3 Palo Verde,Solar Tranche 4 Metro,Solar Tranche 5 Metro,Solar Tranche 6 Metro,Solar Tranche 4 Pinal,Solar Tranche 5 Pinal,Solar Tranche 6 Pinal,Solar Tranche 4 Northern,Solar Tranche 5 Northern,Solar Tranche 6 Northern,Solar Tranche 4 Palo Verde,Solar Tranche 5 Palo Verde,Solar Tranche 6 Palo Verde,Solar Tranche 4,Solar Tranche 5,Solar Tranche 6,Generic PumpHydro Phase 1,Generic PumpHydro Phase 2
2026,0,0,0,0,0,0,838.1642,838.1642,0,0,0,0,0,0,0,0,838.1642,0,0,0,0,838.1642,838.1642,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2027,0,0,0,0,0,0,859.1183,859.1183,0,0,0,0,0,0,0,0,859.1183,0,0,0,0,859.1183,859.1183,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2028,0,0,0,0,0,0,880.5963,880.5963,0,0,0,0,0,0,0,0,880.5963,0,0,0,0,880.5963,880.5963,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2029,0,0,0,0,0,0,902.6112,902.6112,0,0,0,0,0,0,0,0,902.6112,0,0,0,0,902.6112,902.6112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2030,0,0,0,0,0,0,925.1765,925.1765,0,0,0,0,0,0,0,0,925.1765,0,0,0,0,925.1765,925.1765,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2031,0,0,0,0,0,0,948.3059,948.3059,0,0,0,0,0,0,0,0,948.3059,0,0,0,0,948.3059,948.3059,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2032,0,0,0,0,0,0,972.0135,972.0135,0,0,0,0,0,0,0,0,972.0135,0,0,0,0,972.0135,972.0135,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2033,0,0,0,0,0,0,996.3138,996.3138,0,0,0,0,0,0,0,0,996.3138,0,0,0,0,996.3138,996.3138,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2034,0,0,0,0,0,0,1021.2216,1021.2216,0,0,0,0,0,0,0,0,1021.2216,0,0,0,0,1021.2216,1021.2216,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2035,0,0,0,0,0,0,1046.7521,1046.7521,0,0,0,0,0,0,0,0,1046.7521,0,0,0,0,1046.7521,1046.7521,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2036,0,0,0,0,0,0,1072.9209,1072.9209,0,0,0,0,0,0,0,0,1072.9209,0,0,0,0,1072.9209,1072.9209,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2037,0,0,0,0,0,0,1099.7439,1099.7439,0,0,0,0,0,0,0,0,1099.7439,0,0,0,0,1099.7439,1099.7439,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2038,0,0,0,0,0,0,1127.2375,1127.2375,0,0,0,0,0,0,0,0,1127.2375,0,0,0,0,1127.2375,1127.2375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2039,0,0,0,0,0,0,1155.4184,1155.4184,0,0,0,0,0,0,0,0,1155.4184,0,0,0,0,1155.4184,1155.4184,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2040,0,0,0,0,0,0,1184.3039,1184.3039,0,0,0,0,0,0,0,0,1184.3039,0,0,0,0,1184.3039,1184.3039,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2041,0,0,0,0,0,0,1213.9115,1213.9115,0,0,0,0,0,0,0,0,1213.9115,0,0,0,0,1213.9115,1213.9115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2042,0,0,0,0,0,0,1244.2593,1244.2593,0,0,0,0,0,0,0,0,1244.2593,0,0,0,0,1244.2593,1244.2593,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2043,0,0,0,0,0,0,1275.3658,1275.3658,0,0,0,0,0,0,0,0,1275.3658,0,0,0,0,1275.3658,1275.3658,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2044,0,0,0,0,0,0,1307.2499,1307.2499,0,0,0,0,0,0,0,0,1307.2499,0,0,0,0,1307.2499,1307.2499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2045,0,0,0,0,0,0,1339.9311,1339.9311,0,0,0,0,0,0,0,0,1339.9311,0,0,0,0,1339.9311,1339.9311,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2046,0,0,0,0,0,0,1373.4294,1373.4294,0,0,0,0,0,0,0,0,1373.4294,0,0,0,0,1373.4294,1373.4294,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2047,0,0,0,0,0,0,1407.7651,1407.7651,0,0,0,0,0,0,0,0,1407.7651,0,0,0,0,1407.7651,1407.7651,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2048,0,0,0,0,0,0,1442.9592,1442.9592,0,0,0,0,0,0,0,0,1442.9592,0,0,0,0,1442.9592,1442.9592,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2049,0,0,0,0,0,0,1479.0332,1479.0332,0,0,0,0,0,0,0,0,1479.0332,0,0,0,0,1479.0332,1479.0332,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2050,0,0,0,0,0,0,1516.009,1516.009,0,0,0,0,0,0,0,0,1516.009,0,0,0,0,1516.009,1516.009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2051,0,0,0,0,0,0,1553.9092,1553.9092,0,0,0,0,0,0,0,0,1553.9092,0,0,0,0,1553.9092,1553.9092,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2052,0,0,0,0,0,0,1592.7569,1592.7569,0,0,0,0,0,0,0,0,1592.7569,0,0,0,0,1592.7569,1592.7569,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2053,0,0,0,0,0,0,1632.5758,1632.5758,0,0,0,0,0,0,0,0,1632.5758,0,0,0,0,1632.5758,1632.5758,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2054,0,0,0,0,0,0,1673.3902,1673.3902,0,0,0,0,0,0,0,0,1673.3902,0,0,0,0,1673.3902,1673.3902,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
