Year,Month,Douglas,Griffith A,Griffith B,Griffith DB,Ocotillo CT 1,Ocotillo CT 2,Ocotillo CT 3,Ocotillo CT 4,Ocotillo CT 5,Ocotillo CT 6,Ocotillo CT 7,Redhawk 1 A,Redhawk 1 B,Redhawk 1 DB,Redhawk 2 A,Redhawk 2 B,Redhawk 2 DB,Redhawk  CT1,Redhawk  CT2,Redhawk  CT3,Redhawk  CT4,Redhawk  CT5,Redhawk  CT6,Redhawk  CT7,Redhawk  CT8,Saguaro CT 1,Saguaro CT 2,Saguaro CT 3,Sundance CT 1,Sundance CT 10,Sundance CT 2,Sundance CT 3,Sundance CT 4,Sundance CT 5,Sundance CT 6,Sundance CT 7,Sundance CT 8,Sundance CT 9,Sundance CT11,Sundance CT12,West Phoenix CC1,West Phoenix CC2,West Phoenix CC3,West Phoenix CC4,West Phoenix CC5 A,West Phoenix CC5 B,West Phoenix CC5 DB,West Phoenix CT 1,West Phoenix CT 2,Yucca CT 1,Yucca CT 2,Yucca CT 3,Yucca CT 4,Yucca CT 5,Yucca CT 6,Arlington A,Arlington B,Arlington DB,South Point A,South Point B,South Point DB
2025,1,100,0,0,0,0,0,0.15,0,0,100,81.88,0.038733955,5.997927339,0.073496998,4.43734915,30.31146172,4.168695517,10.47,32.67,12.6,34.99,0,88.4,25.82,13.32,0,0,0,10.47,7.39,32.67,12.6,34.99,0,88.4,25.82,13.32,35.61,35.61,7.39,96.33,0,20.7,8.39,0.283484602,9.384171733,0.082871031,0,0,0,88.96,0,0,1.38,9.36,4.37079543,14.35539922,4.552401957,4.216295955,16.10611309,6.188048958
2025,2,99.48,0,0,0,0,0,0,9.07,1.54,100,0,4.6725,0,9.858120689,0,0,0,65.48,61.7,67.86,62.01,0,0,49.35,0,0,0,0,65.48,53.56,61.7,67.86,62.01,0,0,49.35,0,60.42,60.42,53.56,0,0.55,0.07,8.43,0,1.11,0,0,0,0,0,0,0,0,0,4.37079543,14.35539922,4.552401957,4.216295955,16.10611309,6.188048958
2025,3,0,0,0,0,0,0,2.22,0,0,100,39.16,0,2.66,0,62.56595388,99.90153269,37.54218945,0,0,0,0,0,36.35,26.44,3.61,0,0,63.61,0,4.83,0,0,0,0,36.35,26.44,3.61,4.93,4.93,4.83,0.3,17.79,6.9,20.61,0,0.54,0,0,0,0,0,0,0,66.77,6.26,4.37079543,14.35539922,4.552401957,4.216295955,16.10611309,6.188048958
2025,4,0,1.199546526,13.52914864,1.204951383,0,0,3.75,3.32,0,93.57,31.17,99.5458209,100,100,2.767221654,13.82789759,4.050559773,0,22.51,2.55,0,0,52.66,0.41,35.04,33.32,0,0,0,0.2,22.51,2.55,0,0,52.66,0.41,35.04,0,0,0.2,4.53,0,2.05,5.79,0,0,0,0,0,0,0,100,0,99.82,99.91,4.37079543,14.35539922,4.552401957,4.216295955,16.10611309,6.188048958
2025,5,85.14,0,0,0,0,0,0.79,1.77,1,67.44,4.7,9.162198648,35.88747171,7.734786316,0,0,0,0,0,0,5.92,0,6.57,34.39,0,69.77,0,2.8,0,0,0,0,5.92,0,6.57,34.39,0,0,0,0,0.47,0,11.44,0,37.47324684,77.62423129,18.8439999,85.49,0,0,0,34.65,0,0,93.46,1.688392554,6.574875374,1.952301156,2.128281996,9.221398341,3.221186985
2025,6,74.75,0,0,0,0,0,3.01,0,0,0,0,4.111479309,21.10462478,4.224046896,0,0.15,0,0,21.98,0,0,0,0,0,0,0,0,0.56,0,0.04,21.98,0,0,0,0,0,0,0,0,0.04,0,0,0,0.31,0.251429404,10.04636459,0.193557471,0,0,0,0,0,0,0,0,1.688392554,6.574875374,1.952301156,2.128281996,9.221398341,3.221186985
2025,7,90.47,0.150516553,0.289409284,0.160135108,0,0,95.33,1.18,1.77,91.37,2.14,8.957888698,3.363185734,16.87466091,0,0,0,6.09,1.48,15.02,4.15,0.49,0,0,0,0,76.9,0,6.09,0,1.48,15.02,4.15,0.49,0,0,0,9.27,9.27,0,0.3,0,2.21,20.03,0.058771186,0,0.131305984,0,0,0,0,0,0,0,0,1.688392554,6.574875374,1.952301156,2.128281996,9.221398341,3.221186985
2025,8,0,1.787702329,6.187880514,1.76704498,0,0,100,99.94,0,100,0,0,0,0,0,0,0,0,0,1.88,20.31,2.66,0,17.27,0,0,0,0.28,0,0,0,1.88,20.31,2.66,0,17.27,0,0,0,0,0.59,0.27,0,0.22,0.083696355,0.139771695,0.186638926,0,0,72.7,50.17,34.98,7.76,0,0,1.688392554,6.574875374,1.952301156,2.128281996,9.221398341,3.221186985
2025,9,0,0,0,0,0,0,100,100,0,100,49.87,0,0,0,0.089816934,0,0.160327067,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.49,0.56,0,0,0.028233282,3.527921049,0.048357928,0,29.25,27.98,0,8.08,13.24,1.73,0,1.688392554,6.574875374,1.952301156,2.128281996,9.221398341,3.221186985
2025,10,0,0,0,0,0,0,95.85,99.73,0,100,27.48,0,0.86,0,1.76E-03,1.256502114,0,0,67.74,0,0,0,0,90.79,80.92,0,0,0,0,59.62,67.74,0,0,0,0,90.79,80.92,81.17,81.17,59.62,18.8,7.23,21.07,5.01,0,0.11,0,0,0,0,0,0,0,0,0,1.688392554,6.574875374,1.952301156,2.128281996,9.221398341,3.221186985
