Year,Arlington A,Arlington B,Cholla 1 Repower Gas,Cholla 3 Repower Gas,Desert Sun CCH 1,Desert Sun CCH 2,Saguaro DS CT1,Saguaro DS CT2,Douglas,Generic FC H Frame,Generic FC LgFrameCT,Generic H Frame,Generic H Frame TL,Generic H Frame Tolls,Generic LgFrameCT,Generic LgFrameCT TL,Griffith A,Griffith B,Microgrid XHLF,Microgrid Forrest Lakes,Microgrid Preacher,Microgrid Punkin Center,Microgrid Aligned,Microgrid City of Phx,Microgrid MCASY,Microgrid TSMC,Ocotillo CT 1,Ocotillo CT 2,Ocotillo CT 3,Ocotillo CT 4,Ocotillo CT 5,Ocotillo CT 6,Ocotillo CT 7,Redhawk 1 A,Redhawk 1 B,Redhawk 2 A,Redhawk 2 B,Redhawk  CT1,Redhawk  CT2,Redhawk  CT3,Redhawk  CT4,Redhawk  CT5,Redhawk  CT6,Redhawk  CT7,Redhawk  CT8,Saguaro CT 1,Saguaro CT 2,Saguaro CT 3,South Point A,South Point B,Sundance CT 1,Sundance CT 10,Sundance CT 2,Sundance CT 3,Sundance CT 4,Sundance CT 5,Sundance CT 6,Sundance CT 7,Sundance CT 8,Sundance CT 9,Sundance CT11,Sundance CT12,West Phoenix CC1,West Phoenix CC2,West Phoenix CC3,West Phoenix CC4,West Phoenix CC5 A,West Phoenix CC5 B,West Phoenix CT 1,West Phoenix CT 2,Yucca CT 1,Yucca CT 2,Yucca CT 3,Yucca CT 4,Yucca CT 5,Yucca CT 6
2025,100,100,15,15,80,80,30,30,1,30,30,80,80,80,30,30,100,100,1,1,1,1,1,1,1,1,10,10,5,5,5,5,5,100,100,100,100,5,5,5,5,5,5,5,5,10,10,10,100,100,5,5,5,5,5,5,5,5,5,5,5,5,25,25,25,50,100,100,10,10,3,3,3,1,10,5
2026,100,100,15,15,80,80,30,30,1,30,30,80,80,80,30,30,100,100,1,1,1,1,1,1,1,1,10,10,5,5,5,5,5,100,100,100,100,5,5,5,5,5,5,5,5,10,10,10,100,100,5,5,5,5,5,5,5,5,5,5,5,5,25,25,25,50,100,100,10,10,3,3,3,1,10,5
2027,100,100,15,15,80,80,30,30,1,30,30,80,80,80,30,30,100,100,1,1,1,1,1,1,1,1,10,10,5,5,5,5,5,100,100,100,100,5,5,5,5,5,5,5,5,10,10,10,100,100,5,5,5,5,5,5,5,5,5,5,5,5,25,25,25,50,100,100,10,10,3,3,3,1,10,5
2028,100,100,15,15,80,80,30,30,1,30,30,80,80,80,30,30,100,100,1,1,1,1,1,1,1,1,10,10,5,5,5,5,5,100,100,100,100,5,5,5,5,5,5,5,5,10,10,10,100,100,5,5,5,5,5,5,5,5,5,5,5,5,25,25,25,50,100,100,10,10,3,3,3,1,10,5
2029,100,100,15,15,80,80,30,30,1,30,30,80,80,80,30,30,100,100,1,1,1,1,1,1,1,1,10,10,5,5,5,5,5,100,100,100,100,5,5,5,5,5,5,5,5,10,10,10,100,100,5,5,5,5,5,5,5,5,5,5,5,5,25,25,25,50,100,100,10,10,3,3,3,1,10,5
2030,100,100,15,15,80,80,30,30,1,30,30,80,80,80,30,30,100,100,1,1,1,1,1,1,1,1,10,10,5,5,5,5,5,100,100,100,100,5,5,5,5,5,5,5,5,10,10,10,100,100,5,5,5,5,5,5,5,5,5,5,5,5,25,25,25,50,100,100,10,10,3,3,3,1,10,5
2031,100,100,15,15,80,80,30,30,1,30,30,80,80,80,30,30,100,100,1,1,1,1,1,1,1,1,10,10,5,5,5,5,5,100,100,100,100,5,5,5,5,5,5,5,5,10,10,10,100,100,5,5,5,5,5,5,5,5,5,5,5,5,25,25,25,50,100,100,10,10,3,3,3,1,10,5
2032,100,100,15,15,80,80,30,30,1,30,30,80,80,80,30,30,100,100,1,1,1,1,1,1,1,1,10,10,5,5,5,5,5,100,100,100,100,5,5,5,5,5,5,5,5,10,10,10,100,100,5,5,5,5,5,5,5,5,5,5,5,5,25,25,25,50,100,100,10,10,3,3,3,1,10,5
2033,100,100,15,15,80,80,30,30,1,30,30,80,80,80,30,30,100,100,1,1,1,1,1,1,1,1,10,10,5,5,5,5,5,100,100,100,100,5,5,5,5,5,5,5,5,10,10,10,100,100,5,5,5,5,5,5,5,5,5,5,5,5,25,25,25,50,100,100,10,10,3,3,3,1,10,5
2034,100,100,15,15,80,80,30,30,1,30,30,80,80,80,30,30,100,100,1,1,1,1,1,1,1,1,10,10,5,5,5,5,5,100,100,100,100,5,5,5,5,5,5,5,5,10,10,10,100,100,5,5,5,5,5,5,5,5,5,5,5,5,25,25,25,50,100,100,10,10,3,3,3,1,10,5
