Year,Month,AGX,Arlington A,Arlington B,Arlington DB,Distributed BESS,EE_Baseline,Four Corners 4,Four Corners 5,Griffith A,Griffith B,Griffith DB,Incremental_DG,Microgrid - FUTURE,Microgrid XHLF,New Solar,PVS Solar 5 HR,PVS Solar 5 HR ITC,Redhawk 1 A,Redhawk 1 B,Redhawk 1 DB,Redhawk 2 A,Redhawk 2 B,Redhawk 2 DB,Short-Term Purch,South Point A,South Point B,South Point DB,West Phoenix CC5 A,West Phoenix CC5 B,West Phoenix CC5 DB
2025,1,102.7,124.999,69.166,79,0,134,283.4999979,283.4999979,125,8,107,683,0,0,0,0,0,125,0.01,24.54545454,125,0.01,24.54545454,8,193.426,118.749,19,140,36,21
2025,2,102.7,124.999,69.166,79,0,134,283.4999979,283.4999979,125,8,107,683,0,0,0,0,0,125,0.01,24.54545454,125,0.01,24.54545454,8,193.426,118.749,19,140,36,21
2025,3,102.7,124.999,69.166,79,0,134,283.4999979,283.4999979,125,8,107,683,0,0,0,0,0,125,0.01,30,125,0.01,30,8,193.426,118.749,19,140,36,21
2025,4,102.7,124.999,69.166,79,0,134,283.4999979,283.4999979,125,8,107,683,0,0,0,0,0,125,0.01,30,125,0.01,30,8,193.426,118.749,19,140,36,21
2025,5,102.7,124.999,69.166,79,0,134,283.4999979,283.4999979,125,8,107,683,0,0,0,0,0,125,0.01,30,125,0.01,30,8,193.426,118.749,19,140,36,21
2025,6,102.7,124.999,69.166,79,0,134,283.4999979,283.4999979,125,8,107,683,0,0,0,0,0,125,0.01,30,125,0.01,30,8,193.426,118.749,19,140,36,17.4993
2025,7,102.7,124.999,69.166,79,0,134,283.4999979,283.4999979,125,8,107,683,0,0,0,0,0,125,0.01,30,125,0.01,30,8,193.426,118.749,19,140,36,17.4993
2025,8,102.7,124.999,69.166,79,0,134,283.4999979,283.4999979,125,8,107,683,0,0,0,0,0,125,0.01,30,125,0.01,30,8,193.426,118.749,19,140,36,17.4993
2025,9,102.7,124.999,69.166,79,0,134,283.4999979,283.4999979,125,8,107,683,0,0,0,0,0,125,0.01,30,125,0.01,30,8,193.426,118.749,19,140,36,17.4993
2025,10,102.7,124.999,69.166,79,0,134,283.4999979,283.4999979,125,8,107,683,0,0,0,0,0,125,0.01,30,125,0.01,30,8,193.426,118.749,19,140,36,21
2025,11,102.7,124.999,69.166,79,0,134,283.4999979,283.4999979,125,8,107,683,0,0,0,0,0,125,0.01,24.54545454,125,0.01,24.54545454,8,193.426,118.749,19,140,36,21
2025,12,102.7,124.999,69.166,79,0,134,283.4999979,283.4999979,125,8,107,683,0,0,0,0,0,125,0.01,24.54545454,125,0.01,24.54545454,8,193.426,118.749,19,140,36,21
2026,1,102.7,124.999,69.166,79,22,263,283.4999979,283.4999979,125,8,107,863,0,0,0,0,0,125,0.01,24.54545454,125,0.01,24.54545454,0,193.426,118.749,19,140,36,21
2026,2,102.7,124.999,69.166,79,22,263,283.4999979,283.4999979,125,8,107,863,0,0,0,0,0,125,0.01,24.54545454,125,0.01,24.54545454,0,193.426,118.749,19,140,36,21
2026,3,102.7,124.999,69.166,79,22,263,283.4999979,283.4999979,125,8,107,863,0,0,0,0,0,125,0.01,30,125,0.01,30,0,193.426,118.749,19,140,36,21
2026,4,102.7,124.999,69.166,79,22,263,283.4999979,283.4999979,125,8,107,863,0,0,0,0,0,125,0.01,30,125,0.01,30,0,193.426,118.749,19,140,36,21
2026,5,102.7,124.999,69.166,79,22,263,283.4999979,283.4999979,125,8,107,863,0,0,0,0,0,125,0.01,30,125,0.01,30,0,193.426,118.749,19,140,36,21
2026,6,102.7,124.999,69.166,79,22,263,283.4999979,283.4999979,125,8,107,863,0,0,0,0,0,125,0.01,30,125,0.01,30,0,193.426,118.749,19,140,36,17.4993
2026,7,102.7,124.999,69.166,79,22,263,283.4999979,283.4999979,125,8,107,863,0,0,0,0,0,125,0.01,30,125,0.01,30,0,193.426,118.749,19,140,36,17.4993
2026,8,102.7,124.999,69.166,79,22,263,283.4999979,283.4999979,125,8,107,863,0,0,0,0,0,125,0.01,30,125,0.01,30,0,193.426,118.749,19,140,36,17.4993
2026,9,102.7,124.999,69.166,79,22,263,283.4999979,283.4999979,125,8,107,863,0,0,0,0,0,125,0.01,30,125,0.01,30,0,193.426,118.749,19,140,36,17.4993
2026,10,102.7,124.999,69.166,79,22,263,283.4999979,283.4999979,125,8,107,863,0,0,0,0,0,125,0.01,30,125,0.01,30,0,193.426,118.749,19,140,36,21
2026,11,102.7,124.999,69.166,79,22,263,283.4999979,283.4999979,125,8,107,863,0,0,0,0,0,125,0.01,24.54545454,125,0.01,24.54545454,0,193.426,118.749,19,140,36,21
2026,12,102.7,124.999,69.166,79,22,263,283.4999979,283.4999979,125,8,107,863,0,0,0,0,0,125,0.01,24.54545454,125,0.01,24.54545454,0,193.426,118.749,19,140,36,21
2027,1,102.7,124.999,69.166,79,45,393,283.4999979,283.4999979,131.749,8.432,107,1043,0,0.8,0,0,0,125,0.01,24.54545454,125,0.01,24.54545454,0,193.426,118.749,19,140,36,21
2027,2,102.7,124.999,69.166,79,45,393,283.4999979,283.4999979,131.749,8.432,107,1043,0,0.8,0,0,0,125,0.01,24.54545454,125,0.01,24.54545454,0,193.426,118.749,19,140,36,21
2027,3,102.7,124.999,69.166,79,45,393,283.4999979,283.4999979,131.749,8.432,107,1043,0,0.8,0,0,0,125,0.01,30,125,0.01,30,0,193.426,118.749,19,140,36,21
2027,4,102.7,124.999,69.166,79,45,393,283.4999979,283.4999979,131.749,8.432,107,1043,0,0.8,0,0,0,125,0.01,30,125,0.01,30,0,193.426,118.749,19,140,36,21
2027,5,102.7,124.999,69.166,79,45,393,283.4999979,283.4999979,131.749,8.432,107,1043,0,0.8,0,0,0,125,0.01,30,125,0.01,30,0,193.426,118.749,19,140,36,21
2027,6,102.7,124.999,69.166,79,45,393,283.4999979,283.4999979,131.749,8.432,107,1043,0,0.8,0,0,0,125,0.01,30,125,0.01,30,0,193.426,118.749,19,140,36,17.4993
2027,7,102.7,124.999,69.166,79,45,393,283.4999979,283.4999979,131.749,8.432,107,1043,0,0.8,0,0,0,125,0.01,30,125,0.01,30,0,193.426,118.749,19,140,36,17.4993
2027,8,102.7,124.999,69.166,79,45,393,283.4999979,283.4999979,131.749,8.432,107,1043,0,0.8,0,0,0,125,0.01,30,125,0.01,30,0,193.426,118.749,19,140,36,17.4993
2027,9,102.7,124.999,69.166,79,45,393,283.4999979,283.4999979,131.749,8.432,107,1043,0,0.8,0,0,0,125,0.01,30,125,0.01,30,0,193.426,118.749,19,140,36,17.4993
2027,10,102.7,124.999,69.166,79,45,393,283.4999979,283.4999979,131.749,8.432,107,1043,0,0.8,0,0,0,125,0.01,30,125,0.01,30,0,193.426,118.749,19,140,36,21
2027,11,102.7,124.999,69.166,79,45,393,283.4999979,283.4999979,131.749,8.432,107,1043,0,0.8,0,0,0,125,0.01,24.54545454,125,0.01,24.54545454,0,193.426,118.749,19,140,36,21
2027,12,102.7,124.999,69.166,79,45,393,283.4999979,283.4999979,131.749,8.432,107,1043,0,0.8,0,0,0,125,0.01,24.54545454,125,0.01,24.54545454,0,193.426,118.749,19,140,36,21
2028,1,102.7,124.999,69.166,79,70,521,283.4999979,283.4999979,131.749,8.432,107,1248,0.133,3,0,0,0,125,0.01,24.54545454,125,0.01,24.54545454,0,193.426,118.749,19,140,36,21
2028,2,102.7,124.999,69.166,79,70,521,283.4999979,283.4999979,131.749,8.432,107,1248,0.133,3,0,0,0,125,0.01,24.54545454,125,0.01,24.54545454,0,193.426,118.749,19,140,36,21
2028,3,102.7,124.999,69.166,79,70,521,283.4999979,283.4999979,131.749,8.432,107,1248,0.133,3,0,0,0,125,0.01,30,125,0.01,30,0,193.426,118.749,19,140,36,21
2028,4,102.7,124.999,69.166,79,70,521,283.4999979,283.4999979,131.749,8.432,107,1248,0.133,3,0,0,0,125,0.01,30,125,0.01,30,0,193.426,118.749,19,140,36,21
2028,5,102.7,124.999,69.166,79,70,521,283.4999979,283.4999979,131.749,8.432,107,1248,0.133,3,0,0,0,125,0.01,30,125,0.01,30,0,193.426,118.749,19,140,36,21
2028,6,102.7,124.999,69.166,79,70,521,283.4999979,283.4999979,131.749,8.432,107,1248,0.133,3,0,0,0,125,0.01,30,125,0.01,30,0,193.426,118.749,19,140,36,17.4993
2028,7,102.7,124.999,69.166,79,70,521,283.4999979,283.4999979,131.749,8.432,107,1248,0.133,3,0,0,0,125,0.01,30,125,0.01,30,0,193.426,118.749,19,140,36,17.4993
2028,8,102.7,124.999,69.166,79,70,521,283.4999979,283.4999979,131.749,8.432,107,1248,0.133,3,0,0,0,125,0.01,30,125,0.01,30,0,193.426,118.749,19,140,36,17.4993
2028,9,102.7,124.999,69.166,79,70,521,283.4999979,283.4999979,131.749,8.432,107,1248,0.133,3,0,0,0,125,0.01,30,125,0.01,30,0,193.426,118.749,19,140,36,17.4993
2028,10,102.7,124.999,69.166,79,70,521,283.4999979,283.4999979,131.749,8.432,107,1248,0.133,3,0,0,0,125,0.01,30,125,0.01,30,0,193.426,118.749,19,140,36,21
2028,11,102.7,124.999,69.166,79,70,521,283.4999979,283.4999979,131.749,8.432,107,1248,0.133,3,0,0,0,125,0.01,24.54545454,125,0.01,24.54545454,0,193.426,118.749,19,140,36,21
2028,12,102.7,124.999,69.166,79,70,521,283.4999979,283.4999979,131.749,8.432,107,1248,0.133,3,0,0,0,125,0.01,24.54545454,125,0.01,24.54545454,0,193.426,118.749,19,140,36,21
2029,1,102.7,124.999,69.166,79,97,645,283.4999979,283.4999979,131.749,8.432,107,1413,0.266,6.6,0,0,0,125,0.01,24.54545454,125,0.01,24.54545454,0,193.426,118.749,19,140,36,21
2029,2,102.7,124.999,69.166,79,97,645,283.4999979,283.4999979,131.749,8.432,107,1413,0.266,6.6,0,0,0,125,0.01,24.54545454,125,0.01,24.54545454,0,193.426,118.749,19,140,36,21
2029,3,102.7,124.999,69.166,79,97,645,283.4999979,283.4999979,131.749,8.432,107,1413,0.266,6.6,0,0,0,125,0.01,30,125,0.01,30,0,193.426,118.749,19,140,36,21
2029,4,102.7,124.999,69.166,79,97,645,283.4999979,283.4999979,131.749,8.432,107,1413,0.266,6.6,0,0,0,125,0.01,30,125,0.01,30,0,193.426,118.749,19,140,36,21
