Year,ARV_CCH_1,ARV_CCH_2,Cholla 1,Cholla 3,DESERT SUN CT 1,DESERT SUN CT 2,Future LM6000 CT 1,Future LM6000 CT 10,Future LM6000 CT 11,Future LM6000 CT 12,Future LM6000 CT 2,Future LM6000 CT 3,Future LM6000 CT 4,Future LM6000 CT 5,Future LM6000 CT 6,Future LM6000 CT 7,Future LM6000 CT 8,Future LM6000 CT 9,Ocotillo CT 1,Ocotillo CT 2,Ocotillo CT 3,Ocotillo CT 4,Ocotillo CT 5,Ocotillo CT 6,Ocotillo CT 7,Redhawk 1 A,Redhawk 1 B,Redhawk 1 DB,Redhawk 2 A,Redhawk 2 B,Redhawk  CT1,Redhawk  CT2,Redhawk  CT3,Redhawk  CT4,Redhawk  CT5,Redhawk  CT6,Redhawk  CT7,Redhawk  CT8,Redhawk Generating Station (ProEnergy Services) BTA,Saguaro CT 1,Saguaro CT 2,Saguaro CT 3,Sundance CT 1,Sundance CT 10,Sundance CT 2,Sundance CT 3,Sundance CT 4,Sundance CT 5,Sundance CT 6,Sundance CT 7,Sundance CT 8,Sundance CT 9,Sundance CT11,Sundance CT12,West Phoenix CC1,West Phoenix CC2,West Phoenix CC3,West Phoenix CC4,West Phoenix CC5 A,West Phoenix CC5 B,West Phoenix CT 1,West Phoenix CT 2,Yucca CT 1,Yucca CT 2,Yucca CT 3,Yucca CT 4,Yucca CT 5,Yucca CT 6
2026,"1,342.75","1,342.75",42.73,68.86,"1,180.78","1,180.78",360.78,352.19,352.19,352.19,360.78,360.78,360.78,360.78,360.78,360.78,360.78,352.19,186.46,186.46,774.19,774.19,774.19,774.19,774.19,628.44,472.8,57.64,628.44,472.8,401.58,401.58,401.58,401.58,401.58,401.58,401.58,401.58,"2,937.78",186.46,186.46,37.94,334.88,334.88,334.88,334.88,334.88,334.88,334.88,334.88,334.88,334.88,334.88,334.88,119.08,119.08,119.08,334.27,"1,008.31",821.8,186.46,186.46,188.91,188.91,52.07,172.41,392.87,392.87
2027,"1,378.63","1,378.63",43.8,70.58,"1,209.89","1,209.89",369.6,360.8,360.8,360.8,369.6,369.6,369.6,369.6,369.6,369.6,369.6,360.8,191.12,191.12,793.54,793.54,793.54,793.54,793.54,644.151,484.62,59.18,644.151,484.62,411.4,411.4,411.4,411.4,411.4,411.4,411.4,411.4,"3,009.60",191.12,191.12,38.89,343.25,343.25,343.25,343.25,343.25,343.25,343.25,343.25,343.25,343.25,343.25,343.25,122.06,122.06,122.06,342.63,"1,033.52",842.35,191.12,191.12,193.63,193.63,53.37,176.72,402.69,402.69
2028,"1,414.50","1,414.50",44.89,72.35,"1,242.24","1,242.24",378.84,369.82,369.82,369.82,378.84,378.84,378.84,378.84,378.84,378.84,378.84,369.82,195.9,195.9,813.38,813.38,813.38,813.38,813.38,660.254775,496.7355,60.72,660.254775,496.7355,421.69,421.69,421.69,421.69,421.69,421.69,421.69,421.69,"3,084.84",195.9,195.9,39.86,351.83,351.83,351.83,351.83,351.83,351.83,351.83,351.83,351.83,351.83,351.83,351.83,125.11,125.11,125.11,351.19,"1,059.36",863.4,195.9,195.9,198.47,198.47,54.71,181.14,412.76,412.76
2029,"1,445.25","1,445.25",46.02,74.15,"1,271.36","1,271.36",398.16,388.68,388.68,388.68,398.16,398.16,398.16,398.16,398.16,398.16,398.16,388.68,200.8,200.8,833.72,833.72,833.72,833.72,833.72,676.7611444,509.1538875,63.8,676.7611444,509.1538875,443.19,443.19,443.19,443.19,443.19,443.19,443.19,443.19,"3,242.16",200.8,200.8,40.86,360.63,360.63,360.63,360.63,360.63,360.63,360.63,360.63,360.63,360.63,360.63,360.63,128.24,128.24,128.24,359.97,"1,085.84",884.99,200.8,200.8,203.44,203.44,56.07,185.67,423.08,423.08
2030,"1,486.25","1,486.25",47.17,76.01,"1,303.71","1,303.71",407.82,398.11,398.11,398.11,407.82,407.82,407.82,407.82,407.82,407.82,407.82,398.11,205.82,205.82,854.56,854.56,854.56,854.56,854.56,693.680173,521.8827347,65.34,693.680173,521.8827347,453.94,453.94,453.94,453.94,453.94,453.94,453.94,453.94,"3,320.82",205.82,205.82,41.88,369.64,369.64,369.64,369.64,369.64,369.64,369.64,369.64,369.64,369.64,369.64,369.64,131.44,131.44,131.44,368.97,"1,112.99",907.11,205.82,205.82,208.52,208.52,57.48,190.31,433.65,433.65
2031,"1,522.13","1,522.13",48.35,77.91,"1,336.06","1,336.06",418.32,408.36,408.36,408.36,418.32,418.32,418.32,418.32,418.32,418.32,418.32,408.36,210.96,210.96,875.92,875.92,875.92,875.92,875.92,711.0221773,534.9298031,66.88,711.0221773,534.9298031,465.63,465.63,465.63,465.63,465.63,465.63,465.63,465.63,"3,406.32",210.96,210.96,42.93,378.89,378.89,378.89,378.89,378.89,378.89,378.89,378.89,378.89,378.89,378.89,378.89,134.73,134.73,134.73,378.2,"1,140.81",929.79,210.96,210.96,213.73,213.73,58.91,195.07,444.5,444.5
2032,"1,558.00","1,558.00",49.55,79.86,"1,368.41","1,368.41",428.82,418.61,418.61,418.61,428.82,428.82,428.82,428.82,428.82,428.82,428.82,418.61,216.24,216.24,897.82,897.82,897.82,897.82,897.82,728.7977317,548.3030481,68.64,728.7977317,548.3030481,477.32,477.32,477.32,477.32,477.32,477.32,477.32,477.32,"3,491.82",216.24,216.24,44,388.36,388.36,388.36,388.36,388.36,388.36,388.36,388.36,388.36,388.36,388.36,388.36,138.1,138.1,138.1,387.65,"1,169.33",953.04,216.24,216.24,219.08,219.08,60.39,199.94,455.61,455.61
2033,"1,599.00","1,599.00",50.79,81.85,"1,403.99","1,403.99",439.32,428.86,428.86,428.86,439.32,439.32,439.32,439.32,439.32,439.32,439.32,428.86,221.64,221.64,920.27,920.27,920.27,920.27,920.27,747.017675,562.0106243,70.4,747.017675,562.0106243,489.01,489.01,489.01,489.01,489.01,489.01,489.01,489.01,"3,577.32",221.64,221.64,45.1,398.07,398.07,398.07,398.07,398.07,398.07,398.07,398.07,398.07,398.07,398.07,398.07,141.55,141.55,141.55,397.34,"1,198.56",976.86,221.64,221.64,224.55,224.55,61.89,204.94,467,467
2034,"1,640.00","1,640.00",52.06,83.9,"1,439.58","1,439.58",450.24,439.52,439.52,439.52,450.24,450.24,450.24,450.24,450.24,450.24,450.24,439.52,227.18,227.18,943.28,943.28,943.28,943.28,943.28,765.6931169,576.0608899,72.16,765.6931169,576.0608899,501.16,501.16,501.16,501.16,501.16,501.16,501.16,501.16,"3,666.24",227.18,227.18,46.23,408.02,408.02,408.02,408.02,408.02,408.02,408.02,408.02,408.02,408.02,408.02,408.02,145.09,145.09,145.09,407.28,"1,228.53","1,001.28",227.18,227.18,230.17,230.17,63.44,210.06,478.67,478.67
2035,"1,681.00","1,681.00",53.36,86,"1,475.16","1,475.16",461.58,450.59,450.59,450.59,461.58,461.58,461.58,461.58,461.58,461.58,461.58,450.59,232.86,232.86,966.86,966.86,966.86,966.86,966.86,784.8354448,590.4624122,73.92,784.8354448,590.4624122,513.78,513.78,513.78,513.78,513.78,513.78,513.78,513.78,"3,758.58",232.86,232.86,47.38,418.22,418.22,418.22,418.22,418.22,418.22,418.22,418.22,418.22,418.22,418.22,418.22,148.71,148.71,148.71,417.46,"1,259.24","1,026.32",232.86,232.86,235.92,235.92,65.03,215.32,490.64,490.64
2036,"1,722.00","1,722.00",54.7,88.15,"1,510.75","1,510.75",473.34,462.07,462.07,462.07,473.34,473.34,473.34,473.34,473.34,473.34,473.34,462.07,238.68,238.68,991.03,991.03,991.03,991.03,991.03,804.456331,605.2239725,75.68,804.456331,605.2239725,526.87,526.87,526.87,526.87,526.87,526.87,526.87,526.87,"3,854.34",238.68,238.68,48.57,428.67,428.67,428.67,428.67,428.67,428.67,428.67,428.67,428.67,428.67,428.67,428.67,152.43,152.43,152.43,427.89,"1,290.72","1,051.97",238.68,238.68,241.82,241.82,66.65,220.7,502.91,502.91
2037,"1,763.00","1,763.00",56.07,90.35,"1,549.57","1,549.57",485.1,473.55,473.55,473.55,485.1,485.1,485.1,485.1,485.1,485.1,485.1,473.55,244.65,244.65,"1,015.80","1,015.80","1,015.80","1,015.80","1,015.80",824.5677392,620.3545718,77.66,824.5677392,620.3545718,539.96,539.96,539.96,539.96,539.96,539.96,539.96,539.96,"3,950.10",244.65,244.65,49.78,439.39,439.39,439.39,439.39,439.39,439.39,439.39,439.39,439.39,439.39,439.39,439.39,156.24,156.24,156.24,438.59,"1,322.99","1,078.27",244.65,244.65,247.87,247.87,68.32,226.22,515.48,515.48
2038,"1,809.13","1,809.13",57.47,92.61,"1,588.39","1,588.39",497.28,485.44,485.44,485.44,497.28,497.28,497.28,497.28,497.28,497.28,497.28,485.44,250.77,250.77,"1,041.20","1,041.20","1,041.20","1,041.20","1,041.20",845.1819327,635.8634361,79.64,845.1819327,635.8634361,553.52,553.52,553.52,553.52,553.52,553.52,553.52,553.52,"4,049.28",250.77,250.77,51.03,450.38,450.38,450.38,450.38,450.38,450.38,450.38,450.38,450.38,450.38,450.38,450.38,160.15,160.15,160.15,449.56,"1,356.06","1,105.23",250.77,250.77,254.06,254.06,70.03,231.87,528.37,528.37
2039,"1,855.25","1,855.25",58.9,94.92,"1,627.21","1,627.21",509.46,497.33,497.33,497.33,509.46,509.46,509.46,509.46,509.46,509.46,509.46,497.33,257.04,257.04,"1,067.23","1,067.23","1,067.23","1,067.23","1,067.23",866.311481,651.760022,81.62,866.311481,651.760022,567.08,567.08,567.08,567.08,567.08,567.08,567.08,567.08,"4,148.46",257.04,257.04,52.3,461.64,461.64,461.64,461.64,461.64,461.64,461.64,461.64,461.64,461.64,461.64,461.64,164.15,164.15,164.15,460.79,"1,389.97","1,132.86",257.04,257.04,260.41,260.41,71.78,237.67,541.58,541.58
2040,"1,901.38","1,901.38",60.38,97.3,"1,669.26","1,669.26",522.48,510.04,510.04,510.04,522.48,522.48,522.48,522.48,522.48,522.48,522.48,510.04,263.46,263.46,"1,093.91","1,093.91","1,093.91","1,093.91","1,093.91",887.9692681,668.0540226,83.6,887.9692681,668.0540226,581.57,581.57,581.57,581.57,581.57,581.57,581.57,581.57,"4,254.48",263.46,263.46,53.61,473.18,473.18,473.18,473.18,473.18,473.18,473.18,473.18,473.18,473.18,473.18,473.18,168.26,168.26,168.26,472.31,"1,424.72","1,161.18",263.46,263.46,266.92,266.92,73.57,243.61,555.12,555.12
2041,"1,947.50","1,947.50",61.89,99.73,"1,711.32","1,711.32",535.5,522.75,522.75,522.75,535.5,535.5,535.5,535.5,535.5,535.5,535.5,522.75,270.05,270.05,"1,121.26","1,121.26","1,121.26","1,121.26","1,121.26",910.17,684.76,85.58,910.17,684.76,596.06,596.06,596.06,596.06,596.06,596.06,596.06,596.06,"4,360.50",270.05,270.05,54.95,485.01,485.01,485.01,485.01,485.01,485.01,485.01,485.01,485.01,485.01,485.01,485.01,172.46,172.46,172.46,484.12,"1,460.33","1,190.21",270.05,270.05,273.6,273.6,75.41,249.7,568.99,568.99
