Year, Agave PVS Solar , AGX , Aragonne , Arlington A , Arlington A_2030 , Arlington B , Arlington B_2030 , Arlington DB , Arlington DB_2030 , Badger 1 , Pioneer PVS0Solar , Catclaw PVS0Solar , CE TURBO , Chevelon Butte , Chevelon Butte II , Chino Valley Solar , Cholla 1 , Cholla 3 , CO Bar C PVS0Solar , Mesquite 5 PVS0Solar , Cotton Center Solar , Demand Side Curtailment Area1 First Block , Demand Side Curtailment Area1 Second Block , Desert Star Solar , Douglas , EE_Baseline , Eastern Mining Load , Embedded_DG , External , Foothills Solar , Four Corners 4 , Four Corners 5 , Future LM6000 CT 1 , Future LM6000 CT 10 , Future LM6000 CT 11 , Future LM6000 CT 12 , Future LM6000 CT 2 , Future LM6000 CT 3 , Future LM6000 CT 4 , Future LM6000 CT 5 , Future LM6000 CT 6 , Future LM6000 CT 7 , Future LM6000 CT 8 , Future LM6000 CT 9 , Gila Bend Solar , Gillespie 1 Solar , Griffith A , Griffith B , Griffith DB , Harquahala 2022 , Harquahala 2023 , Harquahala Sun 2 PVS0Solar , Hashknife 2 PVS0Solar  , Hashknife I PVS0Solar 27 , Hashknife 1 PVS0Solar , High Lonesome , Hyder I Solar , Hyder II Solar , Incremental_DG , Ironwood PVS0Solar , Ironwood_PVS_Solar , Kitt PVS0Solar , Legacy Solar , Luke AFB Solar , Maricopa 1 PVS0Solar , Maricopa 2 PVS0Solar , Microgrid 0 FUTURE , Microgrid XHLF , Microgrid Forrest Lakes , Microgrid Preacher , Microgrid Punkin Center , Microgrid Aligned , Microgrid City of Phx , Microgrid MCASY , Microgrid TSMC , New Solar , Novo BioPower , Ocotillo CT 1 , Ocotillo CT 2 , Ocotillo CT 3 , Ocotillo CT 4 , Ocotillo CT 5 , Ocotillo CT 6 , Ocotillo CT 7 , Palo Verde 1 , Palo Verde 2 , Palo Verde 3 , Paloma Solar , Papago Solar , Perrin Ranch , Ajo Solar , Bagdad Solar , Prescott Solar , PVS Solar 5 HR , PVS Solar 5 HR ITC , PVS TBD Planned 2027 Solar , PVS TBD Planned 2029 Solar , Red Rock Solar , Redhawk 1 A , Redhawk 1 A_2030 , Redhawk 1 B , Redhawk 1 B_2030 , Redhawk 1 DB , Redhawk 1 DB_2030 , Redhawk 2 A , Redhawk 2 A_2030 , Redhawk 2 B , Redhawk 2 B_2030 , Redhawk 2 DB , Redhawk 2 DB_2030 , Redhawk  CT1 , Redhawk EPC CT1_2030 , Redhawk  CT2 , Redhawk EPC CT2_2030 , Redhawk  CT3 , Redhawk EPC CT3_2030 , Redhawk  CT4 , Redhawk EPC CT4_2030 , Redhawk  CT5 , Redhawk EPC CT5_2030 , Redhawk  CT6 , Redhawk EPC CT6_2030 , Redhawk  CT7 , Redhawk EPC CT7_2030 , Redhawk  CT8 , Redhawk EPC CT8_2030 , Redhawk Generating Station (ProEnergy Services) BTA , Redhawk Generating Station (ProEnergy Services) BTA_2030 , Saddle Mountain Solar , Saguaro CT 1 , Saguaro CT 2 , Saguaro CT 3 , Sawtooth Solar , Serrano_PVS_Solar , Short0Term Purch , Snowflake 1 PVS0Solar , Snowflake 2 PVS0Solar , Solana , South Point A , South Point B , South Point DB , Summer Purchase 1 , Summer Purchase 2 , SunStreams3 PVS0Solar , SunStreams4 PVS0Solar , Sundance CT 1 , Sundance CT 1_2030 , Sundance CT 10 , Sundance CT 10_2030 , Sundance CT 2 , Sundance CT 2_2030 , Sundance CT 3 , Sundance CT 3_2030 , Sundance CT 4 , Sundance CT 4_2030 , Sundance CT 5 , Sundance CT 5_2030 , Sundance CT 6 , Sundance CT 6_2030 , Sundance CT 7 , Sundance CT 7_2030 , Sundance CT 8 , Sundance CT 8_2030 , Sundance CT 9 , Sundance CT 9_2030 , Sundance CT11 , Sundance EPC 1_2030 , Sundance CT12 , Sundance EPC 2_2030 , TempGen , Utility Owned DE , Vitol_75 Summer 2022 , West Camp (100MW) (AES) , West Camp , West Phoenix CC1 , West Phoenix CC2 , West Phoenix CC3 , West Phoenix CC4 , West Phoenix CC5 A , West Phoenix CC5 B , West Phoenix CC5 DB , West Phoenix CT 1 , West Phoenix CT 2 , WM Landfill , Yucca CT 1 , Yucca CT 2 , Yucca CT 3 , Yucca CT 4 , Yucca CT 5 , Yucca CT 6 , Yuma PVS0Solar , Desert Sun CT 1 , Desert Sun CT 2 , Arv_CCH_1 , Arv_CCH_2 ,New CT Palo Verde,New CT Pinal,Generic H Frame Tolls ,New CC Pinal,New CC Palo Verde,Generic FC H Frame,Coal EXT 1 , Coal EXT 2 ,Saguaro DS CT1 , Saguaro DS CT2 , Cholla 1 Repower Gas , Cholla 3 Repower Gas , Newest Updated_LgFrameCT (Southline) (RETIRED) , Desert Sun CCH 1,Desert Sun CCH 2, Generic FC LgFrameCT 
2026,0,0,0,"13,621.47","14,890.46","13,621.47","14,890.46",0,0,0,0,0,0,0,0,0,2393,2782,0,0,0,0,0,0,"5,785.36",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"11,882.56","11,882.56",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"8,069.00","8,069.00","2,708.00","2,708.00","2,708.00","2,708.00","2,708.00",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"5,536.79",0,"2,615.01",0,0,0,"5,536.79",0,"2,615.01",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"8,069.00","8,069.00","4,573.00",0,0,0,0,0,0,0,0,0,0,0,0,0,"1,843.00",1843,"1,843.00",1843,"1,843.00",1843,"1,843.00",1843,"1,843.00",1843,"1,843.00",1843,"1,843.00",1843,"1,843.00",1843,"1,843.00",1843,"1,843.00",1843,1843,1843,1843,1843,0,0,0,0,0,"4,249.00","4,249.00","4,249.00","6,316.31","14,027.94","6,752.26",0,"8,069.00","8,069.00",0,"3,719.00","3,719.00","4,114.00","6,417.00",590,590,0,"14,835.71","14,835.71","24,348.33","24,348.33",45.86,45.86,47.51,47.51,47.51,47.51,0,0,45.86,45.86,2393,2782,45.86,47.51,47.51,45.86
2027,0,0,0,"14,030.11","15,262.73","14,030.11","15,262.73",0,0,0,0,0,0,0,0,0,2452.825,2851.55,0,0,0,0,0,0,"5,929.99",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"12,239.04","12,239.04",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"8,270.73","8,270.73","2,775.70","2,775.70","2,775.70","2,775.70","2,775.70",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"5,675.22",0,"2,680.38",0,0,0,"5,675.22",0,"2,680.38",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"8,270.73","8,270.73","4,687.33",0,0,0,0,0,0,0,0,0,0,0,0,0,"1,889.08",1889.075,"1,889.08",1889.075,"1,889.08",1889.075,"1,889.08",1889.075,"1,889.08",1889.075,"1,889.08",1889.075,"1,889.08",1889.075,"1,889.08",1889.075,"1,889.08",1889.075,"1,889.08",1889.075,"1,889.08",1889.075,"1,889.08",1889.075,0,0,0,0,0,"4,355.23","4,355.23","4,355.23","6,474.22","14,378.65","6,921.07",0,"8,270.73","8,270.73",0,"3,811.98","3,811.98","4,216.85","6,577.43",604.75,604.75,0,"15,207.74","15,207.74","24,957.03","24,957.03",47.01,47.01,48.7,48.7,48.7,48.7,0,0,47.01,47.01,2452.825,2851.55,47.01,48.7,48.7,47.01
2028,0,0,0,"14,451.02","15,644.29","14,451.02","15,644.29",0,0,0,0,0,0,0,0,0,2514.145625,2922.83875,0,0,0,0,0,0,"6,078.24",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"12,606.21","12,606.21",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"8,477.49","8,477.49","2,845.09","2,845.09","2,845.09","2,845.09","2,845.09",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"5,817.09",0,"2,747.39",0,0,0,"5,817.09",0,"2,747.39",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"8,477.49","8,477.49","4,804.51",0,0,0,0,0,0,0,0,0,0,0,0,0,"1,936.30",1936.301875,"1,936.30",1936.301875,"1,936.30",1936.301875,"1,936.30",1936.301875,"1,936.30",1936.301875,"1,936.30",1936.301875,"1,936.30",1936.301875,"1,936.30",1936.301875,"1,936.30",1936.301875,"1,936.30",1936.301875,"1,936.30",1936.301875,"1,936.30",1936.301875,0,0,0,0,0,"4,464.11","4,464.11","4,464.11","6,636.07","14,738.11","7,094.10",0,"8,477.49","8,477.49",0,"3,907.27","3,907.27","4,322.27","6,741.86",619.86875,619.86875,0,"15,586.23","15,586.23","25,580.96","25,580.96",48.18,48.18,49.91,49.91,49.91,49.91,0,0,48.18,48.18,2514.145625,2922.83875,48.18,49.91,49.91,48.18
2029,0,0,0,"14,884.55","16,934.58","14,884.55","16,934.58",0,0,0,0,0,0,0,0,0,2576.999266,2995.909719,0,0,0,0,0,0,"6,230.20",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"12,984.39","12,984.39",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"8,689.43","8,689.43","2,916.22","2,916.22","2,916.22","2,916.22","2,916.22",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"5,962.52",0,"2,816.07",0,0,0,"5,962.52",0,"2,816.07",0,0,0,"2,308.98",0,"2,308.98",0,"2,308.98",0,"2,308.98",0,"2,308.98",0,"2,308.98",0,"2,308.98",0,"2,308.98",0,0,0,0,"8,689.43","8,689.43","4,924.62",0,0,0,0,0,0,0,0,0,0,0,0,0,"1,984.71",1984.709422,"1,984.71",1984.709422,"1,984.71",1984.709422,"1,984.71",1984.709422,"1,984.71",1984.709422,"1,984.71",1984.709422,"1,984.71",1984.709422,"1,984.71",1984.709422,"1,984.71",1984.709422,"1,984.71",1984.709422,"1,984.71",1984.709422,"1,984.71",1984.709422,0,0,0,0,0,"4,575.71","4,575.71","4,575.71","6,801.98","15,106.56","7,271.45",0,"8,689.43","8,689.43",0,"4,004.96","4,004.96","4,430.33","6,910.41",635.3654688,635.3654688,0,"15,977.67","15,977.67","26,220.48","26,220.48",49.39,49.39,51.16,51.16,51.16,51.16,0,0,49.39,49.39,2576.999266,2995.909719,49.39,51.16,51.16,49.39
2030,0,0,0,"15,331.09","17,357.95","15,331.09","17,357.95",0,0,0,0,0,0,0,0,0,2641.424247,3070.807462,0,0,0,0,0,0,"6,385.95",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"13,373.93","13,373.93",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"8,906.67","8,906.67","2,989.13","2,989.13","2,989.13","2,989.13","2,989.13",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"6,111.58",0,"2,886.48",0,0,0,"6,111.58",0,"2,886.48",0,0,0,"2,366.49",0,"2,366.49",0,"2,366.49",0,"2,366.49",0,"2,366.49",0,"2,366.49",0,"2,366.49",0,"2,366.49",0,0,0,0,"8,906.67","8,906.67","5,047.74",0,0,0,0,0,0,0,0,0,0,0,0,0,"2,034.33",2034.327157,"2,034.33",2034.327157,"2,034.33",2034.327157,"2,034.33",2034.327157,"2,034.33",2034.327157,"2,034.33",2034.327157,"2,034.33",2034.327157,"2,034.33",2034.327157,"2,034.33",2034.327157,"2,034.33",2034.327157,"2,034.33",2034.327157,"2,034.33",2034.327157,0,0,0,0,0,"4,690.10","4,690.10","4,690.10","6,972.02","15,484.22","7,453.23",0,"8,906.67","8,906.67",0,"4,105.08","4,105.08","4,541.09","7,083.17",651.2496055,651.2496055,0,"16,375.57","16,375.57","26,876.00","26,876.00",50.62,50.62,52.44,52.44,52.44,52.44,0,0,50.62,50.62,2641.424247,3070.807462,50.62,52.44,52.44,50.62
2031,0,0,0,"15,791.02","17,791.90","15,791.02","17,791.90",0,0,0,0,0,0,0,0,0,2707.459853,3147.577648,0,0,0,0,0,0,"6,545.60",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"13,775.14","13,775.14",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"9,129.33","9,129.33","3,063.85","3,063.85","3,063.85","3,063.85","3,063.85",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"6,264.38","4,726.56","2,958.64","4,726.56",0,"4,726.56","6,264.38","4,726.56","2,958.64","4,726.56",0,0,"2,425.86","2,425.86","2,425.86","2,425.86","2,425.86","2,425.86","2,425.86","2,425.86","2,425.86","2,425.86","2,425.86","2,425.86","2,425.86","2,425.86","2,425.86","2,425.86",0,0,0,"9,129.33","9,129.33","5,173.93",0,0,0,0,0,0,0,0,0,0,0,0,0,"2,085.19","2,085.19","2,085.19","2,085.19","2,085.19","2,085.19","2,085.19","2,085.19","2,085.19","2,085.19","2,085.19","2,085.19","2,085.19","2,085.19","2,085.19","2,085.19","2,085.19","2,085.19","2,085.19","2,085.19","2,085.19","2,085.19","2,085.19","2,085.19",0,0,0,0,0,"4,807.35","4,807.35","4,807.35","7,146.33","15,871.34","7,639.57",0,"9,129.33","9,129.33",0,"4,207.71","4,207.71","4,654.61","7,260.25",667.5308456,667.5308456,0,"16,786.42","16,786.42","27,547.90","27,547.90",51.89,51.89,53.75,53.75,53.75,53.75,0,0,51.89,51.89,2707.459853,3147.577648,51.89,53.75,53.75,51.89
2032,0,0,0,"16,264.75","18,236.69","16,264.75","18,236.69",0,0,0,0,0,0,0,0,0,2775.14635,3226.267089,0,0,0,0,0,0,"6,709.24",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"14,188.40","14,188.40",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"9,357.57","9,357.57","3,140.45","3,140.45","3,140.45","3,140.45","3,140.45",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"6,420.98","4,845.24","3,032.61","4,845.24",0,"4,845.24","6,420.98","4,845.24","3,032.61","4,845.24",0,0,"2,486.17","2,486.17","2,486.17","2,486.17","2,486.17","2,486.17","2,486.17","2,486.17","2,486.17","2,486.17","2,486.17","2,486.17","2,486.17","2,486.17","2,486.17","2,486.17",0,0,0,"9,357.57","9,357.57","5,303.28",0,0,0,0,0,0,0,0,0,0,0,0,0,"2,137.31","2,137.31","2,137.31","2,137.31","2,137.31","2,137.31","2,137.31","2,137.31","2,137.31","2,137.31","2,137.31","2,137.31","2,137.31","2,137.31","2,137.31","2,137.31","2,137.31","2,137.31","2,137.31","2,137.31","2,137.31","2,137.31","2,137.31","2,137.31",0,0,0,0,0,"4,927.54","4,927.54","4,927.54","7,324.98","16,268.12","7,830.55",0,"9,357.57","9,357.57",0,"4,312.90","4,312.90","4,770.98","7,441.75",684.2191167,684.2191167,0,"17,203.73","17,203.73","28,236.59","28,236.59",53.18,53.18,55.1,55.1,55.1,55.1,0,0,53.18,53.18,2775.14635,3226.267089,53.18,55.1,55.1,53.18
2033,0,0,0,"16,752.69","18,692.61","16,752.69","18,692.61",0,0,0,0,0,0,0,0,0,2844.525009,3306.923767,0,0,0,0,0,0,"6,876.98",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"14,614.05","14,614.05",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"9,591.51","9,591.51","3,218.96","3,218.96","3,218.96","3,218.96","3,218.96",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"6,581.51","4,966.50","3,108.42","4,966.50",0,"4,966.50","6,581.51","4,966.50","3,108.42","4,966.50",0,0,"2,548.34","2,548.34","2,548.34","2,548.34","2,548.34","2,548.34","2,548.34","2,548.34","2,548.34","2,548.34","2,548.34","2,548.34","2,548.34","2,548.34","2,548.34","2,548.34",0,0,0,"9,591.51","9,591.51","5,435.86",0,0,0,0,0,0,0,0,0,0,0,0,0,"2,190.75","2,190.75","2,190.75","2,190.75","2,190.75","2,190.75","2,190.75","2,190.75","2,190.75","2,190.75","2,190.75","2,190.75","2,190.75","2,190.75","2,190.75","2,190.75","2,190.75","2,190.75","2,190.75","2,190.75","2,190.75","2,190.75","2,190.75","2,190.75",0,0,0,0,0,"5,050.73","5,050.73","5,050.73","7,508.11","16,674.82","8,026.32",0,"9,591.51","9,591.51",0,"4,420.72","4,420.72","4,890.25","7,627.80",701.3245947,701.3245947,0,"17,633.99","17,633.99","28,942.51","28,942.51",54.51,54.51,56.47,56.47,56.47,56.47,0,0,54.51,54.51,2844.525009,3306.923767,54.51,56.47,56.47,54.51
2034,0,0,0,"17,255.27","19,159.93","17,255.27","19,159.93",0,0,0,0,0,0,0,0,0,2915.638134,3389.596861,0,0,0,0,0,0,"7,048.90",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"15,052.47","15,052.47",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"9,831.29","9,831.29","3,299.44","3,299.44","3,299.44","3,299.44","3,299.44",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"6,746.05","5,090.34","3,186.13","5,090.34",0,"5,090.34","6,746.05","5,090.34","3,186.13","5,090.34",0,0,"2,612.39","2,612.39","2,612.39","2,612.39","2,612.39","2,612.39","2,612.39","2,612.39","2,612.39","2,612.39","2,612.39","2,612.39","2,612.39","2,612.39","2,612.39","2,612.39",0,0,0,"9,831.29","9,831.29","5,571.76",0,0,0,0,0,0,0,0,0,0,0,0,0,"2,245.52","2,245.52","2,245.52","2,245.52","2,245.52","2,245.52","2,245.52","2,245.52","2,245.52","2,245.52","2,245.52","2,245.52","2,245.52","2,245.52","2,245.52","2,245.52","2,245.52","2,245.52","2,245.52","2,245.52","2,245.52","2,245.52","2,245.52","2,245.52",0,0,0,0,0,"5,176.99","5,176.99","5,176.99","7,695.81","17,091.69","8,226.98",0,"9,831.29","9,831.29",0,"4,531.24","4,531.24","5,012.51","7,818.49",718.8577095,718.8577095,0,"18,077.18","18,077.18","29,666.07","29,666.07",55.88,55.88,57.89,57.89,57.89,57.89,0,0,55.88,55.88,2915.638134,3389.596861,55.88,57.89,57.89,55.88
2035,0,0,0,"17,772.93","19,638.92","17,772.93","19,638.92",0,0,0,0,0,0,0,0,0,2988.529087,3474.336782,0,0,0,0,0,0,"7,225.12",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"15,504.04","15,504.04",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"10,077.08","10,077.08","3,381.92","3,381.92","3,381.92","3,381.92","3,381.92",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"6,914.70","5,216.76","3,265.78","5,216.76",0,"5,216.76","6,914.70","5,216.76","3,265.78","5,216.76",0,0,"2,677.37","2,677.37","2,677.37","2,677.37","2,677.37","2,677.37","2,677.37","2,677.37","2,677.37","2,677.37","2,677.37","2,677.37","2,677.37","2,677.37","2,677.37","2,677.37",0,0,0,"10,077.08","10,077.08","5,711.05",0,0,0,0,0,0,0,0,0,0,0,0,0,"2,301.65","2,301.65","2,301.65","2,301.65","2,301.65","2,301.65","2,301.65","2,301.65","2,301.65","2,301.65","2,301.65","2,301.65","2,301.65","2,301.65","2,301.65","2,301.65","2,301.65","2,301.65","2,301.65","2,301.65","2,301.65","2,301.65","2,301.65","2,301.65",0,0,0,0,0,"5,306.42","5,306.42","5,306.42","7,888.21","17,518.99","8,432.65",0,"10,077.08","10,077.08",0,"4,644.52","4,644.52","5,137.82","8,013.95",736.8291523,736.8291523,0,"18,526.85","18,526.85","30,407.72","30,407.72",57.27,57.27,59.33,59.33,59.33,59.33,0,0,57.27,57.27,2988.529087,3474.336782,57.27,59.33,59.33,57.27
