Year,Month,Value
2026,1,6770
2026,2,6770
2026,3,6770
2026,4,6770
2026,5,6810
2026,6,6810
2026,7,6810
2026,8,6810
2026,9,6810
2026,10,6810
2026,11,6770
2026,12,6770
2027,1,6770
2027,2,6770
2027,3,6770
2027,4,6770
2027,5,6810
2027,6,6810
2027,7,6810
2027,8,6810
2027,9,6810
2027,10,6810
2027,11,6770
2027,12,6770
2028,1,6770
2028,2,6770
2028,3,6770
2028,4,6770
2028,5,6810
2028,6,6810
2028,7,6810
2028,8,6810
2028,9,6810
2028,10,6810
2028,11,6770
2028,12,6770
2029,1,6770
2029,2,6770
2029,3,6770
2029,4,6770
2029,5,6810
2029,6,6810
2029,7,6810
2029,8,6810
2029,9,6810
2029,10,6810
2029,11,6770
2029,12,6770
2030,1,6770
2030,2,6770
2030,3,6770
2030,4,6770
2030,5,6810
2030,6,6810
2030,7,6810
2030,8,6810
2030,9,6810
2030,10,6810
2030,11,6770
2030,12,6770
2031,1,6770
2031,2,6770
2031,3,6770
2031,4,6770
2031,5,6810
2031,6,6810
2031,7,6810
2031,8,6810
2031,9,6810
2031,10,6810
2031,11,6770
2031,12,6770
2032,1,6770
2032,2,6770
2032,3,6770
2032,4,6770
2032,5,6810
2032,6,6810
2032,7,6810
2032,8,6810
2032,9,6810
2032,10,6810
2032,11,6770
2032,12,6770
2033,1,6770
2033,2,6770
2033,3,6770
2033,4,6770
2033,5,6810
2033,6,6810
2033,7,6810
2033,8,6810
2033,9,6810
2033,10,6810
2033,11,6770
2033,12,6770
2034,1,6770
2034,2,6770
2034,3,6770
2034,4,6770
2034,5,6810
2034,6,6810
2034,7,6810
2034,8,6810
2034,9,6810
2034,10,6810
2034,11,6770
2034,12,6770
2035,1,6770
2035,2,6770
2035,3,6770
2035,4,6770
2035,5,6810
2035,6,6810
2035,7,6810
2035,8,6810
2035,9,6810
2035,10,6810
2035,11,6770
2035,12,6770
2036,1,6770
2036,2,6770
2036,3,6770
2036,4,6770
2036,5,6810
2036,6,6810
2036,7,6810
2036,8,6810
2036,9,6810
2036,10,6810
2036,11,6770
2036,12,6770
2037,1,6770
2037,2,6770
2037,3,6770
2037,4,6770
2037,5,6810
2037,6,6810
2037,7,6810
2037,8,6810
2037,9,6810
2037,10,6810
2037,11,6770
2037,12,6770
2038,1,6770
2038,2,6770
2038,3,6770
2038,4,6770
2038,5,6810
2038,6,6810
2038,7,6810
2038,8,6810
2038,9,6810
2038,10,6810
2038,11,6770
2038,12,6770
2039,1,6770
2039,2,6770
2039,3,6770
2039,4,6770
2039,5,6810
2039,6,6810
2039,7,6810
2039,8,6810
2039,9,6810
2039,10,6810
2039,11,6770
2039,12,6770
2040,1,6770
2040,2,6770
2040,3,6770
2040,4,6770
2040,5,6810
2040,6,6810
2040,7,6810
2040,8,6810
2040,9,6810
2040,10,6810
2040,11,6770
2040,12,6770
2041,1,6770
2041,2,6770
2041,3,6770
2041,4,6770
2041,5,6810
2041,6,6810
2041,7,6810
2041,8,6810
2041,9,6810
2041,10,6810
2041,11,6770
2041,12,6770
2042,1,6770
2042,2,6770
2042,3,6770
2042,4,6770
2042,5,6810
2042,6,6810
2042,7,6810
2042,8,6810
2042,9,6810
2042,10,6810
2042,11,6770
2042,12,6770
2043,1,6770
2043,2,6770
2043,3,6770
2043,4,6770
2043,5,6810
2043,6,6810
2043,7,6810
2043,8,6810
2043,9,6810
2043,10,6810
2043,11,6770
2043,12,6770
2044,1,6770
2044,2,6770
2044,3,6770
2044,4,6770
2044,5,6810
2044,6,6810
2044,7,6810
2044,8,6810
2044,9,6810
2044,10,6810
2044,11,6770
2044,12,6770
2045,1,6770
2045,2,6770
2045,3,6770
2045,4,6770
2045,5,6810
2045,6,6810
2045,7,6810
2045,8,6810
2045,9,6810
2045,10,6810
2045,11,6770
2045,12,6770
2046,1,6770
2046,2,6770
2046,3,6770
2046,4,6770
2046,5,6810
2046,6,6810
2046,7,6810
2046,8,6810
2046,9,6810
2046,10,6810
2046,11,6770
2046,12,6770
2047,1,6770
2047,2,6770
2047,3,6770
2047,4,6770
2047,5,6810
2047,6,6810
2047,7,6810
2047,8,6810
2047,9,6810
2047,10,6810
2047,11,6770
2047,12,6770
2048,1,6770
2048,2,6770
2048,3,6770
2048,4,6770
2048,5,6810
2048,6,6810
2048,7,6810
2048,8,6810
2048,9,6810
2048,10,6810
2048,11,6770
2048,12,6770
2049,1,6770
2049,2,6770
2049,3,6770
2049,4,6770
2049,5,6810
2049,6,6810
2049,7,6810
2049,8,6810
2049,9,6810
2049,10,6810
2049,11,6770
2049,12,6770
2050,1,6770
2050,2,6770
2050,3,6770
2050,4,6770
2050,5,6810
2050,6,6810
2050,7,6810
2050,8,6810
2050,9,6810
2050,10,6810
2050,11,6770
2050,12,6770
2051,1,6770
2051,2,6770
2051,3,6770
2051,4,6770
2051,5,6810
2051,6,6810
2051,7,6810
2051,8,6810
2051,9,6810
2051,10,6810
2051,11,6770
2051,12,6770
2052,1,6770
2052,2,6770
2052,3,6770
2052,4,6770
2052,5,6810
2052,6,6810
2052,7,6810
2052,8,6810
2052,9,6810
2052,10,6810
2052,11,6770
2052,12,6770
2053,1,6770
2053,2,6770
2053,3,6770
2053,4,6770
2053,5,6810
2053,6,6810
2053,7,6810
2053,8,6810
2053,9,6810
2053,10,6810
2053,11,6770
2053,12,6770
