Year,Month,Value
2026,1,8324
2026,2,8324
2026,3,8373
2026,4,8373
2026,5,8411
2026,6,8427
2026,7,8427
2026,8,8427
2026,9,8411
2026,10,8373
2026,11,8324
2026,12,8324
2027,1,8324
2027,2,8324
2027,3,8373
2027,4,8373
2027,5,8411
2027,6,8427
2027,7,8427
2027,8,8427
2027,9,8411
2027,10,8373
2027,11,8324
2027,12,8324
2028,1,8324
2028,2,8324
2028,3,8373
2028,4,8373
2028,5,8411
2028,6,8427
2028,7,8427
2028,8,8427
2028,9,8411
2028,10,8373
2028,11,8324
2028,12,8324
2029,1,8324
2029,2,8324
2029,3,8373
2029,4,8373
2029,5,8411
2029,6,8427
2029,7,8427
2029,8,8427
2029,9,8411
2029,10,8373
2029,11,8324
2029,12,8324
2030,1,8324
2030,2,8324
2030,3,8373
2030,4,8373
2030,5,8411
2030,6,8427
2030,7,8427
2030,8,8427
2030,9,8411
2030,10,8373
2030,11,8324
2030,12,8324
2031,1,8324
2031,2,8324
2031,3,8373
2031,4,8373
2031,5,8411
2031,6,8427
2031,7,8427
2031,8,8427
2031,9,8411
2031,10,8373
2031,11,8324
2031,12,8324
2032,1,8324
2032,2,8324
2032,3,8373
2032,4,8373
2032,5,8411
2032,6,8427
2032,7,8427
2032,8,8427
2032,9,8411
2032,10,8373
2032,11,8324
2032,12,8324
2033,1,8324
2033,2,8324
2033,3,8373
2033,4,8373
2033,5,8411
2033,6,8427
2033,7,8427
2033,8,8427
2033,9,8411
2033,10,8373
2033,11,8324
2033,12,8324
2034,1,8324
2034,2,8324
2034,3,8373
2034,4,8373
2034,5,8411
2034,6,8427
2034,7,8427
2034,8,8427
2034,9,8411
2034,10,8373
2034,11,8324
2034,12,8324
2035,1,8324
2035,2,8324
2035,3,8373
2035,4,8373
2035,5,8411
2035,6,8427
2035,7,8427
2035,8,8427
2035,9,8411
2035,10,8373
2035,11,8324
2035,12,8324
2036,1,8324
2036,2,8324
2036,3,8373
2036,4,8373
2036,5,8411
2036,6,8427
2036,7,8427
2036,8,8427
2036,9,8411
2036,10,8373
2036,11,8324
2036,12,8324
2037,1,8324
2037,2,8324
2037,3,8373
2037,4,8373
2037,5,8411
2037,6,8427
2037,7,8427
2037,8,8427
2037,9,8411
2037,10,8373
2037,11,8324
2037,12,8324
2038,1,8324
2038,2,8324
2038,3,8373
2038,4,8373
2038,5,8411
2038,6,8427
2038,7,8427
2038,8,8427
2038,9,8411
2038,10,8373
2038,11,8324
2038,12,8324
2039,1,8324
2039,2,8324
2039,3,8373
2039,4,8373
2039,5,8411
2039,6,8427
2039,7,8427
2039,8,8427
2039,9,8411
2039,10,8373
2039,11,8324
2039,12,8324
2040,1,8324
2040,2,8324
2040,3,8373
2040,4,8373
2040,5,8411
2040,6,8427
2040,7,8427
2040,8,8427
2040,9,8411
2040,10,8373
2040,11,8324
2040,12,8324
2041,1,8324
2041,2,8324
2041,3,8373
2041,4,8373
2041,5,8411
2041,6,8427
2041,7,8427
2041,8,8427
2041,9,8411
2041,10,8373
2041,11,8324
2041,12,8324
2042,1,8324
2042,2,8324
2042,3,8373
2042,4,8373
2042,5,8411
2042,6,8427
2042,7,8427
2042,8,8427
2042,9,8411
2042,10,8373
2042,11,8324
2042,12,8324
2043,1,8324
2043,2,8324
2043,3,8373
2043,4,8373
2043,5,8411
2043,6,8427
2043,7,8427
2043,8,8427
2043,9,8411
2043,10,8373
2043,11,8324
2043,12,8324
2044,1,8324
2044,2,8324
2044,3,8373
2044,4,8373
2044,5,8411
2044,6,8427
2044,7,8427
2044,8,8427
2044,9,8411
2044,10,8373
2044,11,8324
2044,12,8324
2045,1,8324
2045,2,8324
2045,3,8373
2045,4,8373
2045,5,8411
2045,6,8427
2045,7,8427
2045,8,8427
2045,9,8411
2045,10,8373
2045,11,8324
2045,12,8324
2046,1,8324
2046,2,8324
2046,3,8373
2046,4,8373
2046,5,8411
2046,6,8427
2046,7,8427
2046,8,8427
2046,9,8411
2046,10,8373
2046,11,8324
2046,12,8324
2047,1,8324
2047,2,8324
2047,3,8373
2047,4,8373
2047,5,8411
2047,6,8427
2047,7,8427
2047,8,8427
2047,9,8411
2047,10,8373
2047,11,8324
2047,12,8324
2048,1,8324
2048,2,8324
2048,3,8373
2048,4,8373
2048,5,8411
2048,6,8427
2048,7,8427
2048,8,8427
2048,9,8411
2048,10,8373
2048,11,8324
2048,12,8324
2049,1,8324
2049,2,8324
2049,3,8373
2049,4,8373
2049,5,8411
2049,6,8427
2049,7,8427
2049,8,8427
2049,9,8411
2049,10,8373
2049,11,8324
2049,12,8324
2050,1,8324
2050,2,8324
2050,3,8373
2050,4,8373
2050,5,8411
2050,6,8427
2050,7,8427
2050,8,8427
2050,9,8411
2050,10,8373
2050,11,8324
2050,12,8324
2051,1,8324
2051,2,8324
2051,3,8373
2051,4,8373
2051,5,8411
2051,6,8427
2051,7,8427
2051,8,8427
2051,9,8411
2051,10,8373
2051,11,8324
2051,12,8324
2052,1,8324
2052,2,8324
2052,3,8373
2052,4,8373
2052,5,8411
2052,6,8427
2052,7,8427
2052,8,8427
2052,9,8411
2052,10,8373
2052,11,8324
2052,12,8324
2053,1,8324
2053,2,8324
2053,3,8373
2053,4,8373
2053,5,8411
2053,6,8427
2053,7,8427
2053,8,8427
2053,9,8411
2053,10,8373
2053,11,8324
2053,12,8324
