Year,Month,Arlington B~Arlington 2x1 Enforce Min Level,Arlington DB~Arlington DB Enforce Min Level,Griffith B~Griffith 2x1 Enforce Min Level,Griffith DB~Griffith DB Enforce Min Level,South Point B~Southpoint 2x1 Enforce Min Level,South Point DB~Southpoint DB Enforce Min Level,West Phoenix CC5 B~West Phoenix 2x1 Enforce Min Level,West Phoenix CC5 DB~West Phoenix DB Enforce Min Level,Redhawk 1 B~Redhawk 2x1 Enforce Min Level,Redhawk 1 DB~Redhawk DB Enforce Min Level,Redhawk 2 B~Redhawk2 2x1 Enforce Min Level,Redhawk 2 DB~Redhawk2 DB Enforce Min Level
2025,1,0,0,221,242,0,0,246,246,273.5,273.5,273.5,273.5
2025,2,0,0,221,242,0,0,246,246,273,273,273,273
2025,3,0,0,221,242,0,0,246,246,263.5,263.5,263.5,263.5
2025,4,0,0,221,242,0,0,246,246,263.5,263.5,263.5,263.5
2025,5,0,0,221,242,273,248.6,240,240,263.5,263.5,263.5,263.5
2025,6,257.5,228.4,221,242,273,248.6,240,240,258.5,258.5,258.5,258.5
2025,7,257.5,228.4,221,242,273,248.6,240,240,258.5,258.5,258.5,258.5
2025,8,257.5,228.4,221,242,273,248.6,240,240,258.5,258.5,258.5,258.5
2025,9,257.5,228.4,221,242,273,248.6,240,240,258.5,258.5,258.5,258.5
2025,10,0,0,221,242,273,248.6,240,240,263.5,263.5,263.5,263.5
2025,11,0,0,221,242,0,0,246,246,271.5,271.5,271.5,271.5
2025,12,0,0,221,242,0,0,246,246,273.5,273.5,273.5,273.5
2026,1,0,0,221,242,0,0,246,246,273.5,273.5,273.5,273.5
2026,2,0,0,221,242,0,0,246,246,273,273,273,273
2026,3,0,0,221,242,0,0,246,246,263.5,263.5,263.5,263.5
2026,4,0,0,221,242,0,0,246,246,263.5,263.5,263.5,263.5
2026,5,257.5,228.4,221,242,273,248.6,240,240,263.5,263.5,263.5,263.5
2026,6,257.5,228.4,221,242,273,248.6,240,240,258.5,258.5,258.5,258.5
2026,7,257.5,228.4,221,242,273,248.6,240,240,258.5,258.5,258.5,258.5
2026,8,257.5,228.4,221,242,273,248.6,240,240,258.5,258.5,258.5,258.5
2026,9,257.5,228.4,221,242,273,248.6,240,240,258.5,258.5,258.5,258.5
2026,10,257.5,228.4,221,242,273,248.6,240,240,263.5,263.5,263.5,263.5
2026,11,0,0,221,242,0,0,246,246,271.5,271.5,271.5,271.5
2026,12,0,0,221,242,0,0,246,246,273.5,273.5,273.5,273.5
2027,1,0,0,232.9,255,0,0,246,246,273.5,273.5,273.5,273.5
2027,2,0,0,232.9,255,0,0,246,246,273,273,273,273
2027,3,0,0,232.9,255,0,0,246,246,263.5,263.5,263.5,263.5
2027,4,0,0,232.9,255,0,0,246,246,263.5,263.5,263.5,263.5
2027,5,257.5,228.4,232.9,255,273,248.6,240,240,263.5,263.5,263.5,263.5
2027,6,257.5,228.4,232.9,255,273,248.6,240,240,258.5,258.5,258.5,258.5
2027,7,257.5,228.4,232.9,255,273,248.6,240,240,258.5,258.5,258.5,258.5
2027,8,257.5,228.4,232.9,255,273,248.6,240,240,258.5,258.5,258.5,258.5
2027,9,257.5,228.4,232.9,255,273,248.6,240,240,258.5,258.5,258.5,258.5
2027,10,257.5,228.4,232.9,255,273,248.6,240,240,263.5,263.5,263.5,263.5
2027,11,0,0,232.9,255,0,0,246,246,271.5,271.5,271.5,271.5
2027,12,0,0,232.9,255,0,0,246,246,273.5,273.5,273.5,273.5
2028,1,0,0,232.9,255,0,0,246,246,273.5,273.5,273.5,273.5
2028,2,0,0,232.9,255,0,0,246,246,273,273,273,273
2028,3,0,0,232.9,255,0,0,246,246,263.5,263.5,263.5,263.5
2028,4,0,0,232.9,255,0,0,246,246,263.5,263.5,263.5,263.5
2028,5,257.5,228.4,232.9,255,273,248.6,240,240,263.5,263.5,263.5,263.5
