Year,Month,Arlington B~Arlington 2x1 Enforce Min Level LT Phase,Arlington DB~Arlington DB Enforce Min Level LT Phase,Griffith B~Griffith 2x1 Enforce Min Level LT Phase,Griffith DB~Griffith DB Enforce Min Level LT Phase,South Point B~Southpoint 2x1 Enforce Min Level LT Phase,South Point DB~Southpoint DB Enforce Min Level LT Phase,West Phoenix CC5 B~West Phoenix 2x1 Enforce Min Level LT Phase,West Phoenix CC5 DB~West Phoenix DB Enforce Min Level LT Phase,Redhawk 1 B~Redhawk 2x1 Enforce Min Level LT Phase,Redhawk 1 DB~Redhawk DB Enforce Min Level LT Phase,Redhawk 2 B~Redhawk2 2x1 Enforce Min Level LT Phase,Redhawk 2 DB~Redhawk2 DB Enforce Min Level LT Phase
2025,1,0,0,220,241,0,0,244.7,245,272.3,256,260.3,189.5
2025,2,0,0,220,241,0,0,245,245,259.2,272,272,272
2025,3,0,0,220,241,0,0,245,245,262.5,255.4,97.6,0
2025,4,0,0,217.3,208.2,0,0,245,245,0.1,0,255.2,226
2025,5,0,0,220,241,266.1,224.6,193.7,33.8,238.3,167.9,262.5,262.5
2025,6,252.1,212.3,220,241,266.1,224.6,238.5,239,246.8,202.9,257.5,257.1
2025,7,252.1,212.3,219.6,240.2,266.1,224.6,238.6,239,234.3,248.8,257.5,257.5
2025,8,252.1,212.3,216,226,266.1,224.6,238.5,239,257.5,257.5,257.5,257.5
2025,9,252.1,212.3,220,241,266.1,224.6,238.8,239,257.5,257.5,257.2,257.5
2025,10,0,0,220,241,266.1,224.6,239,239,262.5,260.2,262.4,259.1
2025,11,0,0,220,241,0,0,245,245,270.5,267,270.5,270.2
2025,12,0,0,219.6,239.7,0,0,245,245,16.5,23.1,252.8,209.4
2026,1,0,0,211,210.1,0,0,236.1,227.2,267.4,249.1,265.7,245.5
2026,2,0,0,211,210.1,0,0,236.1,227.2,266.9,248.7,265.3,245
2026,3,0,0,211,210.1,0,0,236.1,227.2,257.6,240,256,236.5
2026,4,0,0,211,210.1,0,0,236.1,227.2,257.6,240,256,236.5
2026,5,252.1,212.3,216.4,226.8,266.1,224.6,234,178.4,260.2,250.3,260.4,251.9
2026,6,252.1,212.3,216.4,226.8,266.1,224.6,234,178.4,255.3,245.6,255.4,247.1
2026,7,252.1,212.3,216.4,226.8,266.1,224.6,234,178.4,255.3,245.6,255.4,247.1
2026,8,252.1,212.3,216.4,226.8,266.1,224.6,234,178.4,255.3,245.6,255.4,247.1
2026,9,252.1,212.3,216.4,226.8,266.1,224.6,234,178.4,255.3,245.6,255.4,247.1
2026,10,252.1,212.3,216.4,226.8,266.1,224.6,234,178.4,260.2,250.3,260.4,251.9
2026,11,0,0,211,210.1,0,0,236.1,227.2,265.4,247.3,263.8,243.7
2026,12,0,0,211,210.1,0,0,236.1,227.2,267.4,249.1,265.7,245.5
2027,1,0,0,222.4,221.4,0,0,236.1,227.2,267.4,249.1,265.7,245.5
2027,2,0,0,222.4,221.4,0,0,236.1,227.2,266.9,248.7,265.3,245
2027,3,0,0,222.4,221.4,0,0,236.1,227.2,257.6,240,256,236.5
