Year,Month,Short-Term Purch
2025,1,0
2025,2,0
2025,3,0
2025,4,0
2025,5,0
2025,6,24.726
2025,7,24.726
2025,8,24.726
2025,9,24.726
2025,10,0
2025,11,0
2025,12,0
2026,1,0
2026,2,0
2026,3,0
2026,4,0
2026,5,0
2026,6,25.3448
2026,7,25.3448
2026,8,25.3448
2026,9,25.3448
2026,10,0
2026,11,0
2026,12,0
2027,1,0
2027,2,0
2027,3,0
2027,4,0
2027,5,0
2027,6,25.9792
2027,7,25.9792
2027,8,25.9792
2027,9,25.9792
2027,10,0
2027,11,0
2027,12,0
2028,1,0
2028,2,0
2028,3,0
2028,4,0
2028,5,0
2028,6,26.6292
2028,7,26.6292
2028,8,26.6292
2028,9,26.6292
2028,10,0
2028,11,0
2028,12,0
2029,1,0
2029,2,0
2029,3,0
2029,4,0
2029,5,0
2029,6,27.2948
2029,7,27.2948
2029,8,27.2948
2029,9,27.2948
2029,10,0
2029,11,0
2029,12,0
2030,1,0
2030,2,0
2030,3,0
2030,4,0
2030,5,0
2030,6,27.976
2030,7,27.976
2030,8,27.976
2030,9,27.976
2030,10,0
2030,11,0
2030,12,0
2031,1,0
2031,2,0
2031,3,0
2031,4,0
2031,5,0
2031,6,28.678
2031,7,28.678
2031,8,28.678
2031,9,28.678
2031,10,0
2031,11,0
2031,12,0
2032,1,0
2032,2,0
2032,3,0
2032,4,0
2032,5,0
2032,6,29.3904
2032,7,29.3904
2032,8,29.3904
2032,9,29.3904
2032,10,0
2032,11,0
2032,12,0
2033,1,0
2033,2,0
2033,3,0
2033,4,0
2033,5,0
2033,6,30.1288
2033,7,30.1288
2033,8,30.1288
2033,9,30.1288
2033,10,0
2033,11,0
2033,12,0
2034,1,0
2034,2,0
2034,3,0
2034,4,0
2034,5,0
2034,6,30.8828
2034,7,30.8828
2034,8,30.8828
2034,9,30.8828
2034,10,0
2034,11,0
2034,12,0
2035,1,0
2035,2,0
2035,3,0
2035,4,0
2035,5,0
2035,6,31.6524
2035,7,31.6524
2035,8,31.6524
2035,9,31.6524
2035,10,0
2035,11,0
2035,12,0
2036,1,0
2036,2,0
2036,3,0
2036,4,0
2036,5,0
2036,6,32.4428
2036,7,32.4428
2036,8,32.4428
2036,9,32.4428
2036,10,0
2036,11,0
2036,12,0
2037,1,0
2037,2,0
2037,3,0
2037,4,0
2037,5,0
2037,6,33.254
2037,7,33.254
2037,8,33.254
2037,9,33.254
2037,10,0
2037,11,0
2037,12,0
2038,1,0
2038,2,0
2038,3,0
2038,4,0
2038,5,0
2038,6,34.086
2038,7,34.086
2038,8,34.086
2038,9,34.086
2038,10,0
2038,11,0
2038,12,0
2039,1,0
2039,2,0
2039,3,0
2039,4,0
2039,5,0
2039,6,34.9388
2039,7,34.9388
2039,8,34.9388
2039,9,34.9388
2039,10,0
2039,11,0
2039,12,0
2040,1,0
2040,2,0
2040,3,0
2040,4,0
2040,5,0
2040,6,35.8124
2040,7,35.8124
2040,8,35.8124
2040,9,35.8124
2040,10,0
2040,11,0
2040,12,0
2041,1,0
2041,2,0
2041,3,0
2041,4,0
2041,5,0
2041,6,36.7068
2041,7,36.7068
2041,8,36.7068
2041,9,36.7068
2041,10,0
2041,11,0
2041,12,0
2042,1,0
2042,2,0
2042,3,0
2042,4,0
2042,5,0
2042,6,37.6272
2042,7,37.6272
2042,8,37.6272
2042,9,37.6272
2042,10,0
2042,11,0
2042,12,0
2043,1,0
2043,2,0
2043,3,0
2043,4,0
2043,5,0
2043,6,38.5632
2043,7,38.5632
2043,8,38.5632
2043,9,38.5632
2043,10,0
2043,11,0
2043,12,0
2044,1,0
2044,2,0
2044,3,0
2044,4,0
2044,5,0
2044,6,39.5304
2044,7,39.5304
2044,8,39.5304
2044,9,39.5304
2044,10,0
2044,11,0
2044,12,0
2045,1,0
2045,2,0
2045,3,0
2045,4,0
2045,5,0
2045,6,40.5184
2045,7,40.5184
2045,8,40.5184
2045,9,40.5184
2045,10,0
2045,11,0
2045,12,0
2046,1,0
2046,2,0
2046,3,0
2046,4,0
2046,5,0
2046,6,41.5324
2046,7,41.5324
2046,8,41.5324
2046,9,41.5324
2046,10,0
2046,11,0
2046,12,0
2047,1,0
2047,2,0
2047,3,0
2047,4,0
2047,5,0
2047,6,42.5672
2047,7,42.5672
2047,8,42.5672
2047,9,42.5672
2047,10,0
2047,11,0
2047,12,0
2048,1,0
2048,2,0
2048,3,0
2048,4,0
2048,5,0
2048,6,43.6332
2048,7,43.6332
2048,8,43.6332
2048,9,43.6332
2048,10,0
2048,11,0
2048,12,0
2049,1,0
2049,2,0
2049,3,0
2049,4,0
2049,5,0
2049,6,44.7252
2049,7,44.7252
2049,8,44.7252
2049,9,44.7252
2049,10,0
2049,11,0
2049,12,0
2050,1,0
2050,2,0
2050,3,0
2050,4,0
2050,5,0
2050,6,45.8432
2050,7,45.8432
2050,8,45.8432
2050,9,45.8432
2050,10,0
2050,11,0
2050,12,0
2051,1,0
2051,2,0
2051,3,0
2051,4,0
2051,5,0
2051,6,45.8432
2051,7,45.8432
2051,8,45.8432
2051,9,45.8432
2051,10,0
2051,11,0
2051,12,0
2052,1,0
2052,2,0
2052,3,0
2052,4,0
2052,5,0
2052,6,45.8432
2052,7,45.8432
2052,8,45.8432
2052,9,45.8432
2052,10,0
2052,11,0
2052,12,0
