Year,Agave PVS Solar,Aragonne,Arlington A,Arlington B,Arlington DB,ARV_CCH_1,ARV_CCH_2,Badger 1,Cholla 1,Cholla 3,DESERT SUN CT 1,DESERT SUN CT 2,Douglas,Four Corners 4,Four Corners 5,Future LM6000 CT 1,Future LM6000 CT 10,Future LM6000 CT 11,Future LM6000 CT 12,Future LM6000 CT 2,Future LM6000 CT 3,Future LM6000 CT 4,Future LM6000 CT 5,Future LM6000 CT 6,Future LM6000 CT 7,Future LM6000 CT 8,Future LM6000 CT 9,Gillespie 1 Solar,Griffith A,Griffith B,Griffith DB,High Lonesome,Ironwood PVS-Solar,Microgrid - FUTURE,Microgrid XHLF,Microgrid Forrest Lakes,Microgrid Preacher,Microgrid Punkin Center,Microgrid Aligned,Microgrid City of Phx,Microgrid MCASY,Microgrid TSMC,Novo BioPower,Ocotillo CT 1,Ocotillo CT 2,Ocotillo CT 3,Ocotillo CT 4,Ocotillo CT 5,Ocotillo CT 6,Ocotillo CT 7,Perrin Ranch,Ajo Solar,Bagdad Solar,Prescott Solar,PVS TBD Planned 2029 Solar,Redhawk 1 A,Redhawk 1 B,Redhawk 1 DB,Redhawk 2 A,Redhawk 2 B,Redhawk 2 DB,Redhawk  CT1,Redhawk  CT2,Redhawk  CT3,Redhawk  CT4,Redhawk  CT5,Redhawk  CT6,Redhawk  CT7,Redhawk  CT8,Redhawk Generating Station (ProEnergy Services) BTA,Saddle Mountain Solar,Saguaro CT 1,Saguaro CT 2,Saguaro CT 3,Short-Term Purch,Solana,South Point A,South Point B,South Point DB,Sundance CT 1,Sundance CT 10,Sundance CT 2,Sundance CT 3,Sundance CT 4,Sundance CT 5,Sundance CT 6,Sundance CT 7,Sundance CT 8,Sundance CT 9,Sundance CT11,Sundance CT12,West Phoenix CC1,West Phoenix CC2,West Phoenix CC3,West Phoenix CC4,West Phoenix CC5 A,West Phoenix CC5 B,West Phoenix CC5 DB,West Phoenix CT 1,West Phoenix CT 2,WM Landfill,Yucca CT 1,Yucca CT 2,Yucca CT 3,Yucca CT 4,Yucca CT 5,Yucca CT 6
2026,-35.15,38.86,3.59,3.59,3.59,0,0,86.07,9.6,9.6,0,0,1.49,4.99,4.99,3.18,3.18,3.18,3.18,3.18,3.18,3.18,3.18,3.18,3.18,3.18,3.18,95.41,3.39,3.39,3.39,45.61,-35.15,10.77,10.77,10.77,10.77,10.77,10.77,10.77,10.77,10.77,104.2,1.35,1.35,1.76,1.76,1.76,1.76,1.76,84.25,194.24,218.52,157.69,0,1.32,1.32,1.32,1.32,1.32,1.32,4.13,4.13,4.13,4.13,4.13,4.13,4.13,4.13,4.13,115.96,1.35,1.35,1.52,2.51,156.34,2.04,2.04,2.04,3.03,3.03,3.03,3.03,3.03,3.03,3.03,3.03,3.03,3.03,3.03,3.03,0.75,0.75,0.75,0.57,0.57,0.57,0.57,1.27,1.27,102.19,0.83,0.83,0.83,0.83,2.14,2.14
2027,-35.15,30.11,3.68,3.68,3.68,0,0,86.07,9.84,9.84,0,0,1.53,5.11,5.11,3.26,3.26,3.26,3.26,3.26,3.26,3.26,3.26,3.26,3.26,3.26,3.26,95.41,3.48,3.48,3.48,45.61,-35.15,11.04,11.04,11.04,11.04,11.04,11.04,11.04,11.04,11.04,104.2,1.38,1.38,1.8,1.8,1.8,1.8,1.8,84.25,201.04,226.17,162.42,0,1.35,1.35,1.35,1.35,1.35,1.35,4.13,4.13,4.13,4.13,4.13,4.13,4.13,4.13,4.13,115.96,1.38,1.38,1.56,2.57,159.22,2.08,2.08,2.08,3.11,3.11,3.11,3.11,3.11,3.11,3.11,3.11,3.11,3.11,3.11,3.11,0.77,0.77,0.77,0.58,0.58,0.58,0.58,1.3,1.3,104.24,0.85,0.85,0.85,0.85,2.19,2.19
2028,-35.15,30.71,3.77,3.77,3.77,0,0,86.07,10.09,10.09,0,0,1.57,5.24,5.24,3.34,3.34,3.34,3.34,3.34,3.34,3.34,3.34,3.34,3.34,3.34,3.34,95.41,3.58,3.58,3.58,45.61,-35.15,11.31,11.31,11.31,11.31,11.31,11.31,11.31,11.31,11.31,104.2,1.42,1.42,1.85,1.85,1.85,1.85,1.85,84.25,208.08,234.09,167.29,0,1.39,1.39,1.39,1.39,1.39,1.39,4.34,4.34,4.34,4.34,4.34,4.34,4.34,4.34,4.34,115.96,1.42,1.42,1.6,2.64,162.15,2.12,2.12,2.12,3.18,3.18,3.18,3.18,3.18,3.18,3.18,3.18,3.18,3.18,3.18,3.18,0.79,0.79,0.79,0.6,0.6,0.6,0.6,1.33,1.33,106.32,0.87,0.87,0.87,0.87,2.25,2.25
2029,-35.15,31.32,3.87,3.87,3.87,0,0,86.07,10.34,10.34,0,0,1.6,5.37,5.37,3.43,3.43,3.43,3.43,3.43,3.43,3.43,3.43,3.43,3.43,3.43,3.43,95.41,3.69,3.69,3.69,44.06,-35.15,11.6,11.6,11.6,11.6,11.6,11.6,11.6,11.6,11.6,104.2,1.45,1.45,1.9,1.9,1.9,1.9,1.9,84.25,215.36,242.28,172.31,-35.15,1.42,1.42,1.42,1.42,1.42,1.42,4.45,4.45,4.45,4.45,4.45,4.45,4.45,4.45,4.45,115.96,1.45,1.45,1.64,2.7,165.13,2.16,2.16,2.16,3.26,3.26,3.26,3.26,3.26,3.26,3.26,3.26,3.26,3.26,3.26,3.26,0.81,0.81,0.81,0.61,0.61,0.61,0.61,1.37,1.37,108.45,0.89,0.89,0.89,0.89,2.3,2.3
2030,-35.15,31.95,3.96,3.96,3.96,0,0,86.07,10.6,10.6,0,0,1.64,5.51,5.51,3.51,3.51,3.51,3.51,3.51,3.51,3.51,3.51,3.51,3.51,3.51,3.51,95.41,3.8,3.8,3.8,44.06,-35.15,11.89,11.89,11.89,11.89,11.89,11.89,11.89,11.89,11.89,104.2,1.49,1.49,1.94,1.94,1.94,1.94,1.94,84.25,222.9,250.76,177.48,-35.15,1.46,1.46,1.46,1.46,1.46,1.46,4.79,4.79,4.79,4.79,4.79,4.79,4.79,4.79,4.79,115.96,1.49,1.49,1.68,2.77,168.17,2.21,2.21,2.21,3.34,3.34,3.34,3.34,3.34,3.34,3.34,3.34,3.34,3.34,3.34,3.34,0.83,0.83,0.83,0.63,0.63,0.63,0.63,1.4,1.4,110.62,0.92,0.92,0.92,0.92,2.36,2.36
2031,-35.15,32.59,4.06,4.06,4.06,5.92,5.92,86.07,10.86,10.86,19.62,19.62,1.69,5.65,5.65,3.6,3.6,3.6,3.6,3.6,3.6,3.6,3.6,3.6,3.6,3.6,3.6,95.41,3.92,3.92,3.92,44.06,-35.15,12.18,12.18,12.18,12.18,12.18,12.18,12.18,12.18,12.18,104.2,1.53,1.53,1.99,1.99,1.99,1.99,1.99,84.25,230.7,259.54,182.8,-35.15,1.49,1.49,1.49,1.49,1.49,1.49,5.03,5.03,5.03,5.03,5.03,5.03,5.03,5.03,5.03,115.96,1.53,1.53,1.72,2.84,171.27,2.25,2.25,2.25,3.43,3.43,3.43,3.43,3.43,3.43,3.43,3.43,3.43,3.43,3.43,3.43,0.85,0.85,0.85,0.64,0.64,0.64,0.64,1.44,1.44,112.83,0.94,0.94,0.94,0.94,2.42,2.42
2032,-35.15,33.24,4.16,4.16,4.16,5.92,5.92,86.07,11.13,11.13,20.11,20.11,1.73,5.79,5.79,3.69,3.69,3.69,3.69,3.69,3.69,3.69,3.69,3.69,3.69,3.69,3.69,95.41,4.03,4.03,4.03,44.06,-35.15,12.49,12.49,12.49,12.49,12.49,12.49,12.49,12.49,12.49,104.2,1.57,1.57,2.04,2.04,2.04,2.04,2.04,84.25,238.77,268.62,188.29,-35.15,1.53,1.53,1.53,1.53,1.53,1.53,5.29,5.29,5.29,5.29,5.29,5.29,5.29,5.29,5.29,115.96,1.57,1.57,1.76,2.91,174.42,2.3,2.3,2.3,3.51,3.51,3.51,3.51,3.51,3.51,3.51,3.51,3.51,3.51,3.51,3.51,0.87,0.87,0.87,0.66,0.66,0.66,0.66,1.47,1.47,115.09,0.96,0.96,0.96,0.96,2.48,2.48
2033,0,33.9,4.27,4.27,4.27,3.62,3.62,86.07,11.41,11.41,1.37,1.37,1.77,5.93,5.93,3.78,3.78,3.78,3.78,3.78,3.78,3.78,3.78,3.78,3.78,3.78,3.78,95.41,4.16,4.16,4.16,44.06,-35.15,12.8,12.8,12.8,12.8,12.8,12.8,12.8,12.8,12.8,104.2,1.6,1.6,2.09,2.09,2.09,2.09,2.09,84.25,247.13,278.02,193.94,-35.15,1.57,1.57,1.57,1.57,1.57,1.57,5.55,5.55,5.55,5.55,5.55,5.55,5.55,5.55,5.55,115.96,1.6,1.6,1.81,2.98,177.63,2.34,2.34,2.34,3.6,3.6,3.6,3.6,3.6,3.6,3.6,3.6,3.6,3.6,3.6,3.6,0.89,0.89,0.89,0.68,0.68,0.68,0.68,1.51,1.51,0,0.99,0.99,0.99,0.99,2.54,2.54
2034,0,34.58,4.37,4.37,4.37,3.68,3.68,86.07,11.7,11.7,1.4,1.4,1.82,6.08,6.08,3.88,3.88,3.88,3.88,3.88,3.88,3.88,3.88,3.88,3.88,3.88,3.88,95.41,4.28,4.28,4.28,44.06,-35.15,13.12,13.12,13.12,13.12,13.12,13.12,13.12,13.12,13.12,0,1.64,1.64,2.14,2.14,2.14,2.14,2.14,84.25,255.78,287.75,199.75,-35.15,1.61,1.61,1.61,1.61,1.61,1.61,5.84,5.84,5.84,5.84,5.84,5.84,5.84,5.84,5.84,115.96,1.64,1.64,1.85,3.06,180.89,2.39,2.39,2.39,3.69,3.69,3.69,3.69,3.69,3.69,3.69,3.69,3.69,3.69,3.69,3.69,0.91,0.91,0.91,0.69,0.69,0.69,0.69,1.55,1.55,0,1.01,1.01,1.01,1.01,2.61,2.61
2035,0,35.27,4.48,4.48,4.48,3.74,3.74,86.07,11.99,11.99,1.44,1.44,1.86,6.23,6.23,3.98,3.98,3.98,3.98,3.98,3.98,3.98,3.98,3.98,3.98,3.98,3.98,95.41,4.41,4.41,4.41,44.06,-35.15,13.45,13.45,13.45,13.45,13.45,13.45,13.45,13.45,13.45,0,1.69,1.69,2.2,2.2,2.2,2.2,2.2,84.25,264.73,297.83,205.75,-35.15,1.65,1.65,1.65,1.65,1.65,1.65,6.44,6.44,6.44,6.44,6.44,6.44,6.44,6.44,6.44,115.96,1.69,1.69,1.9,3.13,184.22,2.44,2.44,2.44,3.78,3.78,3.78,3.78,3.78,3.78,3.78,3.78,3.78,3.78,3.78,3.78,0.94,0.94,0.94,0.71,0.71,0.71,0.71,1.59,1.59,0,1.04,1.04,1.04,1.04,2.67,2.67
