Year,AdvNuc Palo Verde,AdvNuc Pinal,AZ Wind Tranche 1,Cholla 1 Repower Gas,Cholla 3 Repower Gas,Coal EXT 1,Coal EXT 2,CSP Metro,CSP Northern,Desert Sun CCH 1,Desert Sun CCH 2,Eagle PumpHydro,EE_Baseline,EE_Scenario_4,EE_Scenario_5,EE_Scenario_7,EE_Scenario_8,Generic FC H Frame,Generic FC LgFrameCT,Generic H Frame Tolls,Generic PumpHydro Phase 1,Generic PumpHydro Phase 2,Generic Solar - DPC,New Bio Metro,New Bio Northern,New CC Palo Verde,New CC Pinal,New CT Palo Verde,New CT Pinal,New Geothermal,NM Wind FC,NM Wind Hidalgo,NM Wind Tranche 1,NM Wind Tranche 2,NM Wind Tranche 3,NM Wind Tranche 4,Saguaro DS CT1,Saguaro DS CT2,SMR Palo Verde,SMR Pinal,Solar Tranche 1 Metro,Solar Tranche 1 Northern,Solar Tranche 2 Metro,Solar Tranche 2 Northern,Solar Tranche 3 Metro,Solar Tranche 3 Northern,Solar Tranche 4 Metro,Solar Tranche 4 Northern,Solar Tranche 5 Metro,Solar Tranche 5 Northern,Solar Tranche 6 Metro,Solar Tranche 6 Northern,BESS_6H_T1 Metro,BESS_6H_T1 Northern,BESS_6H_T2 Metro,BESS_6H_T2 Northern,BESS_6H_T3 Metro,BESS_6H_T3 Northern,BESS_8H_T1 Metro,BESS_8H_T1 Northern,BESS_8H_T2 Metro,BESS_8H_T2 Northern,BESS_8H_T3 Metro,BESS_8H_T3 Northern,Generic BESS DPC,Metro to APS_1stUpgrade,Metro to APS_2ndUpgrade,New Mexico to APS,Northern to APS_Upgrade,Pinal to APS_Upgrade
2026,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2027,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2028,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2029,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2030,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2031,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2032,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2033,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,4,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2034,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,4,0,0,0,0,0,0,0,1,1,0,0,0.11,0.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2035,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,4,0,0,0,0,0,0,0,1,1,0,0,0.11,0.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2036,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,5,0,0,0,0,0,0,0,1,1,0,0,0.11,0.89,0,0,0,0,0,0,0,0,0,0,0,0.19,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2037,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,5,0,1,0,0,0,0,0,1,1,0,0,0.11,0.89,1,0,1,0,0,0,0,0,0,0,0,0.19,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2038,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,6,0,1,0,0,0,0,0,1,1,0,0,0.11,0.89,1,0,1,0,0,0,0,0,0,0,0,0.19,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2039,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,1,0,2,0,0,0,1,0,0,0,0,0,6,0,1,0,0,0,0,0,1,1,0,0,0.11,0.89,1,0,1,0,0,0,0,0,0,0,0,0.19,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2040,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,1,0,2,0,0,0,1,0,0,0,0,0,6,0,1,0,0,0,0,0,1,1,0,0,0.11,0.89,1,0,1,0,0,1,0.01,0,0,0,0,0.19,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2041,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,1,0,2,0,0,0,1,0,0,0,0,0,6,0,1,0,0,0,0,0,1,1,0,0,0.11,0.89,1,0,1,0,0,1,0.35,0.33,0,0,0,0.19,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
2042,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,1,0,2,0,0,0,1,0,0,0,0,0,6,0,1,0,0,0,0,0,1,1,0,0,0.11,0.89,1,0,1,0,0,1,0.35,0.65,0.31,0.28,0,0.19,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
2043,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,1,0,2,0,0,0,1,0,0,0,0,0,6,0,1,0,0,0,0,0,1,1,0,0,0.11,0.89,1,0,1,0,0,1,0.35,0.65,0.32,0.34,0,0.19,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
