Year,New Mexico to APS,New Mexico to APS_Upgrade,Metro to APS_1stUpgrade,Metro to APS_2ndUpgrade,Pinal to APS_Upgrade,Northern to APS_Upgrade,Generic Metro to APS_Upgrade,Generic Northern to APS_Upgrade,Generic Pinal to APS_Upgrade
2026,0,0,0,0,0,0,0,0,0
2027,0,0,0,0,0,0,0,0,0
2028,0,0,0,0,0,0,0,0,0
2029,0,0,0,0,0,0,0,0,0
2030,2551344,2551344,28685.56434,114742.2573,143427.8217,28685.56434,0,0,0
2031,2615127.6,2615127.6,29402.70344,117610.8138,147013.5172,29402.70344,0,0,0
2032,2682869.423,2682869.423,30137.77103,120551.0841,150688.8552,30137.77103,0,0,0
2033,2749941.158,2749941.158,30891.21531,123564.8612,154456.0765,30891.21531,0,0,0
2034,2818689.687,2818689.687,31663.49569,126653.9828,158317.4784,31663.49569,0,0,0
2035,2889156.929,2889156.929,32455.08308,129820.3323,162275.4154,32455.08308,0,0,0
2036,2961385.853,2961385.853,33266.46016,133065.8406,166332.3008,33266.46016,0,0,0
2037,3035420.499,3035420.499,34098.12166,136392.4867,170490.6083,34098.12166,0,0,0
2038,3111306.011,3111306.011,34950.5747,139802.2988,174752.8735,34950.5747,0,0,0
2039,3189088.662,3189088.662,35824.33907,143297.3563,179121.6954,35824.33907,0,0,0
2040,3268815.878,3268815.878,36719.94755,146879.7902,183599.7377,36719.94755,445090.2733,73439.8951,235384.2791
2041,3350536.275,3350536.275,37637.94624,150551.7849,188189.7312,37637.94624,456217.53,75275.89248,241268.8862
2042,3434299.682,3434299.682,38578.89489,154315.5796,192894.4745,38578.89489,467622.9685,77157.78978,247300.6083
2043,3520157.174,3520157.174,39543.36727,158173.4691,197716.8363,39543.36727,479313.5427,79086.73454,253483.1235
2044,3608161.103,3608161.103,40531.95145,162127.8058,202659.7572,40531.95145,491296.3812,81063.9029,259820.2015
2045,3698365.131,3698365.131,41545.25023,166181.0009,207726.2512,41545.25023,503578.7906,83090.50046,266315.7067
2046,3790824.259,3790824.259,42583.88149,170335.526,212919.4074,42583.88149,516168.2606,85167.76298,272973.5992
2047,3885594.866,3885594.866,43648.47853,174593.9141,218242.3926,43648.47853,529072.467,87296.95706,279797.9392
2048,3982734.737,3982734.737,44739.69049,178958.762,223698.4524,44739.69049,542299.2788,89479.38098,286792.8877
2049,4082303.106,4082303.106,45858.18275,183432.731,229290.9138,45858.18275,555856.7606,91716.3655,293962.71
2050,4184360.683,4184360.683,47004.63732,188018.5493,235023.1866,47004.63732,569753.1797,94009.27464,301311.7777
2051,,,,,,,,,
2052,,,,,,,,,
2053,,,,,,,,,
