Year,Distributed BESS,EE_Baseline,EE_Scenario_4,EE_Scenario_5,EE_Scenario_7,EE_Scenario_8,Embedded_DG,Incremental_DG
2026,21.50621821,125.8814433,0,0,0,0,1365.433938,668.8654156
2027,44.89298107,247.1198443,0,0,0,0,1365.433938,755.5835203
2028,70.16028857,364.4664359,0,0,0,0,1365.433938,844.6915141
2029,97.30814072,470.9474329,0,0,0,0,1365.433938,930.3621665
2030,126.3365375,553.7211626,0,0,0,0,1365.433938,1018.564806
2031,157.245479,629.4867762,0,0,0,0,1365.433938,1107.000083
2032,188.2934072,696.9700727,0,0,0,0,1365.433938,1197.706436
2033,219.4803222,761.3703188,0,0,0,0,1365.433938,1285.379562
2034,250.8062241,817.0434988,0,0,0,0,1365.433938,1376.025775
2035,282.2711127,485.2241627,0,0,0,0,1365.433938,1467.950318
2036,313.8749881,490.8654517,0,0,0,0,1365.433938,1563.166589
2037,345.6178503,497.7188135,0,0,0,0,1365.433938,1655.62785
2038,377.4996994,503.6123438,0,0,0,0,1365.433938,1751.46206
2039,409.5205352,510.0948805,0,0,0,0,1365.433938,1848.674181
2040,441.6803578,516.0732244,0,0,0,0,1365.433938,1948.81493
2041,473.9791672,524.0051762,0,0,0,0,1365.433938,2046.713556
2042,506.4169634,530.2966906,0,0,0,0,1365.433938,2147.5462
2043,538.9937464,536.8200968,0,0,0,0,1365.433938,2249.55083
2044,571.7095162,542.4401707,0,0,0,0,1365.433938,2355.05355
2045,604.5642728,550.6364892,0,0,0,0,1365.433938,2457.865573
2046,604.5642728,558.4088037,0,0,0,0,1365.433938,2457.865573
2047,604.5642728,566.1810703,0,0,0,0,1365.433938,2457.865573
2048,604.5642728,573.9515288,0,0,0,0,1365.433938,2457.865573
2049,604.5642728,581.7250461,0,0,0,0,1365.433938,2457.865573
2050,604.5642728,589.49721,0,0,0,0,1365.433938,2457.865573
