 Year , Month , Day ,Period,SPIN
2025,1,1,1,50
2025,1,1,2,50
2025,1,1,3,50
2025,1,1,4,50
2025,1,1,5,50
2025,1,1,6,50
2025,1,1,7,50
2025,1,1,8,50
2025,1,1,9,50
2025,1,1,10,50
2025,1,1,11,50
2025,1,1,12,50
2025,1,1,13,50
2025,1,1,14,50
2025,1,1,15,50
2025,1,1,16,50
2025,1,1,17,50
2025,1,1,18,50
2025,1,1,19,50
2025,1,1,20,50
2025,1,1,21,50
2025,1,1,22,50
2025,1,1,23,50
2025,1,1,24,50
2025,1,2,1,50
2025,1,2,2,50
2025,1,2,3,50
2025,1,2,4,50
2025,1,2,5,50
2025,1,2,6,50
2025,1,2,7,50
2025,1,2,8,50
2025,1,2,9,50
2025,1,2,10,50
2025,1,2,11,50
2025,1,2,12,50
2025,1,2,13,50
2025,1,2,14,50
2025,1,2,15,50
2025,1,2,16,50
2025,1,2,17,50
2025,1,2,18,50
2025,1,2,19,50
2025,1,2,20,50
2025,1,2,21,50
2025,1,2,22,50
2025,1,2,23,50
2025,1,2,24,50
2025,1,3,1,50
2025,1,3,2,50
2025,1,3,3,50
2025,1,3,4,50
2025,1,3,5,50
2025,1,3,6,50
2025,1,3,7,50
2025,1,3,8,50
2025,1,3,9,50
2025,1,3,10,50
2025,1,3,11,50
2025,1,3,12,50
2025,1,3,13,50
2025,1,3,14,50
2025,1,3,15,50
2025,1,3,16,50
2025,1,3,17,50
2025,1,3,18,50
2025,1,3,19,50
2025,1,3,20,50
2025,1,3,21,50
2025,1,3,22,50
2025,1,3,23,50
2025,1,3,24,50
2025,1,4,1,50
2025,1,4,2,50
2025,1,4,3,50
2025,1,4,4,50
2025,1,4,5,50
2025,1,4,6,50
2025,1,4,7,50
2025,1,4,8,50
2025,1,4,9,50
2025,1,4,10,50
2025,1,4,11,50
2025,1,4,12,50
2025,1,4,13,50
2025,1,4,14,50
2025,1,4,15,50
2025,1,4,16,50
2025,1,4,17,50
2025,1,4,18,50
2025,1,4,19,50
2025,1,4,20,50
2025,1,4,21,50
2025,1,4,22,50
2025,1,4,23,50
2025,1,4,24,50
2025,1,5,1,50
2025,1,5,2,50
2025,1,5,3,50
2025,1,5,4,50
2025,1,5,5,50
2025,1,5,6,50
2025,1,5,7,50
2025,1,5,8,50
2025,1,5,9,50
2025,1,5,10,50
2025,1,5,11,50
2025,1,5,12,50
2025,1,5,13,50
2025,1,5,14,50
2025,1,5,15,50
2025,1,5,16,50
2025,1,5,17,50
2025,1,5,18,50
2025,1,5,19,50
2025,1,5,20,50
2025,1,5,21,50
2025,1,5,22,50
2025,1,5,23,50
2025,1,5,24,50
2025,1,6,1,50
2025,1,6,2,50
2025,1,6,3,50
2025,1,6,4,50
2025,1,6,5,50
2025,1,6,6,50
2025,1,6,7,50
2025,1,6,8,50
2025,1,6,9,50
2025,1,6,10,50
2025,1,6,11,50
2025,1,6,12,50
2025,1,6,13,50
2025,1,6,14,50
2025,1,6,15,50
2025,1,6,16,50
2025,1,6,17,50
2025,1,6,18,50
2025,1,6,19,50
2025,1,6,20,50
2025,1,6,21,50
2025,1,6,22,50
2025,1,6,23,50
2025,1,6,24,50
2025,1,7,1,50
2025,1,7,2,50
2025,1,7,3,50
2025,1,7,4,50
2025,1,7,5,50
2025,1,7,6,50
2025,1,7,7,50
2025,1,7,8,50
2025,1,7,9,50
2025,1,7,10,50
2025,1,7,11,50
2025,1,7,12,50
2025,1,7,13,50
2025,1,7,14,50
2025,1,7,15,50
2025,1,7,16,50
2025,1,7,17,50
2025,1,7,18,50
2025,1,7,19,50
2025,1,7,20,50
2025,1,7,21,50
2025,1,7,22,50
2025,1,7,23,50
2025,1,7,24,50
2025,1,8,1,50
2025,1,8,2,50
2025,1,8,3,50
2025,1,8,4,50
2025,1,8,5,50
2025,1,8,6,50
2025,1,8,7,50
2025,1,8,8,50
2025,1,8,9,50
2025,1,8,10,50
2025,1,8,11,50
2025,1,8,12,50
2025,1,8,13,50
2025,1,8,14,50
2025,1,8,15,50
2025,1,8,16,50
2025,1,8,17,50
2025,1,8,18,50
2025,1,8,19,50
2025,1,8,20,50
2025,1,8,21,50
2025,1,8,22,50
2025,1,8,23,50
2025,1,8,24,50
2025,1,9,1,50
2025,1,9,2,50
2025,1,9,3,50
2025,1,9,4,50
2025,1,9,5,50
2025,1,9,6,50
2025,1,9,7,50
2025,1,9,8,50
2025,1,9,9,50
2025,1,9,10,50
2025,1,9,11,50
2025,1,9,12,50
2025,1,9,13,50
2025,1,9,14,50
2025,1,9,15,50
2025,1,9,16,50
2025,1,9,17,50
2025,1,9,18,50
2025,1,9,19,50
2025,1,9,20,50
2025,1,9,21,50
2025,1,9,22,50
2025,1,9,23,50
2025,1,9,24,50
2025,1,10,1,50
2025,1,10,2,50
2025,1,10,3,50
2025,1,10,4,50
2025,1,10,5,50
2025,1,10,6,50
2025,1,10,7,50
2025,1,10,8,50
2025,1,10,9,50
2025,1,10,10,50
2025,1,10,11,50
2025,1,10,12,50
2025,1,10,13,50
2025,1,10,14,50
2025,1,10,15,50
2025,1,10,16,50
2025,1,10,17,50
2025,1,10,18,50
2025,1,10,19,50
2025,1,10,20,50
2025,1,10,21,50
2025,1,10,22,50
2025,1,10,23,50
2025,1,10,24,50
2025,1,11,1,50
2025,1,11,2,50
2025,1,11,3,50
2025,1,11,4,50
2025,1,11,5,50
2025,1,11,6,50
2025,1,11,7,50
2025,1,11,8,50
2025,1,11,9,50
2025,1,11,10,50
2025,1,11,11,50
2025,1,11,12,50
2025,1,11,13,50
2025,1,11,14,50
2025,1,11,15,50
2025,1,11,16,50
2025,1,11,17,50
2025,1,11,18,50
2025,1,11,19,50
2025,1,11,20,50
2025,1,11,21,50
2025,1,11,22,50
2025,1,11,23,50
2025,1,11,24,50
2025,1,12,1,50
2025,1,12,2,50
2025,1,12,3,50
2025,1,12,4,50
2025,1,12,5,50
2025,1,12,6,50
2025,1,12,7,50
2025,1,12,8,50
2025,1,12,9,50
2025,1,12,10,50
2025,1,12,11,50
2025,1,12,12,50
2025,1,12,13,50
2025,1,12,14,50
2025,1,12,15,50
2025,1,12,16,50
2025,1,12,17,50
2025,1,12,18,50
2025,1,12,19,50
2025,1,12,20,50
2025,1,12,21,50
2025,1,12,22,50
2025,1,12,23,50
2025,1,12,24,50
2025,1,13,1,50
2025,1,13,2,50
2025,1,13,3,50
2025,1,13,4,50
2025,1,13,5,50
2025,1,13,6,50
2025,1,13,7,50
2025,1,13,8,50
2025,1,13,9,50
2025,1,13,10,50
2025,1,13,11,50
2025,1,13,12,50
2025,1,13,13,50
2025,1,13,14,50
2025,1,13,15,50
2025,1,13,16,50
2025,1,13,17,50
2025,1,13,18,50
2025,1,13,19,50
2025,1,13,20,50
2025,1,13,21,50
2025,1,13,22,50
2025,1,13,23,50
2025,1,13,24,50
2025,1,14,1,50
2025,1,14,2,50
2025,1,14,3,50
2025,1,14,4,50
2025,1,14,5,50
2025,1,14,6,50
2025,1,14,7,50
2025,1,14,8,50
