Year,Distributed BESS,EE_Baseline,EE_Scenario_4,EE_Scenario_5,EE_Scenario_7,EE_Scenario_8,Embedded_DG,Incremental_DG
2026,1.08,93.52991237,93.52991237,93.52991237,93.52991237,93.52991237,451.3448226,221.093774
2027,2.24,183.6100443,183.6100443,183.6100443,183.6100443,183.6100443,318.7324931,176.3754456
2028,3.51,270.7985619,270.7985619,270.7985619,270.7985619,270.7985619,321.3125665,198.7719734
2029,4.87,349.9139427,349.9139427,349.9139427,349.9139427,349.9139427,325.3771875,221.701407
2030,6.32,411.4148238,411.4148238,411.4148238,411.4148238,411.4148238,329.6181985,245.8833688
2031,7.86,467.7086747,431.5930495,435.8152012,432.660159,437.2995985,333.9935011,253.7798007
2032,9.41,517.848764,444.6981901,457.2006995,447.8190866,461.6187611,338.3544745,261.7891325
2033,10.97,565.6981468,465.4631088,490.3237073,471.5328442,499.0605212,342.7138185,269.5447997
2034,12.54,603.263499,492.5266636,533.545783,502.1837289,547.7078506,347.0848309,277.0387077
2035,14.11,360.5215529,525.7102689,585.2174794,539.6530695,603.9036963,351.4345378,284.6103
2036,15.69,364.7130306,556.0372744,630.4045281,573.5772398,654.481755,355.7008204,292.0880831
2037,17.28,369.8050785,584.4826497,675.1697799,604.395862,704.4671458,359.9269002,299.0646204
2038,18.87,374.1839714,611.3436733,719.1482005,634.5589704,755.4669582,364.1264358,306.321482
2039,20.48,379.0004962,638.1663769,765.593245,664.568079,807.5866975,368.2840752,313.2681903
2040,22.08,383.4424057,663.9132735,810.9755064,693.2196552,858.1895033,372.4170145,320.1797186
2041,23.7,389.3358459,690.2939298,857.8708615,722.5402342,910.4261463,376.5533644,326.9842763
2042,25.32,394.0104411,716.0156106,904.0144392,752.9539479,961.826129,380.6829843,333.3499358
2043,26.95,398.8573319,743.357854,950.5713585,783.8703707,1013.63523,384.7861307,340.166436
2044,28.59,403.0330468,770.7217593,996.2792055,814.3408282,1065.267638,388.8713501,346.6836207
2045,30.23,409.1229115,800.3592271,1044.805632,847.3069758,1121.742989,392.9266978,352.6579573
2046,30.23,414.8977412,828.6542538,1093.279296,878.7707625,1176.089332,392.9266978,352.6579573
2047,30.23,420.6725352,856.7643845,1141.422993,910.0006877,1229.972297,392.9266978,352.6579573
2048,30.23,426.4459859,884.6884804,1189.205493,940.995628,1283.390784,392.9266978,352.6579573
2049,30.23,432.2217092,912.4296945,1236.629886,971.7586941,1336.34784,392.9266978,352.6579573
2050,30.23,437.9964271,939.9851691,1283.693371,1002.287067,1388.840704,392.9266978,352.6579573
2051,30.23,443.7712811,967.3558966,1330.39692,1032.581725,1440.870333,392.9266978,352.6579573
2052,30.23,449.5449429,994.5407479,1376.73943,1063.401032,1492.435646,392.9266978,352.6579573
2053,30.23,455.3208804,1021.542665,1422.723774,1094.62476,1543.53946,392.9266978,352.6579573
2054,30.23,461.0955062,1048.483121,1468.346984,1125.697696,1594.178864,392.9266978,352.6579573
2055,30.23,466.8698559,1076.315234,1513.609922,1156.620744,1644.354705,392.9266978,352.6579573
