Year,EE_Baseline,EE_Scenario_4,EE_Scenario_5,EE_Scenario_7,EE_Scenario_8
2026,99999,99999,99999,99999,99999
2027,99999,99999,99999,99999,99999
2028,99999,99999,99999,99999,99999
2029,99999,99999,99999,99999,99999
2030,99999,99999,99999,99999,99999
2031,181.7248658,305.1585706,650.9351829,497.9683477,1040.304068
2032,99999,99999,99999,99999,99999
2033,99999,99999,99999,99999,99999
2034,99999,99999,99999,99999,99999
2035,99999,99999,99999,99999,99999
2036,99999,99999,99999,99999,99999
2037,99999,99999,99999,99999,99999
2038,99999,99999,99999,99999,99999
2039,99999,99999,99999,99999,99999
2040,99999,99999,99999,99999,99999
2041,99999,99999,99999,99999,99999
2042,99999,99999,99999,99999,99999
2043,99999,99999,99999,99999,99999
2044,99999,99999,99999,99999,99999
2045,99999,99999,99999,99999,99999
2046,99999,99999,99999,99999,99999
2047,99999,99999,99999,99999,99999
2048,99999,99999,99999,99999,99999
2049,99999,99999,99999,99999,99999
2050,99999,99999,99999,99999,99999
