 Year , Month , Day ,Period,Flex Down
2025,1,1,1,76.29
2025,1,1,2,66.807
2025,1,1,3,61.365
2025,1,1,4,68.376
2025,1,1,5,73.107
2025,1,1,6,55.527
2025,1,1,7,51.621
2025,1,1,8,57.972
2025,1,1,9,52.515
2025,1,1,10,67.452
2025,1,1,11,71.154
2025,1,1,12,53.67
2025,1,1,13,70.374
2025,1,1,14,66.186
2025,1,1,15,66.351
2025,1,1,16,69.096
2025,1,1,17,55.374
2025,1,1,18,77.688
2025,1,1,19,78.021
2025,1,1,20,59.322
2025,1,1,21,66.009
2025,1,1,22,69.756
2025,1,1,23,78.564
2025,1,1,24,62.763
2025,1,2,1,76.29
2025,1,2,2,66.807
2025,1,2,3,61.365
2025,1,2,4,68.376
2025,1,2,5,73.107
2025,1,2,6,55.527
2025,1,2,7,51.621
2025,1,2,8,57.972
2025,1,2,9,52.515
2025,1,2,10,67.452
2025,1,2,11,71.154
2025,1,2,12,53.67
2025,1,2,13,70.374
2025,1,2,14,66.186
2025,1,2,15,66.351
2025,1,2,16,69.096
2025,1,2,17,55.374
2025,1,2,18,77.688
2025,1,2,19,78.021
2025,1,2,20,59.322
2025,1,2,21,66.009
2025,1,2,22,69.756
2025,1,2,23,78.564
2025,1,2,24,62.763
2025,1,3,1,76.29
2025,1,3,2,66.807
2025,1,3,3,61.365
2025,1,3,4,68.376
2025,1,3,5,73.107
2025,1,3,6,55.527
2025,1,3,7,51.621
2025,1,3,8,57.972
2025,1,3,9,52.515
2025,1,3,10,67.452
2025,1,3,11,71.154
2025,1,3,12,53.67
2025,1,3,13,70.374
2025,1,3,14,66.186
2025,1,3,15,66.351
2025,1,3,16,69.096
2025,1,3,17,55.374
2025,1,3,18,77.688
2025,1,3,19,78.021
2025,1,3,20,59.322
2025,1,3,21,66.009
2025,1,3,22,69.756
2025,1,3,23,78.564
2025,1,3,24,62.763
2025,1,4,1,76.29
2025,1,4,2,66.807
2025,1,4,3,61.365
2025,1,4,4,68.376
2025,1,4,5,73.107
2025,1,4,6,55.527
2025,1,4,7,51.621
2025,1,4,8,57.972
2025,1,4,9,52.515
2025,1,4,10,67.452
2025,1,4,11,71.154
2025,1,4,12,53.67
2025,1,4,13,70.374
2025,1,4,14,66.186
2025,1,4,15,66.351
2025,1,4,16,69.096
2025,1,4,17,55.374
2025,1,4,18,77.688
2025,1,4,19,78.021
2025,1,4,20,59.322
2025,1,4,21,66.009
2025,1,4,22,69.756
2025,1,4,23,78.564
2025,1,4,24,62.763
2025,1,5,1,76.29
2025,1,5,2,66.807
2025,1,5,3,61.365
2025,1,5,4,68.376
2025,1,5,5,73.107
2025,1,5,6,55.527
2025,1,5,7,51.621
2025,1,5,8,57.972
2025,1,5,9,52.515
2025,1,5,10,67.452
2025,1,5,11,71.154
2025,1,5,12,53.67
2025,1,5,13,70.374
2025,1,5,14,66.186
2025,1,5,15,66.351
2025,1,5,16,69.096
2025,1,5,17,55.374
2025,1,5,18,77.688
2025,1,5,19,78.021
2025,1,5,20,59.322
2025,1,5,21,66.009
2025,1,5,22,69.756
2025,1,5,23,78.564
2025,1,5,24,62.763
2025,1,6,1,76.29
2025,1,6,2,66.807
2025,1,6,3,61.365
2025,1,6,4,68.376
2025,1,6,5,73.107
2025,1,6,6,55.527
2025,1,6,7,51.621
2025,1,6,8,57.972
2025,1,6,9,52.515
2025,1,6,10,67.452
2025,1,6,11,71.154
2025,1,6,12,53.67
2025,1,6,13,70.374
2025,1,6,14,66.186
2025,1,6,15,66.351
2025,1,6,16,69.096
2025,1,6,17,55.374
2025,1,6,18,77.688
2025,1,6,19,78.021
2025,1,6,20,59.322
2025,1,6,21,66.009
2025,1,6,22,69.756
2025,1,6,23,78.564
2025,1,6,24,62.763
2025,1,7,1,76.29
2025,1,7,2,66.807
2025,1,7,3,61.365
2025,1,7,4,68.376
2025,1,7,5,73.107
2025,1,7,6,55.527
2025,1,7,7,51.621
2025,1,7,8,57.972
2025,1,7,9,52.515
2025,1,7,10,67.452
2025,1,7,11,71.154
2025,1,7,12,53.67
2025,1,7,13,70.374
2025,1,7,14,66.186
2025,1,7,15,66.351
2025,1,7,16,69.096
2025,1,7,17,55.374
2025,1,7,18,77.688
2025,1,7,19,78.021
2025,1,7,20,59.322
2025,1,7,21,66.009
2025,1,7,22,69.756
2025,1,7,23,78.564
2025,1,7,24,62.763
2025,1,8,1,76.29
2025,1,8,2,66.807
2025,1,8,3,61.365
2025,1,8,4,68.376
2025,1,8,5,73.107
2025,1,8,6,55.527
2025,1,8,7,51.621
2025,1,8,8,57.972
2025,1,8,9,52.515
2025,1,8,10,67.452
2025,1,8,11,71.154
2025,1,8,12,53.67
2025,1,8,13,70.374
2025,1,8,14,66.186
2025,1,8,15,66.351
2025,1,8,16,69.096
2025,1,8,17,55.374
2025,1,8,18,77.688
2025,1,8,19,78.021
2025,1,8,20,59.322
2025,1,8,21,66.009
2025,1,8,22,69.756
2025,1,8,23,78.564
2025,1,8,24,62.763
2025,1,9,1,76.29
2025,1,9,2,66.807
2025,1,9,3,61.365
2025,1,9,4,68.376
2025,1,9,5,73.107
2025,1,9,6,55.527
2025,1,9,7,51.621
2025,1,9,8,57.972
2025,1,9,9,52.515
2025,1,9,10,67.452
2025,1,9,11,71.154
2025,1,9,12,53.67
2025,1,9,13,70.374
2025,1,9,14,66.186
2025,1,9,15,66.351
2025,1,9,16,69.096
2025,1,9,17,55.374
2025,1,9,18,77.688
2025,1,9,19,78.021
2025,1,9,20,59.322
